Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,QSR,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-24,45,27,63,55,118,59,51,46,36,60,100
2020-11-23,36,36,54,54,97,42,48,62,64,55,150
2020-11-22,22,12,40,51,74,10,40,15,36,51,0
2020-11-21,33,36,50,40,137,15,63,38,18,79,0
2020-11-20,34,30,75,55,158,62,64,31,73,67,100
2020-11-19,37,30,60,59,0,50,65,62,82,57,100
2020-11-18,37,24,43,47,100,54,56,38,73,61,100
2020-11-17,35,30,51,54,126,49,55,23,73,50,50
2020-11-16,39,30,50,41,95,49,45,38,64,51,50
2020-11-15,22,30,37,59,66,13,36,31,27,45,100
2020-11-14,37,45,53,53,92,16,57,23,36,62,100
2020-11-13,43,48,65,62,111,60,68,62,73,67,100
2020-11-12,35,33,55,42,0,52,50,31,91,63,150
2020-11-11,34,30,46,47,58,38,46,54,55,46,50
2020-11-10,37,36,57,60,126,63,45,23,64,57,50
2020-11-09,37,55,44,55,92,46,47,38,27,55,50
2020-11-08,24,33,31,47,68,18,41,31,91,54,50
2020-11-07,31,64,69,58,74,25,67,62,45,99,0
2020-11-06,46,58,70,69,68,57,73,62,64,92,0
2020-11-05,42,36,56,54,0,49,58,69,91,58,100
2020-11-04,45,52,58,60,71,49,55,69,73,68,0
2020-11-03,42,52,49,56,53,59,65,54,109,74,50
2020-11-02,40,39,45,46,79,39,54,38,55,65,100
2020-11-01,25,39,42,60,61,15,39,46,18,56,100
2020-10-31,39,64,58,69,105,19,60,77,27,64,50
2020-10-30,46,55,64,68,153,63,50,38,118,67,100
2020-10-29,38,30,48,44,0,58,54,31,45,56,100
2020-10-28,42,42,52,40,118,62,50,31,55,45,0
2020-10-27,40,30,43,47,74,46,54,23,64,55,0
2020-10-26,33,24,47,49,68,49,48,31,118,46,150
2020-10-25,22,33,29,49,50,13,53,31,55,43,0
2020-10-24,28,52,52,50,63,26,48,31,55,61,0
2020-10-23,42,52,64,53,82,61,57,46,64,64,0
2020-10-22,38,67,55,54,0,64,56,38,36,68,100
2020-10-21,32,58,55,60,58,56,49,38,55,55,150
2020-10-20,43,67,42,59,45,53,51,15,73,47,0
2020-10-19,39,79,48,38,37,57,47,31,55,49,50
2020-10-18,19,58,39,45,47,17,43,54,18,36,100
2020-10-17,34,55,63,51,47,22,60,100,64,62,50
2020-10-16,51,94,68,50,66,78,64,69,55,80,100
2020-10-15,44,58,67,51,0,60,65,38,64,59,50
2020-10-14,45,91,56,47,24,69,52,31,45,52,300
2020-10-13,39,45,45,51,37,64,49,31,73,57,100
2020-10-12,36,55,37,38,50,44,50,69,45,44,50
2020-10-11,25,55,39,51,50,15,48,38,45,46,50
2020-10-10,42,64,60,45,61,23,54,69,55,59,200
2020-10-09,51,76,69,63,71,68,58,69,73,73,100
2020-10-08,52,82,57,46,0,74,64,31,27,59,300
2020-10-07,46,67,61,49,76,65,60,62,82,57,100
2020-10-06,40,58,57,45,66,59,44,31,55,48,100
2020-10-05,43,67,46,36,63,48,51,31,91,47,150
2020-10-04,28,48,43,42,55,25,50,15,18,44,50
2020-10-03,36,52,60,37,82,28,62,23,18,74,150
2020-10-02,47,82,74,71,97,66,71,54,100,76,50
2020-10-01,46,61,58,38,0,71,53,8,73,50,150
2020-09-30,54,42,62,51,84,81,48,38,73,57,150
2020-09-29,41,30,44,41,45,53,41,15,55,51,100
2020-09-28,34,64,43,63,61,52,50,0,36,41,50
2020-09-27,22,70,41,38,29,22,43,38,64,50,50
2020-09-26,38,39,54,41,42,23,63,54,36,62,100
2020-09-25,44,94,67,47,45,69,66,46,45,80,250
2020-09-24,37,45,62,42,0,60,59,31,73,72,100
2020-09-23,42,82,60,51,47,62,61,54,55,57,100
2020-09-22,39,36,45,42,55,62,50,31,82,57,50
2020-09-21,36,76,46,46,39,56,46,8,109,51,100
2020-09-20,27,45,38,49,58,16,44,69,36,50,100
2020-09-19,25,48,63,47,76,28,47,54,45,65,100
2020-09-18,45,112,55,42,92,60,66,46,55,76,150
2020-09-17,47,70,54,62,0,65,53,15,45,53,50
2020-09-16,49,70,56,50,71,71,54,8,73,63,0
2020-09-15,43,79,43,44,53,68,45,8,55,52,100
2020-09-14,42,73,51,51,68,45,47,0,82,60,50
2020-09-13,28,67,41,42,58,19,46,15,36,58,50
2020-09-12,34,67,52,58,63,18,56,15,27,77,50
2020-09-11,47,42,63,78,61,68,52,0,73,77,150
2020-09-10,39,85,55,60,0,61,66,8,55,63,50
2020-09-09,36,67,53,65,68,63,50,38,82,64,50
2020-09-08,34,45,47,40,79,50,51,54,64,56,150
2020-09-07,28,85,39,69,71,46,47,38,45,48,150
2020-09-06,29,55,40,55,39,21,48,15,55,55,50
2020-09-05,39,70,68,63,71,25,71,31,45,85,100
2020-09-04,51,85,72,71,61,89,76,92,91,79,150
2020-09-03,48,82,53,50,0,78,79,69,82,75,0
2020-09-02,47,61,52,54,66,81,55,31,73,78,150
2020-09-01,36,42,61,60,97,65,57,8,45,73,150
2020-08-31,38,55,57,45,74,63,52,15,64,60,100
2020-08-30,24,27,29,40,32,21,42,31,0,49,0
2020-08-29,34,30,62,45,63,26,57,46,45,59,200
2020-08-28,34,58,58,47,50,61,57,15,64,61,100
2020-08-27,51,45,70,47,0,75,66,31,82,70,150
2020-08-26,44,48,63,54,121,71,67,23,73,68,0
2020-08-25,39,45,44,58,82,70,52,38,127,58,0
2020-08-24,42,42,52,51,55,59,54,31,55,57,400
