Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-01,38,36,58,7,100,60,74,64,94,40,111,48
2020-11-30,26,18,58,20,89,54,66,60,78,20,105,42
2020-11-29,30,36,53,0,75,0,67,55,71,60,82,49
2020-11-28,33,64,59,0,58,0,65,60,83,60,92,60
2020-11-27,38,18,56,0,78,35,79,60,123,60,100,50
2020-11-26,26,18,58,20,17,34,64,43,59,40,97,47
2020-11-25,30,27,63,20,119,58,68,62,73,60,79,53
2020-11-24,45,18,60,33,103,66,56,68,86,60,103,47
2020-11-23,33,9,56,13,94,57,73,66,84,0,116,50
2020-11-22,33,27,53,7,128,0,66,60,77,40,89,58
2020-11-21,29,18,69,7,97,0,66,72,89,20,108,60
2020-11-20,62,27,75,33,58,68,82,78,84,40,118,55
2020-11-19,41,36,63,20,75,62,73,58,76,40,116,49
2020-11-18,36,27,61,13,75,57,64,65,98,0,116,49
2020-11-17,47,36,63,7,92,58,68,60,84,40,121,49
2020-11-16,47,27,50,7,114,54,76,57,92,0,121,49
2020-11-15,15,36,50,7,100,0,73,59,62,40,95,57
2020-11-14,23,100,69,13,83,0,80,67,76,40,92,66
2020-11-13,53,18,77,40,86,62,82,75,116,0,87,57
2020-11-12,47,64,54,7,75,60,83,61,88,60,95,51
2020-11-11,45,18,48,13,97,57,66,48,101,0,105,46
2020-11-10,52,18,63,27,83,61,74,59,79,60,97,48
2020-11-09,53,18,58,33,103,64,63,51,75,20,108,49
2020-11-08,30,73,49,0,114,0,72,56,56,60,68,65
2020-11-07,35,45,74,13,69,3,85,67,82,40,92,66
2020-11-06,44,9,87,40,58,69,83,73,109,60,113,58
2020-11-05,38,27,71,13,64,59,72,64,76,0,92,51
2020-11-04,44,18,62,33,75,61,81,75,80,60,82,44
2020-11-03,50,9,74,20,114,65,80,74,100,0,126,54
2020-11-02,53,18,56,33,94,61,81,65,90,0,105,53
2020-11-01,27,64,62,13,89,0,73,66,67,0,97,67
2020-10-31,29,18,71,0,56,0,95,78,91,100,105,71
2020-10-30,47,36,62,13,64,67,84,75,83,40,108,64
2020-10-29,41,27,56,20,72,68,78,64,89,60,89,54
2020-10-28,50,55,59,13,97,58,73,61,85,20,95,52
2020-10-27,47,18,52,7,72,60,68,62,77,0,45,51
2020-10-26,50,18,52,20,89,55,69,57,73,20,68,50
2020-10-25,27,18,52,7,75,0,78,57,100,40,47,74
2020-10-24,38,18,72,0,86,0,77,67,94,40,74,77
2020-10-23,55,18,71,0,67,75,68,74,86,140,66,58
2020-10-22,55,27,61,20,56,66,79,76,70,40,61,53
2020-10-21,61,9,53,13,86,59,77,69,84,40,50,50
2020-10-20,53,45,50,27,67,59,78,60,73,60,47,49
2020-10-19,48,55,52,13,81,60,77,62,71,60,42,54
2020-10-18,21,18,62,0,114,0,67,65,88,20,71,77
2020-10-17,35,36,80,0,81,0,89,70,72,120,111,78
2020-10-16,52,45,75,27,61,76,74,89,75,20,129,61
2020-10-15,47,36,61,40,75,66,71,65,98,40,97,56
2020-10-14,42,18,56,20,75,61,78,71,93,100,87,56
2020-10-13,42,27,56,27,81,69,79,62,67,60,84,55
2020-10-12,41,9,50,33,75,57,82,62,71,80,113,50
2020-10-11,33,27,51,0,72,0,89,64,67,40,71,80
2020-10-10,35,64,74,0,53,0,87,74,61,0,126,74
2020-10-09,52,36,82,27,47,75,82,84,112,0,116,65
2020-10-08,47,18,48,13,53,63,73,66,82,20,97,52
2020-10-07,41,18,64,33,86,62,69,66,91,80,87,52
2020-10-06,44,55,54,27,81,55,70,62,73,0,82,52
2020-10-05,59,36,47,60,50,54,74,58,100,40,108,54
2020-10-04,27,55,60,0,100,0,71,65,81,60,79,81
2020-10-03,38,36,71,20,61,0,86,78,84,40,71,77
2020-10-02,64,45,74,40,53,69,85,88,99,80,105,66
2020-10-01,53,27,62,33,78,68,74,68,81,0,61,56
2020-09-30,73,55,65,20,97,66,91,68,97,40,68,54
2020-09-29,44,45,54,20,114,60,64,67,93,20,79,52
2020-09-28,45,18,55,27,83,57,82,71,90,20,105,56
2020-09-27,26,64,72,0,92,0,85,68,73,100,92,86
2020-09-26,29,73,71,7,58,0,82,78,66,20,84,77
2020-09-25,52,27,79,13,58,72,90,89,88,80,111,67
2020-09-24,42,18,61,27,69,65,78,71,84,20,82,53
2020-09-23,50,36,53,47,92,61,80,65,76,40,82,54
2020-09-22,30,9,61,13,100,59,70,71,58,80,84,53
2020-09-21,35,27,48,47,61,57,58,65,90,40,92,46
2020-09-20,44,18,51,0,64,0,71,73,76,60,84,73
2020-09-19,68,36,73,7,61,0,85,78,75,80,82,78
2020-09-18,33,27,67,40,53,63,84,74,83,40,105,57
2020-09-17,41,36,61,47,44,66,76,70,83,20,53,54
2020-09-16,58,36,71,73,108,69,103,76,110,40,82,71
2020-09-15,35,45,66,27,72,57,84,77,62,40,132,65
2020-09-14,36,55,46,33,78,61,86,67,93,20,118,62
2020-09-13,33,36,79,0,56,0,96,75,66,100,137,87
2020-09-12,36,27,77,13,58,0,92,77,84,100,113,86
2020-09-11,39,36,65,13,78,69,84,78,96,120,153,67
2020-09-10,44,45,70,67,83,66,77,70,86,40,155,56
2020-09-09,61,36,70,13,94,62,75,69,112,60,108,54
2020-09-08,45,18,50,27,81,63,91,71,85,0,145,60
2020-09-07,38,27,46,0,53,38,86,63,78,20,129,73
2020-09-06,32,9,72,0,78,0,84,70,106,140,124,95
2020-09-05,52,36,74,13,61,0,98,76,83,80,118,87
2020-09-04,44,36,81,20,61,74,101,92,103,40,124,76
2020-09-03,38,45,62,20,53,76,90,81,93,0,150,65
2020-09-02,56,9,68,7,69,67,86,70,116,20,100,56
2020-09-01,56,0,67,33,64,65,84,66,110,40,132,62
2020-08-31,47,9,58,13,117,62,81,68,70,40,158,56
2020-08-30,32,36,59,7,25,0,64,69,87,60,97,72
2020-08-29,23,27,65,0,39,0,78,71,92,40,34,76
2020-08-28,45,18,71,7,56,59,79,70,98,40,39,61
2020-08-27,53,0,67,0,83,68,83,71,79,20,66,55
2020-08-26,68,36,63,0,72,63,80,69,87,0,68,53
2020-08-25,61,36,64,7,58,62,90,70,102,0,66,59
2020-08-24,47,18,57,7,61,55,69,71,99,20,84,56
2020-08-23,24,27,59,0,78,0,63,68,89,40,66,67
2020-08-22,30,27,75,7,83,0,89,65,105,60,74,80
2020-08-21,61,27,76,7,64,69,93,72,83,20,71,65
2020-08-20,62,36,70,13,81,71,73,81,123,100,103,57
2020-08-19,59,9,64,20,61,64,83,77,85,40,76,56
2020-08-18,52,27,76,33,78,60,69,73,63,40,76,61
2020-08-17,68,27,61,27,69,62,84,74,91,20,63,60
2020-08-16,47,27,65,0,53,0,78,69,90,140,66,80
2020-08-15,48,36,80,7,39,0,83,80,89,100,55,82
2020-08-14,56,55,77,20,81,69,89,90,104,0,68,72
2020-08-13,71,0,67,7,72,66,84,72,87,20,55,60
2020-08-12,67,27,73,20,92,66,82,82,96,80,66,62
2020-08-11,55,18,79,33,119,69,100,84,99,40,63,63
2020-08-10,33,0,75,7,81,59,61,76,102,40,92,56
2020-08-09,36,27,63,0,100,0,78,74,69,60,68,80
2020-08-08,41,55,94,7,81,0,84,84,101,20,97,79
2020-08-07,56,45,86,7,69,72,97,93,99,20,95,73
2020-08-06,67,9,79,33,78,69,91,71,111,80,74,64
2020-08-05,76,27,73,7,81,61,91,77,99,60,63,61
2020-08-04,64,27,65,7,69,57,97,72,78,40,47,61
2020-08-03,61,18,65,27,75,66,101,81,107,0,66,59
2020-08-02,26,9,63,0,72,0,80,74,84,80,71,78
2020-08-01,41,45,83,0,50,0,92,80,87,20,71,83
2020-07-31,62,18,77,0,81,67,106,89,103,40,68,68
2020-07-30,59,45,67,7,56,69,92,80,94,0,55,60
2020-07-29,65,45,77,40,92,65,91,68,92,20,68,56
2020-07-28,38,36,77,13,58,60,96,83,110,20,53,62
2020-07-27,58,18,59,20,83,59,83,74,81,60,71,63
2020-07-26,27,45,63,0,50,0,72,69,67,20,61,64
2020-07-25,65,64,98,7,39,0,90,83,100,20,74,74
2020-07-24,38,55,77,13,47,52,83,75,90,20,58,58
2020-07-23,45,27,73,27,61,65,78,70,95,40,47,57
2020-07-22,76,36,71,13,78,61,81,71,93,20,66,54
2020-07-21,58,36,61,0,86,59,96,71,92,0,42,60
2020-07-20,41,18,67,27,78,51,93,65,84,20,76,54
2020-07-19,36,27,61,7,78,0,72,60,55,0,61,74
2020-07-18,55,82,72,0,61,0,95,67,80,40,55,72
2020-07-17,70,27,73,13,64,62,86,84,110,20,82,62
2020-07-16,58,27,85,20,75,59,91,71,73,120,55,60
2020-07-15,52,27,75,47,108,65,86,68,94,40,66,55
2020-07-14,65,45,72,40,106,58,88,65,70,40,68,57
2020-07-13,71,18,54,33,92,57,86,70,79,0,61,54
2020-07-12,33,45,68,0,58,0,71,63,62,60,47,71
2020-07-11,52,36,89,0,106,0,87,68,67,60,74,75
2020-07-10,70,18,80,13,103,61,99,79,54,40,50,65
2020-07-09,61,45,66,33,92,59,78,74,57,20,68,56
2020-07-08,71,18,68,33,86,59,84,75,84,60,71,58
2020-07-07,85,18,58,33,72,46,80,60,79,80,63,53
2020-07-06,58,18,63,20,78,49,92,63,63,40,74,54
2020-07-05,41,36,64,7,83,0,77,59,75,20,55,65
2020-07-04,35,27,69,7,64,0,64,50,57,20,71,57
2020-07-03,59,45,88,7,103,41,93,81,81,20,61,69
2020-07-02,56,18,78,27,83,61,92,72,95,0,71,66
2020-07-01,64,27,62,27,94,54,89,70,88,60,47,53
2020-06-30,70,18,67,20,56,48,87,64,78,20,74,54
2020-06-29,61,27,60,7,94,60,79,65,80,40,29,58
2020-06-28,35,27,69,7,72,0,76,68,68,80,50,69
2020-06-27,45,18,89,7,83,0,88,79,77,100,58,74
2020-06-26,53,18,70,13,100,49,81,76,57,40,37,56
2020-06-25,59,36,73,7,69,59,93,69,86,60,50,57
2020-06-24,45,9,47,27,86,43,70,60,75,60,42,44
2020-06-23,64,18,67,27,78,51,77,62,66,0,50,54
2020-06-22,41,27,56,40,92,43,74,64,73,60,32,56
2020-06-21,35,27,70,7,72,0,97,67,76,40,34,64
2020-06-20,33,18,85,0,58,0,87,77,70,80,42,75
2020-06-19,52,27,75,20,56,59,83,82,81,60,50,57
2020-06-18,44,36,71,7,83,53,79,74,102,20,50,52
2020-06-17,44,45,73,13,64,51,73,66,98,20,42,55
2020-06-16,45,27,75,20,103,62,83,67,92,60,63,52
2020-06-15,47,27,69,27,75,55,94,71,92,40,39,59
2020-06-14,32,36,67,0,64,0,81,77,70,20,42,70
2020-06-13,33,18,83,0,81,0,81,80,101,60,50,83
2020-06-12,68,27,80,13,111,60,104,84,103,100,58,62
2020-06-11,56,0,63,13,86,58,93,72,94,40,37,56
2020-06-10,44,27,60,20,97,52,79,70,104,20,55,52
2020-06-09,41,18,58,40,61,43,70,70,74,40,74,47
2020-06-08,52,9,63,20,75,51,76,65,74,60,63,52
2020-06-07,29,0,47,7,81,0,41,57,57,40,61,43
2020-06-06,36,27,70,7,100,0,50,73,90,60,87,55
2020-06-05,32,9,75,13,75,50,68,75,84,60,74,50
2020-06-04,42,27,57,27,89,37,56,53,75,0,89,43
2020-06-03,23,18,48,7,64,40,41,62,66,20,79,40
2020-06-02,17,18,50,13,50,36,37,40,26,20,50,31
2020-06-01,26,0,58,7,122,43,55,61,64,40,68,47
2020-05-31,21,27,70,0,64,0,44,63,57,80,68,47
2020-05-30,45,27,86,7,133,0,86,87,85,40,63,59
2020-05-29,59,27,71,20,78,56,100,77,110,80,66,54
2020-05-28,50,18,70,33,78,42,90,77,73,40,61,43
2020-05-27,59,27,65,33,106,53,91,66,78,80,50,47
2020-05-26,59,36,64,47,94,49,94,71,93,60,76,46
2020-05-25,33,18,64,7,106,33,83,70,94,20,71,50
2020-05-24,30,45,69,7,92,0,69,75,61,120,53,55
2020-05-23,41,45,92,20,117,0,100,89,85,40,50,65
2020-05-22,59,9,91,33,108,55,93,88,114,80,71,57
2020-05-21,58,27,89,20,97,50,77,74,103,0,63,50
2020-05-20,55,9,77,27,97,52,96,71,86,20,34,50
2020-05-19,55,36,76,40,100,48,77,68,105,20,42,49
2020-05-18,39,9,66,40,86,46,98,61,88,20,47,50
2020-05-17,23,45,56,7,64,0,51,53,68,60,42,47
2020-05-16,32,18,94,7,67,0,90,90,90,80,68,65
2020-05-15,55,9,77,7,100,49,96,81,70,0,47,56
2020-05-14,50,0,62,33,47,39,74,60,82,40,45,42
2020-05-13,41,18,73,33,103,51,100,79,89,20,50,46
2020-05-12,41,9,68,20,108,34,82,68,75,60,37,40
2020-05-11,35,27,71,27,122,45,80,52,85,0,24,47
2020-05-10,17,18,75,13,64,0,104,59,69,80,39,55
2020-05-09,33,18,90,27,128,0,104,74,75,80,42,60
2020-05-08,50,27,89,20,136,52,92,79,81,20,45,58
2020-05-07,32,18,72,20,72,35,79,59,63,0,42,43
2020-05-06,33,9,67,13,100,46,93,60,73,60,45,45
2020-05-05,50,27,57,27,92,40,80,60,74,40,34,45
2020-05-04,39,0,74,7,117,41,94,67,81,20,50,44
2020-05-03,26,0,69,7,61,0,60,65,83,40,42,42
2020-05-02,35,18,89,13,81,0,94,68,61,0,47,51
2020-05-01,39,45,89,27,111,49,100,86,93,60,37,52
2020-04-30,41,18,67,13,83,37,90,66,77,40,50,44
2020-04-29,26,18,62,20,92,31,77,54,62,20,37,41
2020-04-28,52,27,71,20,106,47,82,69,81,0,45,47
2020-04-27,32,27,73,27,81,41,75,76,73,0,32,42
2020-04-26,20,18,73,7,106,0,68,61,62,20,32,51
2020-04-25,38,18,75,13,83,0,83,71,64,0,47,49
2020-04-24,32,9,79,20,111,41,99,75,101,40,47,51
2020-04-23,32,9,59,27,97,41,84,58,85,60,58,42
2020-04-22,41,9,77,33,100,38,85,67,114,60,50,42
2020-04-21,38,0,63,13,106,38,88,69,56,0,58,43
2020-04-20,42,18,69,27,97,41,86,55,80,60,61,45
2020-04-19,15,18,66,7,97,0,73,61,75,60,50,50
2020-04-18,21,18,83,0,100,0,97,64,90,0,58,51
2020-04-17,32,9,72,33,133,36,99,70,102,20,58,44
2020-04-16,33,9,67,40,114,41,95,63,79,60,79,46
2020-04-15,27,27,66,27,81,35,96,64,71,80,45,42
2020-04-14,44,27,61,47,128,39,87,57,84,60,47,42
2020-04-13,45,27,69,53,125,39,76,55,79,80,53,38
2020-04-12,24,9,60,13,22,0,90,51,68,60,71,43
2020-04-11,33,9,77,7,103,0,82,62,74,20,55,46
2020-04-10,48,9,69,7,94,40,108,73,85,80,39,50
2020-04-09,38,9,61,13,100,40,85,58,69,40,39,44
2020-04-08,30,27,70,47,103,42,81,53,77,40,42,40
2020-04-07,47,9,60,13,119,44,85,55,84,40,47,47
2020-04-06,30,18,60,27,114,36,86,55,52,80,45,39
