Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,31,71,80,70,133,124,74,77,105,76,29,73,185
2021-03-08,22,68,64,60,100,112,70,76,101,64,31,64,152
2021-03-07,18,82,69,33,133,99,66,84,117,84,29,79,13
2021-03-06,17,120,88,31,122,105,77,101,127,89,40,98,10
2021-03-05,34,100,78,42,70,110,77,95,113,79,41,88,8
2021-03-04,25,87,63,50,67,87,52,70,93,51,26,54,162
2021-03-03,29,81,67,52,89,95,71,74,84,60,40,67,193
2021-03-02,25,60,58,59,59,96,71,72,85,73,40,64,147
2021-03-01,32,73,58,44,67,81,64,76,100,58,29,69,192
2021-02-28,18,85,69,29,70,82,59,79,99,81,34,77,13
2021-02-27,16,93,91,40,130,109,74,82,106,98,44,96,15
2021-02-26,32,109,74,30,122,97,63,89,105,59,47,77,8
2021-02-25,29,98,62,43,104,88,54,74,99,46,44,50,178
2021-02-24,34,85,66,43,96,96,67,75,89,50,40,64,163
2021-02-23,25,84,66,40,130,97,66,74,92,48,31,63,192
2021-02-22,30,71,63,39,81,94,57,74,91,56,20,60,193
2021-02-21,15,76,62,36,111,87,65,75,85,69,21,69,18
2021-02-20,23,79,77,30,178,101,72,90,107,78,33,82,12
2021-02-19,36,97,74,25,81,104,62,86,97,57,31,61,5
2021-02-18,27,68,65,54,81,94,63,70,82,61,28,62,165
2021-02-17,31,72,63,39,119,104,62,68,77,40,33,52,100
2021-02-16,18,55,50,27,78,69,37,52,61,30,20,38,97
2021-02-15,28,70,60,33,67,92,48,45,70,38,19,45,82
2021-02-14,14,63,61,19,85,90,77,70,84,62,23,62,5
2021-02-13,16,88,73,21,74,98,64,73,89,78,35,69,7
2021-02-12,25,72,73,44,96,118,70,80,106,79,33,80,13
2021-02-11,30,66,67,31,56,110,53,67,74,70,35,64,113
2021-02-10,30,71,59,42,70,114,46,60,68,49,29,55,112
2021-02-09,24,79,64,44,100,164,59,72,68,52,26,58,152
2021-02-08,26,64,56,33,89,122,48,58,54,35,19,44,92
2021-02-07,9,60,54,21,70,125,55,61,76,51,23,51,13
2021-02-06,17,85,71,23,130,119,59,67,85,64,25,69,8
2021-02-05,26,80,75,29,67,144,67,81,85,59,25,63,13
2021-02-04,28,74,64,41,111,138,56,61,78,42,38,52,153
2021-02-03,28,72,65,44,100,147,56,71,79,54,36,59,128
2021-02-02,27,72,67,29,115,128,64,71,76,38,31,57,138
2021-02-01,21,51,58,44,78,86,52,56,66,36,21,53,132
2021-01-31,14,58,45,16,81,64,35,42,49,24,13,32,5
2021-01-30,14,90,69,29,107,90,68,70,108,73,30,77,8
2021-01-29,25,78,74,35,111,98,71,83,81,78,32,80,7
2021-01-28,22,68,57,44,70,85,43,61,76,53,32,53,188
2021-01-27,24,66,56,39,81,82,52,60,72,49,28,53,145
2021-01-26,22,50,56,35,67,77,47,64,57,32,28,44,120
