Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-15,16,3,3,95,15,0,12,0,19,10
2020-11-14,26,26,5,129,9,9,15,0,26,19
2020-11-13,34,6,18,114,29,14,28,40,41,44
2020-11-12,36,10,20,35,16,23,28,0,36,42
2020-11-11,30,5,11,26,13,13,20,20,30,25
2020-11-10,36,6,23,135,22,11,30,40,38,32
2020-11-09,31,8,15,27,10,9,26,20,35,37
2020-11-08,20,10,3,23,9,3,11,0,21,15
2020-11-07,23,30,8,91,18,16,13,20,33,27
2020-11-06,30,11,20,113,15,16,27,20,45,50
2020-11-05,34,4,16,122,24,17,25,0,41,45
2020-11-04,34,13,20,122,24,11,23,0,40,32
2020-11-03,33,8,13,133,26,13,23,0,45,36
2020-11-02,35,6,22,89,26,16,32,40,42,44
2020-11-01,16,11,3,47,7,3,12,0,20,13
2020-10-31,22,33,10,24,10,6,15,0,25,22
2020-10-30,34,10,24,31,18,11,26,0,42,52
2020-10-29,30,16,22,64,26,13,34,20,44,52
2020-10-28,33,11,18,36,18,11,24,20,40,40
2020-10-27,34,6,18,34,19,11,34,0,39,39
2020-10-26,37,13,16,32,13,6,30,0,38,43
2020-10-25,20,10,7,21,10,9,8,0,21,14
2020-10-24,26,30,9,28,21,9,16,20,31,28
2020-10-23,31,6,14,38,21,8,30,0,42,53
2020-10-22,35,15,22,40,22,8,26,40,43,54
2020-10-21,36,13,23,33,24,6,26,0,40,40
2020-10-20,33,11,20,38,24,11,28,40,40,40
2020-10-19,35,9,20,35,13,9,22,20,38,44
2020-10-18,24,10,5,22,26,3,10,0,23,16
2020-10-17,34,31,8,29,26,3,20,20,34,33
2020-10-16,45,13,18,41,25,27,34,20,46,61
2020-10-15,40,15,22,39,24,13,35,40,43,53
2020-10-14,37,9,20,40,24,11,29,20,42,40
2020-10-13,34,9,23,42,29,11,28,40,42,42
2020-10-12,34,8,7,30,28,13,22,20,34,36
2020-10-11,22,15,5,22,12,13,6,0,27,21
2020-10-10,31,40,5,28,18,6,17,0,35,32
2020-10-09,36,8,17,36,19,17,23,20,44,54
2020-10-08,43,13,27,42,25,13,27,0,45,58
2020-10-07,45,11,20,39,26,16,26,0,41,43
2020-10-06,37,10,20,40,15,14,33,60,42,45
2020-10-05,39,14,25,33,9,14,34,20,40,54
2020-10-04,24,8,2,19,9,5,11,0,22,22
2020-10-03,26,33,8,25,13,11,23,0,29,29
2020-10-02,41,14,23,42,15,11,34,20,46,60
2020-10-01,41,6,36,40,16,13,28,60,42,59
2020-09-30,44,14,26,39,26,14,27,0,42,48
2020-09-29,35,11,23,35,19,5,28,20,39,43
2020-09-28,39,9,17,32,19,13,33,60,37,49
2020-09-27,27,9,5,20,4,6,10,0,22,22
2020-09-26,24,35,5,25,22,6,17,20,31,31
2020-09-25,35,11,22,39,19,9,28,40,46,62
2020-09-24,37,8,26,41,22,9,39,0,42,58
2020-09-23,37,18,25,39,28,3,22,20,42,59
2020-09-22,33,4,24,33,15,14,33,0,40,52
2020-09-21,31,10,20,35,18,11,28,20,36,46
2020-09-20,19,14,4,20,13,11,12,0,22,21
2020-09-19,31,26,9,24,13,3,14,0,29,28
2020-09-18,35,9,20,34,19,11,29,40,42,57
2020-09-17,35,18,22,37,24,17,25,60,42,58
2020-09-16,40,14,24,42,18,13,28,20,42,57
2020-09-15,34,6,22,52,25,13,27,0,43,54
2020-09-14,32,9,17,39,29,6,28,0,42,51
2020-09-13,25,10,5,35,9,6,14,0,29,23
2020-09-12,25,31,7,34,9,0,5,0,27,22
2020-09-11,34,16,22,55,15,8,30,20,45,58
2020-09-10,37,18,25,54,22,8,31,0,43,57
2020-09-09,41,21,21,58,13,5,19,0,43,56
2020-09-08,39,13,21,48,19,9,27,20,40,52
2020-09-07,23,9,10,24,19,2,15,0,30,34
2020-09-06,22,8,4,21,9,5,10,0,25,24
2020-09-05,34,26,9,29,22,3,19,0,34,33
2020-09-04,44,16,26,38,24,17,32,0,48,67
2020-09-03,46,15,22,42,24,13,28,20,47,64
2020-09-02,38,14,27,45,18,17,33,0,44,58
2020-09-01,36,13,26,46,21,23,26,0,44,57
2020-08-31,34,9,21,42,19,8,28,0,40,49
2020-08-30,16,6,5,27,6,14,6,0,21,18
2020-08-29,18,30,10,19,13,2,11,0,24,19
2020-08-28,32,13,12,30,22,9,22,20,38,50
2020-08-27,35,15,28,39,16,17,29,0,43,61
2020-08-26,31,13,23,37,26,14,23,0,40,52
2020-08-25,34,9,25,45,15,14,25,20,41,51
2020-08-24,32,19,21,40,25,19,26,0,40,54
2020-08-23,13,6,3,19,13,5,6,0,20,19
2020-08-22,23,21,6,35,21,8,14,0,29,25
2020-08-21,33,18,24,38,12,11,30,20,42,57
2020-08-20,33,16,28,109,9,9,24,60,47,59
2020-08-19,40,20,27,87,18,17,26,40,42,55
2020-08-18,32,24,25,84,18,14,30,0,42,54
2020-08-17,30,19,20,83,15,19,27,60,41,51
2020-08-16,17,3,2,56,4,5,6,0,22,19
2020-08-15,18,21,3,87,9,2,12,20,25,20
2020-08-14,33,16,22,92,15,11,22,0,44,55
2020-08-13,30,16,20,101,16,8,28,0,43,53
2020-08-12,26,9,18,72,19,14,20,0,40,51
2020-08-11,28,6,20,38,18,8,24,20,36,51
2020-08-10,15,8,10,31,7,11,11,0,25,32
2020-08-09,18,13,4,26,9,2,8,0,24,21
2020-08-08,22,29,9,29,9,5,18,0,30,25
2020-08-07,32,14,24,45,16,14,27,0,45,57
2020-08-06,36,21,23,43,13,9,27,20,45,62
2020-08-05,34,14,24,54,26,13,27,0,42,57
2020-08-04,29,19,19,56,16,13,20,0,43,54
2020-08-03,35,15,23,63,18,16,31,20,42,56
2020-08-02,16,10,4,71,6,3,8,0,25,22
2020-08-01,20,34,9,110,9,2,11,0,32,27
2020-07-31,32,15,18,121,7,13,36,0,50,59
2020-07-30,29,26,18,94,7,17,32,0,47,59
2020-07-29,33,15,24,56,9,13,23,0,43,58
2020-07-28,36,14,28,48,10,16,21,20,41,54
2020-07-27,33,14,22,50,12,13,25,0,40,53
2020-07-26,14,6,3,29,6,0,7,0,20,16
2020-07-25,18,34,7,50,6,6,12,40,34,27
2020-07-24,25,10,14,45,19,13,16,0,37,47
2020-07-23,32,19,13,43,29,6,30,0,42,56
2020-07-22,31,16,26,54,31,5,22,20,43,58
2020-07-21,34,20,24,51,29,11,23,0,42,55
2020-07-20,28,15,26,47,28,17,30,20,40,52
2020-07-19,16,10,5,30,19,3,5,0,21,17
2020-07-18,19,30,9,35,7,2,10,0,28,22
2020-07-17,32,24,16,47,25,17,17,20,45,55
2020-07-16,21,16,14,43,28,19,25,20,43,57
2020-07-15,28,18,20,53,35,11,24,20,40,52
2020-07-14,27,19,22,52,32,19,30,20,40,50
2020-07-13,24,10,15,56,37,6,23,40,40,50
2020-07-12,15,6,2,42,4,6,10,0,26,22
2020-07-11,21,23,7,43,19,2,13,0,30,25
2020-07-10,35,13,19,83,28,16,24,0,45,53
2020-07-09,31,16,24,60,21,11,23,0,39,51
2020-07-08,36,15,19,60,38,8,22,20,43,57
2020-07-07,28,13,17,47,31,11,22,20,37,46
2020-07-06,30,13,23,45,19,6,23,40,39,48
2020-07-05,22,10,5,31,9,8,11,0,24,19
2020-07-04,14,13,5,30,10,5,9,0,23,16
2020-07-03,22,16,8,33,21,8,10,20,30,34
2020-07-02,27,11,11,43,32,14,23,0,40,53
2020-07-01,24,13,20,46,18,13,25,0,38,48
2020-06-30,29,6,18,35,38,11,19,0,37,45
2020-06-29,24,13,16,35,40,23,26,0,38,48
2020-06-28,16,10,3,18,10,8,8,0,22,17
2020-06-27,20,15,5,23,7,5,9,20,25,20
2020-06-26,28,11,20,33,22,28,17,20,35,46
2020-06-25,23,15,15,29,21,8,22,0,38,48
2020-06-24,28,8,13,33,21,11,21,0,35,39
2020-06-23,22,10,13,36,18,14,26,40,37,47
2020-06-22,27,5,15,28,21,16,19,20,34,42
2020-06-21,12,8,1,19,3,3,9,0,19,14
2020-06-20,16,13,10,23,6,3,10,0,23,18
2020-06-19,27,11,9,32,18,20,26,0,40,49
2020-06-18,24,10,12,26,35,13,21,0,38,47
2020-06-17,28,8,14,32,32,9,16,20,37,45
2020-06-16,26,11,19,27,26,11,25,0,37,50
2020-06-15,27,14,13,30,16,13,18,0,35,42
2020-06-14,8,5,3,19,4,2,5,0,18,12
2020-06-13,15,18,2,30,1,5,6,0,20,15
2020-06-12,27,18,15,40,29,14,20,0,36,45
2020-06-11,23,8,17,45,28,9,20,0,35,47
2020-06-10,21,15,14,37,32,8,17,20,32,41
2020-06-09,19,11,16,36,26,8,15,20,30,37
2020-06-08,25,11,11,41,28,8,19,0,33,40
2020-06-07,6,1,1,23,4,3,6,0,11,9
2020-06-06,22,20,2,27,3,5,8,0,16,13
2020-06-05,24,11,10,36,35,9,18,0,27,35
2020-06-04,17,10,11,33,24,8,12,20,25,32
2020-06-03,14,8,7,23,21,9,11,0,21,26
2020-06-02,5,9,2,21,12,0,3,20,11,11
2020-06-01,3,1,1,20,6,3,3,0,11,12
2020-05-31,8,11,5,22,4,9,6,20,14,11
2020-05-30,20,33,6,37,3,8,10,0,28,24
2020-05-29,20,9,14,28,24,17,20,0,33,41
2020-05-28,19,6,10,27,13,11,23,0,29,37
2020-05-27,24,15,11,33,16,13,28,40,34,41
2020-05-26,23,15,11,36,7,13,23,20,33,41
2020-05-25,15,1,1,21,9,6,11,0,23,23
2020-05-24,11,3,2,32,9,6,8,20,22,19
2020-05-23,12,30,5,23,4,3,6,0,20,18
2020-05-22,19,14,11,34,18,14,17,0,34,43
2020-05-21,25,10,12,27,28,14,20,40,32,43
2020-05-20,19,8,11,31,24,9,17,0,33,41
2020-05-19,22,10,12,38,31,11,18,20,31,39
2020-05-18,18,10,10,44,16,14,28,0,31,41
2020-05-17,10,6,1,24,1,3,4,0,13,11
2020-05-16,12,23,7,40,7,3,6,0,22,20
2020-05-15,19,8,18,50,31,19,25,40,33,41
2020-05-14,18,8,11,31,19,9,15,0,28,35
2020-05-13,19,8,11,35,24,8,21,0,29,37
2020-05-12,25,11,9,36,15,9,18,0,27,33
2020-05-11,18,4,5,37,13,6,20,0,28,35
2020-05-10,11,4,2,21,3,2,5,0,14,12
2020-05-09,12,13,5,26,4,3,6,0,18,16
2020-05-08,21,6,7,25,29,11,17,0,29,39
2020-05-07,14,4,10,23,21,2,18,20,26,33
2020-05-06,26,1,9,26,18,6,21,0,30,40
2020-05-05,15,10,9,22,18,8,20,0,27,34
2020-05-04,16,8,11,31,26,16,21,20,27,31
2020-05-03,11,4,2,14,0,3,3,0,14,11
2020-05-02,10,19,3,19,4,3,9,20,18,15
2020-05-01,16,9,11,21,19,8,17,0,30,39
