Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-07,24,25,32,54,42,17,42,25,22,6,23,34,13
2020-12-06,18,25,27,27,32,33,29,18,16,0,18,32,5
2020-12-05,30,30,40,37,40,50,37,35,25,0,26,52,20
2020-12-04,31,30,41,66,42,28,44,29,27,6,28,44,29
2020-12-03,28,25,37,46,40,16,25,23,25,3,24,34,26
2020-12-02,32,30,35,44,31,20,32,24,20,3,24,35,24
2020-12-01,24,24,33,45,39,16,31,22,16,6,23,32,25
2020-11-30,26,20,30,42,44,14,26,22,25,0,22,34,12
2020-11-29,15,18,21,21,27,22,32,23,14,0,16,28,4
2020-11-28,20,24,28,29,39,33,34,26,16,0,22,44,18
2020-11-27,23,24,29,35,33,19,34,28,20,6,22,41,24
2020-11-26,12,11,18,18,22,5,20,13,12,0,13,19,13
2020-11-25,20,19,29,36,40,13,24,22,21,3,22,32,24
2020-11-24,22,22,36,43,33,16,27,25,21,0,23,32,26
2020-11-23,25,19,31,43,35,13,29,23,18,0,23,32,14
2020-11-22,16,20,25,25,27,30,30,22,11,6,17,33,4
2020-11-21,24,30,31,34,39,37,28,23,24,0,23,43,18
2020-11-20,29,32,40,51,50,26,39,31,26,0,27,41,29
2020-11-19,31,26,36,48,38,13,35,26,29,3,25,35,28
2020-11-18,29,27,36,45,39,13,33,20,24,0,24,33,26
2020-11-17,29,23,36,46,36,18,36,22,25,6,25,35,25
2020-11-16,29,22,32,44,40,7,37,22,14,6,24,31,14
2020-11-15,18,20,22,23,37,24,23,21,19,0,17,32,4
2020-11-14,26,31,37,37,44,36,32,30,25,3,25,50,20
2020-11-13,38,31,42,50,47,36,48,33,29,0,30,44,33
2020-11-12,28,27,37,46,35,23,32,24,27,0,27,36,29
2020-11-11,28,26,35,50,33,18,34,26,25,3,26,38,29
2020-11-10,28,27,42,48,32,16,32,23,31,10,25,36,28
2020-11-09,26,23,34,43,40,21,29,24,26,0,26,37,14
2020-11-08,22,28,31,27,44,39,31,33,21,3,23,45,7
2020-11-07,32,44,45,38,46,61,35,36,34,0,34,69,30
2020-11-06,31,34,44,51,50,28,36,29,29,6,32,50,33
2020-11-05,25,25,33,42,41,24,31,23,22,0,26,37,27
2020-11-04,28,26,35,44,42,19,30,30,21,3,26,37,27
2020-11-03,31,26,37,46,50,17,36,27,28,0,27,42,29
2020-11-02,33,25,36,49,43,17,38,26,29,0,27,37,15
2020-11-01,19,24,28,25,36,22,27,26,22,0,19,34,4
2020-10-31,23,36,38,37,40,46,35,33,29,6,28,48,24
2020-10-30,37,34,47,52,56,23,40,31,34,0,32,51,36
2020-10-29,34,30,44,49,32,24,41,28,31,6,31,42,34
2020-10-28,32,29,37,47,38,25,30,29,35,0,30,42,32
2020-10-27,30,24,35,45,30,18,35,24,32,0,28,35,29
2020-10-26,31,25,33,47,34,10,34,25,29,3,26,34,15
2020-10-25,22,27,31,30,37,43,35,29,18,3,24,47,7
2020-10-24,37,53,50,45,57,79,38,44,39,0,37,74,34
2020-10-23,38,40,43,56,54,46,53,36,37,6,35,54,39
2020-10-22,35,33,43,54,50,34,44,26,28,3,34,49,37
2020-10-21,35,31,43,48,42,21,39,29,24,0,30,43,32
2020-10-20,36,28,40,47,41,21,44,32,41,0,29,38,30
2020-10-19,32,27,37,42,44,21,31,25,31,10,28,39,16
