Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-27,43,46,27,65,66,46,"2,200",19,17,25
2020-11-26,30,23,8,40,55,25,400,13,10,17
2020-11-25,22,53,50,74,66,56,"2,200",27,20,36
2020-11-24,30,59,58,78,74,64,"2,800",28,24,41
2020-11-23,39,49,65,91,65,65,"2,800",27,21,38
2020-11-22,13,33,8,56,46,52,"1,500",15,15,17
2020-11-21,48,49,8,71,59,52,"2,000",20,21,26
2020-11-20,26,70,31,90,68,69,"3,400",31,22,43
2020-11-19,26,57,35,103,67,69,"2,000",28,23,40
2020-11-18,43,51,54,72,64,51,"3,400",27,21,40
2020-11-17,22,52,50,83,66,54,"3,500",27,23,43
2020-11-16,30,44,42,69,59,51,"2,400",25,21,40
2020-11-15,43,28,4,44,48,47,"1,400",14,12,17
2020-11-14,30,48,15,86,49,56,900,20,19,25
2020-11-13,17,59,42,88,79,56,"2,800",28,25,42
2020-11-12,52,47,50,71,64,53,"3,800",30,23,42
2020-11-11,22,44,54,78,74,54,"2,800",26,20,41
2020-11-10,13,54,38,79,70,55,"2,700",27,21,42
2020-11-09,35,46,46,96,66,54,"2,700",26,20,40
2020-11-08,35,25,8,82,45,51,"1,900",17,16,20
2020-11-07,39,52,15,90,60,58,"2,000",23,19,25
2020-11-06,48,58,35,119,75,77,"4,300",33,25,44
2020-11-05,39,55,42,105,73,60,"2,400",28,24,40
2020-11-04,39,46,50,100,69,55,"2,700",28,23,44
2020-11-03,57,55,35,121,83,59,"2,900",30,31,42
2020-11-02,22,45,38,85,71,62,"3,000",29,21,43
2020-11-01,26,30,4,54,56,54,"1,800",16,14,19
2020-10-31,26,59,23,65,79,64,"2,300",21,17,25
2020-10-30,48,52,46,72,80,78,"3,300",32,27,42
2020-10-29,35,48,35,83,76,72,"4,000",30,22,42
2020-10-28,13,52,50,72,76,60,"3,500",28,22,41
2020-10-27,30,46,42,88,65,60,"1,900",28,22,44
2020-10-26,48,41,54,64,62,54,"2,700",25,20,40
2020-10-25,35,26,12,53,46,44,"1,600",15,16,19
2020-10-24,39,48,15,74,83,58,"3,000",25,22,29
2020-10-23,57,52,54,79,74,65,"4,500",31,25,43
2020-10-22,52,51,50,96,59,65,"2,800",31,26,46
2020-10-21,35,52,38,97,63,59,"3,200",28,23,43
2020-10-20,22,52,50,72,65,60,"3,300",26,23,43
2020-10-19,9,44,46,72,63,58,"2,800",26,21,40
2020-10-18,43,28,12,49,55,50,"1,900",17,15,22
2020-10-17,17,48,15,73,69,59,"2,500",25,25,30
2020-10-16,35,78,42,108,79,77,"3,400",32,30,45
2020-10-15,35,48,46,86,68,59,"2,600",29,25,43
2020-10-14,13,56,50,105,74,58,"2,500",28,24,44
2020-10-13,26,56,54,81,48,64,"2,500",27,22,44
2020-10-12,9,51,50,71,57,50,"2,100",23,19,39
2020-10-11,0,24,12,72,50,47,"1,400",15,16,20
2020-10-10,39,50,27,68,64,62,"2,500",24,21,31
2020-10-09,35,61,50,106,74,63,"3,400",32,24,45
2020-10-08,30,58,46,90,70,62,"3,700",30,25,46
2020-10-07,4,56,54,106,73,62,"3,700",29,25,44
