Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,106,82,108,110,105,163,81,83,104,142,43,42,116
2021-03-08,88,84,122,119,134,168,86,88,100,225,57,45,116
2021-03-07,105,72,105,103,110,119,70,72,101,158,14,38,105
2021-03-06,117,104,131,112,111,135,88,95,105,167,57,45,130
2021-03-05,113,88,114,118,106,145,84,95,105,225,0,44,131
2021-03-04,65,77,93,105,99,150,69,85,91,167,0,38,111
2021-03-03,72,82,82,77,59,86,69,65,120,83,29,31,102
2021-03-02,84,71,102,106,111,153,65,77,94,208,29,38,105
2021-03-01,64,66,66,80,53,75,64,56,84,67,14,27,141
2021-02-28,81,61,69,85,65,52,61,57,88,75,14,29,89
2021-02-27,108,113,107,89,79,78,80,82,106,167,71,35,161
2021-02-26,63,84,88,83,70,72,72,66,87,75,14,31,116
2021-02-25,73,78,75,83,47,79,69,66,91,117,14,31,105
2021-02-24,68,76,71,80,63,78,64,60,95,117,0,31,93
2021-02-23,66,72,73,74,58,76,66,58,81,58,0,30,95
2021-02-22,74,64,68,77,66,79,62,62,82,125,14,28,69
2021-02-21,83,57,59,83,60,56,63,62,87,83,14,26,85
2021-02-20,75,85,88,98,74,74,75,70,114,108,43,33,128
2021-02-19,69,77,82,77,58,84,71,68,106,50,14,32,115
2021-02-18,86,69,65,72,39,74,65,56,70,58,29,29,92
2021-02-17,63,64,90,93,78,121,70,69,67,158,0,32,107
2021-02-16,56,54,72,71,65,98,52,47,56,133,29,23,80
2021-02-15,84,61,86,79,61,106,55,55,64,58,0,29,93
2021-02-14,86,64,86,108,79,96,75,63,81,83,0,34,110
2021-02-13,101,73,96,119,98,108,68,68,85,183,14,38,97
2021-02-12,121,81,116,117,119,147,83,81,93,192,14,44,121
2021-02-11,91,75,99,107,84,129,67,76,81,150,57,35,72
2021-02-10,94,66,99,104,103,161,66,71,78,150,14,39,113
2021-02-09,92,76,122,117,116,189,72,74,85,142,14,43,111
2021-02-08,99,63,104,107,112,170,62,68,70,208,29,40,80
2021-02-07,95,64,109,119,116,172,62,74,89,183,0,45,75
2021-02-06,98,81,94,121,108,137,76,73,81,175,14,42,123
2021-02-05,138,85,134,134,155,222,84,91,97,300,29,51,126
2021-02-04,116,78,112,113,103,174,71,84,86,192,14,46,100
2021-02-03,99,77,115,118,121,174,77,74,76,142,29,45,120
2021-02-02,98,74,97,110,112,182,74,71,79,158,14,43,105
2021-02-01,66,64,77,91,82,112,70,62,82,117,29,35,108
2021-01-31,55,36,45,55,58,80,42,38,52,8,14,21,57
2021-01-30,85,72,84,98,79,81,74,61,95,100,0,33,123
2021-01-29,101,78,92,101,85,119,68,69,86,83,0,37,110
2021-01-28,80,67,87,100,76,126,61,58,75,142,14,35,89
2021-01-27,87,69,85,93,103,128,68,61,82,167,29,36,102
2021-01-26,80,55,78,80,79,111,56,58,70,150,14,30,80
2021-01-25,77,56,53,77,50,57,60,52,80,67,57,25,121
2021-01-24,54,47,46,81,50,37,58,49,74,100,14,24,87
2021-01-23,78,67,55,90,66,50,73,58,86,58,43,29,138
2021-01-22,79,69,62,78,55,57,70,62,86,117,43,26,100
2021-01-21,69,60,63,73,39,56,64,54,70,67,43,24,98
2021-01-20,62,54,46,64,45,45,57,45,74,33,14,24,90
2021-01-19,74,53,57,67,47,45,54,50,63,67,0,24,87
2021-01-18,65,65,59,81,65,49,67,52,74,167,29,26,84
2021-01-17,66,48,56,74,68,50,53,55,69,67,14,24,97
2021-01-16,70,71,77,85,79,49,66,64,79,125,43,29,105
2021-01-15,75,63,67,78,62,61,49,61,80,67,29,27,107
2021-01-14,60,57,56,64,41,49,59,51,67,58,0,24,79
2021-01-13,69,64,56,67,52,49,63,50,71,83,29,24,92
2021-01-12,62,57,55,73,52,55,60,56,72,67,14,25,89
2021-01-11,56,54,53,67,53,52,64,50,70,108,0,25,121
2021-01-10,43,42,46,87,60,32,53,46,69,42,0,25,70
2021-01-09,68,69,58,102,68,47,69,56,85,33,29,30,105
2021-01-08,86,66,58,78,51,52,46,63,74,108,86,27,95
2021-01-07,70,56,52,68,35,41,60,51,71,42,29,24,102
2021-01-06,62,61,60,78,57,46,65,50,72,58,57,26,115
2021-01-05,65,57,52,75,55,48,62,54,73,50,43,25,79
2021-01-04,64,60,58,71,54,56,66,49,73,92,29,26,107
2021-01-03,58,45,46,85,61,40,56,51,74,25,14,25,84
2021-01-02,55,58,59,83,65,54,60,55,71,158,29,28,113
2021-01-01,37,36,36,53,33,42,29,46,58,42,43,19,62
2020-12-31,58,64,56,117,52,48,66,52,80,75,43,30,98
2020-12-30,51,60,60,76,66,45,71,58,76,92,29,27,93
