Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-01,25,29,46,31,53,31,60,66,55,0,19,32
2020-11-30,21,25,32,28,63,26,49,53,24,67,31,24
2020-11-29,10,28,33,27,52,21,45,53,48,22,6,30
2020-11-28,22,46,42,28,54,41,46,62,43,78,22,38
2020-11-27,16,34,43,25,56,30,42,49,32,78,14,35
2020-11-26,10,15,21,17,46,21,40,42,30,0,11,10
2020-11-25,17,29,39,31,84,34,49,56,34,67,25,32
2020-11-24,22,31,45,27,75,36,43,60,57,0,11,27
2020-11-23,17,31,45,34,60,40,57,62,38,33,25,34
2020-11-22,18,31,31,25,56,28,55,59,59,56,28,28
2020-11-21,19,44,52,28,65,46,48,54,52,56,33,44
2020-11-20,25,35,51,36,70,42,63,60,59,56,19,37
2020-11-19,30,35,45,32,64,36,61,66,56,0,31,30
2020-11-18,28,36,47,39,60,32,70,65,65,144,44,30
2020-11-17,23,31,45,37,72,31,45,71,38,0,17,26
2020-11-16,30,35,42,33,62,28,48,46,55,56,14,28
2020-11-15,19,32,28,29,59,19,36,38,46,0,3,29
2020-11-14,26,38,47,35,80,32,59,51,59,78,17,42
2020-11-13,25,45,60,37,79,37,68,71,56,44,28,40
2020-11-12,26,33,51,38,59,20,59,58,37,0,8,38
2020-11-11,28,32,49,37,65,21,60,64,44,33,33,32
2020-11-10,26,28,49,37,65,32,59,72,48,0,31,36
2020-11-09,27,34,43,35,71,36,48,55,37,89,28,36
2020-11-08,20,33,31,28,59,53,40,66,54,33,11,46
2020-11-07,25,56,66,35,68,63,73,86,56,100,25,78
2020-11-06,34,50,60,39,74,48,54,74,71,11,25,39
2020-11-05,27,38,55,36,65,29,57,57,35,0,28,37
2020-11-04,29,36,56,36,64,36,73,78,60,44,33,35
2020-11-03,25,34,63,36,76,45,88,92,66,0,25,45
2020-11-02,28,30,46,39,76,26,62,51,37,67,25,33
2020-11-01,23,34,29,31,69,36,52,55,44,100,8,41
2020-10-31,31,48,55,33,89,22,63,75,77,67,31,55
2020-10-30,32,43,56,40,75,21,74,79,52,0,47,43
2020-10-29,28,41,58,39,75,30,60,52,46,0,11,36
2020-10-28,26,38,54,39,72,46,59,65,49,44,19,41
2020-10-27,28,41,52,40,68,20,66,73,57,0,19,33
2020-10-26,29,33,43,37,70,20,66,68,50,67,31,28
2020-10-25,17,33,34,28,70,27,52,60,78,56,17,43
2020-10-24,37,50,52,32,82,41,60,63,60,44,14,87
2020-10-23,35,47,58,30,69,36,59,67,52,44,28,50
2020-10-22,36,44,62,37,72,50,62,58,52,0,19,36
2020-10-21,23,44,51,39,79,40,63,77,59,67,22,41
2020-10-20,28,36,51,35,72,20,61,59,48,0,17,38
2020-10-19,25,38,44,35,71,26,44,56,49,44,31,25
2020-10-18,23,46,40,30,72,43,52,61,55,56,14,46
2020-10-17,38,58,67,38,81,60,67,86,83,44,33,78
2020-10-16,38,55,72,34,73,52,79,85,55,56,19,65
2020-10-15,29,46,59,34,69,36,56,74,37,0,17,38
2020-10-14,30,38,51,34,77,27,59,61,62,56,28,46
2020-10-13,28,43,52,35,63,28,66,63,39,0,19,38
2020-10-12,20,34,37,34,70,21,46,67,44,67,11,33
2020-10-11,13,42,35,27,66,27,55,64,62,33,14,65
2020-10-10,37,56,55,33,78,57,65,61,65,111,22,91
2020-10-09,34,57,60,31,67,48,67,62,59,56,22,72
2020-10-08,33,51,69,37,63,54,59,73,61,0,31,52
2020-10-07,26,46,57,33,67,72,66,62,55,67,22,41
2020-10-06,22,36,55,36,64,58,59,59,66,0,11,48
2020-10-05,26,39,48,35,61,50,50,59,37,67,14,38
2020-10-04,14,40,38,26,65,49,39,44,65,78,22,48
2020-10-03,21,61,55,32,76,69,50,69,60,44,36,84
2020-10-02,34,53,64,38,72,52,70,80,65,22,31,76
2020-10-01,24,39,60,33,67,45,57,53,49,0,39,49
2020-09-30,38,41,68,39,68,53,66,62,65,67,31,67
2020-09-29,31,33,57,37,65,44,66,69,55,0,28,49
2020-09-28,21,34,42,34,68,28,54,66,54,56,17,42
2020-09-27,24,48,42,32,61,50,43,62,71,67,11,59
2020-09-26,32,52,55,30,66,67,57,68,61,67,6,88
2020-09-25,28,54,69,40,68,74,65,82,73,89,25,80
2020-09-24,22,46,58,34,78,63,64,68,65,0,33,46
2020-09-23,28,35,63,33,63,55,64,64,48,33,19,30
2020-09-22,22,37,48,31,67,48,68,68,56,0,36,35
2020-09-21,18,32,36,33,57,43,55,56,45,111,17,28
2020-09-20,19,47,36,25,66,64,46,61,59,56,8,58
2020-09-19,34,58,60,29,86,69,57,71,59,100,28,83
2020-09-18,28,45,63,37,75,53,54,66,74,67,39,52
2020-09-17,25,39,56,36,76,50,59,68,63,0,25,43
2020-09-16,29,52,58,33,71,58,69,71,46,89,8,58
2020-09-15,29,37,57,37,65,58,60,51,55,0,8,43
2020-09-14,27,35,52,41,72,50,70,74,61,122,36,41
2020-09-13,18,48,44,29,69,94,48,56,65,44,25,67
2020-09-12,25,47,61,35,81,57,73,60,70,44,19,83
2020-09-11,31,52,62,40,70,54,63,62,87,56,28,67
2020-09-10,25,41,62,36,68,51,56,66,51,0,19,55
2020-09-09,29,38,63,39,77,53,61,70,51,122,22,52
2020-09-08,24,33,49,37,68,49,55,63,52,0,22,37
2020-09-07,17,32,37,35,74,93,41,63,65,0,11,54
2020-09-06,18,44,41,32,72,62,46,55,54,111,14,77
2020-09-05,32,48,55,37,65,115,58,68,67,100,31,103
2020-09-04,32,48,68,45,80,96,64,68,71,89,28,81
2020-09-03,32,43,76,38,76,74,69,87,59,0,31,49
2020-09-02,28,46,75,41,73,104,69,77,66,144,8,44
2020-09-01,28,38,62,36,65,64,57,80,50,0,19,62
2020-08-31,22,32,47,35,60,45,49,68,50,44,22,52
2020-08-30,20,49,41,31,60,79,41,64,55,78,6,53
2020-08-29,20,46,58,29,63,75,49,64,70,133,14,80
2020-08-28,26,44,61,32,61,69,53,64,65,67,28,54
2020-08-27,22,36,60,36,73,66,57,73,63,0,14,54
2020-08-26,20,36,64,35,65,65,49,68,52,133,17,54
2020-08-25,23,38,55,35,66,74,59,73,65,0,25,47
2020-08-24,20,33,46,30,66,64,59,55,50,89,17,50
2020-08-23,15,46,40,30,58,96,34,50,59,33,8,64
2020-08-22,26,59,74,37,76,106,57,50,70,111,8,109
2020-08-21,23,48,67,35,75,91,63,86,57,122,19,88
2020-08-20,27,40,62,38,70,91,61,65,77,0,53,59
2020-08-19,19,43,70,39,70,70,64,75,65,133,44,50
2020-08-18,28,36,62,33,71,68,59,70,60,0,22,68
2020-08-17,24,43,50,32,66,74,56,68,50,78,19,48
2020-08-16,23,47,43,27,65,92,50,64,56,89,28,80
2020-08-15,30,51,64,29,74,100,56,85,61,89,19,104
2020-08-14,29,56,72,34,67,64,59,87,76,111,36,80
2020-08-13,29,38,61,34,67,68,54,71,43,0,17,62
2020-08-12,25,42,71,36,68,81,67,71,54,133,8,59
2020-08-11,26,46,74,41,67,59,68,68,60,0,17,53
2020-08-10,17,36,61,35,62,45,51,81,60,67,14,48
2020-08-09,21,46,53,30,59,112,41,68,45,78,8,70
2020-08-08,29,52,67,36,73,103,52,62,71,167,19,83
2020-08-07,27,51,74,40,65,101,64,59,88,89,28,83
2020-08-06,20,38,64,38,64,86,67,69,50,0,31,58
2020-08-05,26,38,60,37,59,70,55,70,63,111,14,51
2020-08-04,19,38,64,37,53,58,60,77,62,0,36,68
2020-08-03,17,39,64,42,56,47,64,54,70,78,25,61
2020-08-02,20,48,55,33,65,79,46,54,65,133,14,75
2020-08-01,24,43,59,33,57,100,60,60,61,44,25,72
2020-07-31,27,50,71,36,59,64,58,74,72,122,31,80
2020-07-30,26,46,65,37,59,76,52,68,40,0,33,69
2020-07-29,24,38,65,38,56,59,58,66,57,100,39,66
2020-07-28,24,36,59,41,67,78,59,82,67,0,42,53
2020-07-27,21,34,66,36,58,72,63,71,60,56,36,39
2020-07-26,14,36,44,26,69,94,40,45,30,44,31,55
2020-07-25,24,52,66,36,67,137,52,66,54,89,33,91
2020-07-24,23,50,57,33,56,65,41,52,70,56,36,92
2020-07-23,20,39,62,40,61,70,52,59,66,0,42,55
2020-07-22,16,40,63,33,67,68,55,68,65,122,42,47
2020-07-21,20,41,68,40,66,72,68,62,73,0,56,45
2020-07-20,24,37,62,35,60,52,59,59,49,144,39,43
2020-07-19,12,49,49,31,54,79,65,53,56,44,14,68
2020-07-18,20,48,63,32,63,90,52,72,59,100,19,91
2020-07-17,23,47,60,37,62,73,64,68,60,89,39,67
2020-07-16,28,41,63,36,57,81,79,77,55,0,28,58
2020-07-15,19,38,60,34,58,55,66,68,56,89,39,51
2020-07-14,19,35,63,32,62,80,77,68,56,0,39,63
2020-07-13,18,31,57,33,61,65,65,48,62,89,25,48
2020-07-12,18,46,52,30,64,77,56,64,46,133,19,67
2020-07-11,25,53,74,35,67,87,59,80,54,156,31,103
2020-07-10,24,46,72,34,60,57,87,65,62,122,44,80
2020-07-09,17,33,59,31,50,66,68,58,40,0,28,54
2020-07-08,21,38,61,30,57,86,64,68,63,144,14,54
2020-07-07,17,31,49,31,51,48,81,53,37,0,31,55
2020-07-06,18,39,55,34,69,65,73,61,57,78,25,38
2020-07-05,20,39,46,27,56,81,69,58,44,89,19,70
2020-07-04,11,38,36,22,57,71,52,36,33,44,11,54
2020-07-03,20,45,60,31,71,59,64,52,66,122,28,79
2020-07-02,18,41,65,33,70,53,87,78,49,11,31,60
2020-07-01,16,42,65,35,55,72,70,68,59,89,39,57
2020-06-30,22,40,57,37,63,44,77,79,67,89,47,56
2020-06-29,21,37,62,32,57,41,71,64,44,111,36,43
2020-06-28,25,41,52,34,59,76,61,45,56,78,19,73
2020-06-27,23,43,65,32,65,69,68,50,45,167,50,88
2020-06-26,16,34,61,31,56,38,66,62,48,100,36,62
2020-06-25,22,40,67,33,60,72,66,66,34,56,39,51
2020-06-24,20,37,47,24,51,50,72,41,52,111,53,54
2020-06-23,17,39,62,28,59,60,75,65,48,11,25,63
2020-06-22,21,36,69,27,52,40,53,51,39,100,58,51
2020-06-21,14,36,67,26,58,60,56,48,35,78,19,57
2020-06-20,17,38,63,28,63,46,59,56,65,144,28,76
2020-06-19,22,45,71,31,61,59,80,60,52,67,25,82
2020-06-18,21,43,65,30,60,39,72,56,48,56,47,67
2020-06-17,17,37,56,28,58,34,66,60,48,111,42,67
2020-06-16,19,40,67,32,60,58,89,63,52,100,44,57
2020-06-15,23,39,51,30,64,46,89,61,55,56,58,57
2020-06-14,16,55,55,32,64,42,91,51,107,122,14,57
2020-06-13,23,42,56,27,62,47,84,52,66,144,42,64
2020-06-12,25,45,74,33,57,55,77,63,65,178,42,79
2020-06-11,22,43,66,31,70,56,70,66,41,33,50,63
2020-06-10,17,36,52,28,56,35,49,53,46,144,39,54
2020-06-09,18,33,47,29,67,27,58,59,35,44,39,44
2020-06-08,17,36,52,30,71,36,53,57,37,144,47,61
2020-06-07,9,37,38,26,59,18,45,41,35,89,19,54
2020-06-06,14,50,57,31,62,11,52,64,50,133,22,80
2020-06-05,14,44,64,29,69,39,70,56,52,67,22,60
2020-06-04,14,33,42,29,56,19,48,60,32,56,25,51
2020-06-03,11,36,44,25,61,28,59,61,46,67,28,53
2020-06-02,8,35,53,30,58,5,39,42,44,33,31,99
2020-06-01,5,39,58,38,80,7,60,69,44,100,25,62
2020-05-31,5,33,41,30,64,5,36,37,39,100,14,49
2020-05-30,12,37,50,28,58,11,64,51,48,133,25,65
2020-05-29,14,41,57,29,58,12,64,61,44,122,36,66
2020-05-28,13,32,48,25,64,26,73,56,30,33,17,41
2020-05-27,15,34,56,32,71,32,73,79,50,67,25,54
2020-05-26,15,34,55,30,70,29,55,74,38,11,22,46
2020-05-25,7,29,46,32,62,31,50,52,35,67,11,63
2020-05-24,11,34,50,29,54,25,44,49,33,89,11,67
2020-05-23,13,35,55,23,65,32,55,58,48,67,8,58
2020-05-22,14,42,63,30,67,37,68,83,50,89,39,52
2020-05-21,14,31,43,31,61,23,45,60,27,56,42,53
2020-05-20,13,36,53,28,61,23,63,60,52,78,42,51
2020-05-19,15,36,48,28,60,32,57,63,39,22,25,43
2020-05-18,14,35,45,31,60,22,53,72,40,78,39,33
2020-05-17,11,24,36,26,57,24,39,24,18,56,14,25
2020-05-16,12,43,60,29,66,41,67,63,48,56,36,58
2020-05-15,13,40,60,35,71,23,55,65,46,33,36,51
2020-05-14,13,31,43,27,63,30,44,59,26,11,19,45
2020-05-13,16,29,51,29,64,29,54,57,44,22,19,39
2020-05-12,12,25,38,26,57,17,54,61,29,11,25,37
2020-05-11,11,28,40,26,58,25,79,55,27,78,19,39
2020-05-10,9,28,32,24,55,23,35,45,29,22,11,33
2020-05-09,11,31,47,27,69,25,63,54,32,56,22,51
2020-05-08,19,38,50,30,56,35,52,58,24,56,31,46
2020-05-07,10,25,47,28,49,18,58,45,29,0,31,32
2020-05-06,13,31,46,30,57,21,50,60,34,89,22,36
2020-05-05,15,29,42,24,62,23,51,53,32,0,25,33
2020-05-04,13,27,42,23,71,18,52,47,35,78,19,35
2020-05-03,8,25,37,24,64,28,45,34,16,56,17,43
2020-05-02,10,32,47,27,73,20,64,50,30,44,39,46
2020-05-01,14,32,47,26,74,12,60,64,34,78,22,45
2020-04-30,11,28,40,28,63,12,63,50,23,22,50,40
2020-04-29,9,20,37,23,58,16,57,52,20,33,22,32
2020-04-28,13,29,46,32,60,21,64,51,28,11,36,46
2020-04-27,11,30,46,23,67,17,52,51,38,33,25,41
2020-04-26,11,35,47,25,65,23,43,47,32,67,42,66
2020-04-25,9,32,39,24,62,24,53,54,35,33,22,38
2020-04-24,13,31,47,28,73,14,67,58,37,89,36,41
2020-04-23,12,31,50,27,59,28,59,56,30,0,14,51
2020-04-22,10,30,37,25,56,20,56,63,38,22,42,30
2020-04-21,12,31,43,23,53,24,57,46,29,33,19,48
2020-04-20,12,28,42,28,63,8,61,52,30,44,22,40
2020-04-19,14,29,42,25,63,13,46,43,37,56,22,41
2020-04-18,13,33,51,27,73,29,51,62,44,44,28,52
2020-04-17,9,27,45,22,65,7,46,59,27,89,31,30
2020-04-16,11,32,44,25,63,22,47,63,32,33,28,30
2020-04-15,14,30,36,21,67,19,49,49,17,67,31,30
2020-04-14,17,24,38,25,62,13,46,50,27,11,22,30
2020-04-13,11,20,41,23,60,15,40,43,22,44,19,32
2020-04-12,6,21,30,21,65,31,30,23,30,11,14,38
2020-04-11,14,33,45,23,74,21,56,45,35,67,14,41
2020-04-10,13,32,48,24,76,26,61,51,34,67,31,41
2020-04-09,14,28,46,24,71,20,49,50,35,22,36,31
2020-04-08,12,23,44,24,60,19,49,46,35,33,14,29
2020-04-07,17,35,52,26,68,21,53,50,38,44,36,38
2020-04-06,8,26,43,27,63,21,49,41,40,33,25,30
2020-04-05,12,26,36,28,60,23,48,53,32,33,17,45
2020-04-04,12,28,35,26,63,22,45,37,33,56,36,34
2020-04-03,16,36,50,29,64,24,61,68,40,111,31,40
2020-04-02,15,28,49,29,69,26,49,42,30,56,28,33
2020-04-01,13,25,45,30,72,19,58,57,33,33,22,34
2020-03-31,18,24,45,31,62,16,47,87,27,11,22,38
2020-03-30,19,22,41,41,70,28,67,52,35,33,28,40
2020-03-29,13,22,30,36,53,25,46,38,28,11,28,31
2020-03-28,12,28,40,44,64,25,52,38,56,22,39,38
2020-03-27,17,32,44,50,73,18,50,51,49,56,31,32
2020-03-26,16,25,46,42,61,23,65,39,38,22,28,41
2020-03-25,23,32,46,50,77,70,69,51,57,44,47,41
2020-03-24,26,30,49,48,73,30,62,50,34,22,31,41
2020-03-23,19,28,44,45,66,26,66,43,46,22,31,38
2020-03-22,12,25,30,40,61,28,46,36,24,11,19,45
2020-03-21,14,27,35,47,69,28,51,42,34,56,39,32
2020-03-20,23,30,51,50,104,29,93,51,52,78,47,34
2020-03-19,22,35,60,61,101,30,86,46,49,56,61,44
2020-03-18,37,44,64,58,96,44,79,50,52,44,81,53
2020-03-17,52,45,77,67,111,53,77,50,49,56,92,54
2020-03-16,69,63,83,78,114,50,98,68,70,78,106,54
2020-03-15,42,95,71,70,105,45,84,69,118,67,72,117
2020-03-14,83,127,101,93,107,37,94,96,113,89,72,297
2020-03-13,94,101,104,92,128,40,116,75,95,111,64,133
2020-03-12,116,84,111,104,106,45,134,95,118,111,61,114
2020-03-11,127,78,109,97,113,37,106,112,83,111,81,99
2020-03-10,123,84,102,98,97,46,102,97,100,111,83,97
2020-03-09,130,80,105,92,93,62,88,98,88,67,81,89
2020-03-08,78,131,98,93,100,69,99,96,113,211,56,169
2020-03-07,83,131,117,102,107,47,93,118,124,222,94,189
2020-03-06,123,101,122,102,93,35,91,121,135,133,64,133
2020-03-05,131,81,98,92,88,60,104,114,106,100,69,96
2020-03-04,119,85,98,96,91,38,94,86,73,22,78,88
2020-03-03,125,81,115,104,106,48,109,123,87,67,269,91
2020-03-02,121,92,107,102,105,106,110,98,102,78,78,74
2020-03-01,70,131,96,90,105,128,95,91,88,178,61,125
2020-02-29,87,125,124,93,99,91,111,110,121,89,81,161
2020-02-28,140,102,120,90,92,133,99,130,105,100,81,116
2020-02-27,118,87,105,104,91,109,102,114,99,78,117,99
2020-02-26,123,76,97,95,94,121,109,111,71,100,139,72
2020-02-25,130,82,106,104,93,127,95,108,102,33,617,80
2020-02-24,126,77,105,100,95,117,97,79,57,44,117,80
2020-02-23,67,116,108,92,107,100,95,85,95,67,64,133
2020-02-22,100,142,128,106,112,138,97,129,113,111,64,178
2020-02-21,131,93,112,92,90,126,107,114,107,56,64,113
2020-02-20,124,76,101,98,86,116,103,97,66,122,78,91
2020-02-19,130,72,89,102,90,99,105,97,95,133,97,76
2020-02-18,135,78,98,105,90,90,105,94,80,78,117,72
2020-02-17,94,77,98,90,81,128,87,88,85,111,28,72
2020-02-16,71,130,100,97,102,105,69,72,96,44,42,135
2020-02-15,85,126,107,99,88,122,120,114,101,33,58,135
2020-02-14,121,102,106,104,102,121,118,104,95,67,106,92
2020-02-13,134,78,99,102,80,97,99,100,82,111,97,80
2020-02-12,136,76,111,99,109,129,127,105,94,89,44,64
2020-02-11,117,64,106,96,98,124,113,111,82,111,92,59
2020-02-10,117,77,90,92,92,112,93,91,68,67,342,53
2020-02-09,55,106,72,87,95,100,100,77,94,56,50,113
2020-02-08,80,128,110,94,112,115,106,121,117,167,92,148
2020-02-07,124,98,108,103,101,121,93,118,84,111,89,91
2020-02-06,129,84,102,103,91,113,95,114,76,56,69,75
2020-02-05,132,78,94,90,94,119,113,80,80,44,403,61
2020-02-04,106,81,88,99,94,125,94,103,84,78,75,67
2020-02-03,109,81,90,95,97,80,98,95,99,156,222,61
2020-02-02,58,128,87,106,101,98,84,103,93,78,33,110
2020-02-01,79,136,110,109,108,121,100,119,80,156,53,136
2020-01-31,114,95,106,94,102,105,107,110,99,156,67,108
2020-01-30,117,73,112,101,95,110,110,129,96,133,86,70
2020-01-29,125,75,88,108,93,93,96,110,80,56,69,72
2020-01-28,106,74,100,91,82,114,99,101,83,100,114,81
2020-01-27,115,78,96,98,100,123,102,95,70,89,167,71
2020-01-26,54,101,75,84,87,89,88,77,101,78,25,96
2020-01-25,78,111,98,91,84,95,80,120,116,122,72,117
2020-01-24,100,99,100,92,94,81,76,120,84,56,75,85
2020-01-23,84,75,84,84,83,76,89,85,73,44,47,57
2020-01-22,93,71,91,97,83,106,102,84,72,56,53,70
2020-01-21,107,97,98,98,96,110,102,95,50,122,103,51
2020-01-20,65,79,73,89,97,72,79,70,72,100,39,60
2020-01-19,47,121,70,81,82,71,98,76,106,100,44,113
2020-01-18,80,108,97,102,110,103,108,105,121,89,44,122
2020-01-17,124,97,94,96,94,126,111,87,222,67,89,81
2020-01-16,106,77,94,97,144,97,94,101,96,78,108,75
2020-01-15,129,74,97,97,100,104,85,92,89,111,72,78
2020-01-14,108,106,91,107,97,122,84,109,101,78,69,63
2020-01-13,100,104,105,118,109,84,145,93,74,167,94,81
2020-01-12,45,136,87,106,111,101,86,82,122,167,111,96
2020-01-11,67,141,93,110,110,86,86,90,134,278,122,125
2020-01-10,112,131,115,121,115,104,115,114,122,78,133,133
2020-01-09,109,99,119,130,100,89,138,89,89,89,103,70
2020-01-08,92,77,103,108,109,93,94,93,74,111,92,67
2020-01-07,90,78,103,110,104,75,104,92,99,144,100,74
2020-01-06,101,126,114,120,107,109,116,90,95,156,89,82
2020-01-05,61,157,86,112,113,106,88,100,116,167,72,138
2020-01-04,82,155,112,118,113,95,103,109,154,167,108,181
2020-01-03,95,107,107,124,111,101,127,106,193,111,122,149
2020-01-02,89,93,98,110,111,103,105,98,141,122,97,107
2020-01-01,62,151,76,93,97,89,71,86,143,78,94,157
2019-12-31,75,110,102,103,124,102,103,96,150,122,83,146
2019-12-30,78,115,101,95,185,83,103,97,121,144,106,157
