Category,Bars,Beauty & Wellness,Parks & Beaches,QSR,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index
2020-09-06,113,106,91,67,77
2020-09-05,113,111,151,96,88
2020-09-04,138,167,154,93,96
2020-09-03,125,117,120,119,86
2020-09-02,175,100,137,111,80
2020-09-01,125,89,89,81,79
2020-08-31,75,78,83,137,73
2020-08-30,113,56,94,107,66
2020-08-29,175,78,111,126,82
2020-08-28,100,61,94,96,81
2020-08-27,113,122,80,100,84
2020-08-26,188,117,129,119,79
2020-08-25,113,94,109,104,81
2020-08-24,125,33,120,148,78
2020-08-23,88,106,174,107,71
2020-08-22,175,122,174,133,82
2020-08-21,175,106,131,122,92
2020-08-20,50,78,146,111,77
2020-08-19,100,128,126,63,78
2020-08-18,75,161,120,133,80
2020-08-17,125,100,80,93,79
2020-08-16,188,89,89,89,69
2020-08-15,263,133,180,104,81
2020-08-14,100,156,103,189,86
2020-08-13,150,133,106,119,84
2020-08-12,138,78,129,156,86
2020-08-11,88,117,134,156,84
2020-08-10,150,128,109,115,84
2020-08-09,38,61,140,126,72
2020-08-08,263,133,109,93,78
2020-08-07,113,106,129,111,85
2020-08-06,200,100,117,85,85
2020-08-05,150,128,131,148,87
2020-08-04,113,150,97,96,78
2020-08-03,150,139,97,119,84
2020-08-02,63,133,157,133,71
2020-08-01,113,83,126,81,76
2020-07-31,225,194,123,156,93
2020-07-30,150,106,89,85,84
2020-07-29,75,83,89,74,79
2020-07-28,200,122,57,119,77
2020-07-27,75,94,77,100,77
2020-07-26,200,56,103,100,70
2020-07-25,188,94,149,126,85
2020-07-24,138,111,77,119,74
2020-07-23,213,111,137,85,85
2020-07-22,188,56,83,89,82
2020-07-21,63,94,111,141,74
2020-07-20,125,61,80,89,77
2020-07-19,188,94,123,30,70
2020-07-18,300,117,134,119,88
2020-07-17,75,122,117,126,83
2020-07-16,75,128,120,122,87
2020-07-15,88,67,100,144,82
2020-07-14,100,78,114,100,81
2020-07-13,100,100,91,100,77
2020-07-12,150,78,137,111,74
2020-07-11,213,94,120,111,86
2020-07-10,238,61,100,119,90
2020-07-09,125,78,83,141,81
2020-07-08,263,78,134,133,83
2020-07-07,113,100,63,85,77
2020-07-06,88,117,89,19,79
2020-07-05,100,78,109,59,72
2020-07-04,188,72,117,44,75
2020-07-03,250,56,97,63,85
2020-07-02,163,67,80,59,85
2020-07-01,138,50,86,56,82
2020-06-30,175,72,80,37,83
2020-06-29,38,56,94,67,85
2020-06-28,88,72,89,67,75
2020-06-27,113,106,149,63,87
2020-06-26,238,100,109,44,80
2020-06-25,63,106,106,63,81
2020-06-24,138,56,71,48,72
2020-06-23,63,83,114,70,80
2020-06-22,113,67,57,52,73
2020-06-21,225,72,177,56,76
2020-06-20,175,128,106,70,87
2020-06-19,175,111,109,93,91
2020-06-18,50,94,109,63,86
2020-06-17,138,122,134,81,79
2020-06-16,100,72,117,78,76
2020-06-15,113,89,74,37,75
2020-06-14,125,94,163,56,68
2020-06-13,188,67,140,26,77
2020-06-12,113,100,126,48,94
2020-06-11,138,72,126,78,82
2020-06-10,150,100,100,56,81
2020-06-09,38,50,97,70,74
2020-06-08,113,56,120,30,79
2020-06-07,63,28,129,19,58
2020-06-06,213,100,109,56,76
2020-06-05,125,89,111,44,82
2020-06-04,63,50,86,56,71
2020-06-03,163,89,83,48,75
2020-06-02,163,89,74,100,79
2020-06-01,75,100,57,81,82
2020-05-31,75,83,57,52,71
2020-05-30,150,111,100,93,79
2020-05-29,75,117,106,70,79
2020-05-28,138,72,31,89,78
2020-05-27,188,61,69,89,75
2020-05-26,163,94,54,70,84
2020-05-25,63,72,40,26,71
