Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-23,34,58,50,56,27,48,57,81,64,29,84
2020-11-22,43,52,31,57,15,49,70,101,73,16,97
2020-11-21,60,66,0,68,22,66,74,107,90,42,102
2020-11-20,71,74,44,54,41,64,71,112,61,26,93
2020-11-19,47,62,38,13,38,57,63,96,71,52,110
2020-11-18,45,56,19,20,29,54,57,100,59,26,82
2020-11-17,46,50,56,24,36,56,62,91,71,52,87
2020-11-16,48,53,19,18,33,51,52,78,51,39,80
2020-11-15,51,44,19,18,15,50,59,87,64,16,80
2020-11-14,64,74,38,22,15,58,73,95,95,48,108
2020-11-13,53,69,50,20,44,64,75,102,76,61,97
2020-11-12,48,60,38,10,34,49,61,73,81,29,63
2020-11-11,47,59,38,17,36,53,59,94,64,29,85
2020-11-10,55,52,19,17,41,45,59,79,66,58,87
2020-11-09,40,57,31,18,42,57,63,76,59,39,95
2020-11-08,57,52,69,14,17,35,64,76,68,48,94
2020-11-07,73,73,13,17,27,59,81,95,83,61,135
2020-11-06,64,78,13,21,40,62,78,109,81,52,108
2020-11-05,43,60,13,10,33,57,60,80,64,55,88
2020-11-04,33,61,19,18,37,48,65,77,75,48,86
2020-11-03,67,64,19,20,49,70,74,82,69,81,99
2020-11-02,52,57,44,21,38,56,61,75,59,58,80
2020-11-01,57,51,25,15,17,50,71,88,119,26,93
2020-10-31,57,76,31,20,19,60,87,98,93,16,127
2020-10-30,55,71,19,20,37,59,83,101,71,32,107
2020-10-29,41,64,13,8,33,55,60,89,64,39,86
2020-10-28,57,59,44,23,39,52,60,82,73,45,90
2020-10-27,48,55,19,19,27,54,63,88,54,52,68
2020-10-26,39,59,31,17,29,53,59,77,56,29,80
2020-10-25,45,49,38,18,14,33,66,84,119,23,85
2020-10-24,77,78,19,16,20,51,83,102,127,26,120
2020-10-23,52,78,25,20,27,56,73,90,81,68,113
2020-10-22,54,66,38,9,38,54,65,83,73,58,92
2020-10-21,46,56,25,16,39,56,62,92,63,45,88
2020-10-20,33,55,19,17,26,50,60,79,73,58,85
2020-10-19,51,54,50,17,32,55,58,80,73,55,94
2020-10-18,96,51,38,16,13,44,68,85,107,42,111
2020-10-17,83,83,44,16,20,59,72,92,141,45,124
2020-10-16,77,75,50,24,44,63,77,94,86,65,113
2020-10-15,53,65,50,8,37,48,63,85,85,29,93
2020-10-14,53,62,13,16,39,55,62,85,66,35,86
2020-10-13,42,57,25,20,34,53,65,75,95,48,101
2020-10-12,37,50,25,18,30,50,60,67,112,23,86
2020-10-11,57,53,25,11,17,40,60,78,117,29,92
2020-10-10,84,80,6,16,25,57,78,92,107,26,115
2020-10-09,71,70,25,19,43,58,76,92,112,45,112
2020-10-08,77,73,6,7,45,49,65,83,80,52,111
2020-10-07,66,65,31,19,46,54,64,78,78,29,119
2020-10-06,67,54,13,12,34,50,61,69,92,32,108
2020-10-05,54,54,38,18,36,51,63,71,100,45,105
2020-10-04,76,55,38,15,23,45,63,78,93,13,105
2020-10-03,81,80,19,19,23,53,74,93,120,42,115
2020-10-02,57,67,19,21,49,59,84,94,110,61,115
2020-10-01,65,66,25,8,39,45,61,90,95,35,115
2020-09-30,63,75,25,17,41,51,69,90,75,48,136
2020-09-29,63,54,31,16,38,49,61,91,68,39,97
2020-09-28,36,55,19,15,31,46,59,73,80,42,88
2020-09-27,48,57,6,13,24,29,75,98,98,29,111
2020-09-26,66,74,31,14,23,55,81,92,105,39,142
2020-09-25,64,64,31,15,39,63,89,96,75,52,110
2020-09-24,49,58,19,4,38,52,65,78,92,65,124
