Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,36,13,18,174,33,56,37,32,34,35,37,106,48
2021-03-08,30,13,13,183,34,50,30,33,48,28,35,101,49
2021-03-07,24,3,3,59,30,49,9,6,14,27,25,38,31
2021-03-06,29,3,5,76,29,61,15,19,13,25,32,106,39
2021-03-05,33,24,14,136,37,56,24,32,33,32,37,108,51
2021-03-04,28,15,13,166,30,43,28,19,30,16,33,90,45
2021-03-03,31,16,15,171,34,48,30,19,31,25,34,99,43
2021-03-02,30,10,17,143,29,46,28,16,23,23,31,90,38
2021-03-01,28,7,17,169,31,44,21,26,28,21,30,88,42
2021-02-28,20,4,2,74,26,44,11,6,13,17,22,29,27
2021-02-27,28,1,5,90,36,70,14,23,23,31,34,108,41
2021-02-26,36,10,10,174,43,58,28,28,35,26,37,110,52
2021-02-25,33,16,13,171,27,52,26,21,26,26,34,96,47
2021-02-24,32,21,15,176,24,50,26,24,33,21,33,93,41
2021-02-23,30,10,15,190,26,47,26,19,29,18,32,90,39
2021-02-22,29,9,16,178,22,43,28,28,28,18,30,81,40
2021-02-21,18,3,2,40,17,30,7,12,7,14,17,22,18
2021-02-20,25,4,6,59,21,44,9,25,16,24,25,83,24
2021-02-19,26,16,12,134,26,43,21,31,30,24,32,90,33
2021-02-18,26,12,15,145,26,42,24,24,17,13,30,83,31
2021-02-17,26,10,14,147,14,37,22,30,28,27,28,75,23
2021-02-16,17,7,8,78,14,22,16,15,15,12,17,48,14
2021-02-15,21,4,6,102,17,31,12,14,15,20,22,66,24
2021-02-14,18,0,2,74,18,37,9,17,15,21,21,27,16
2021-02-13,20,3,6,88,23,38,7,17,12,25,24,79,17
2021-02-12,29,19,11,124,36,50,22,24,40,29,33,95,34
