Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-24,33,12,17,38,54,37,41,39,32,13,60
2020-11-23,30,9,19,36,51,41,38,32,29,12,51
2020-11-22,16,7,13,11,55,23,19,13,19,7,30
2020-11-21,21,10,18,30,56,28,38,11,27,9,48
2020-11-20,32,14,25,41,51,44,51,40,33,14,59
2020-11-19,33,13,23,42,43,42,41,32,31,14,56
2020-11-18,35,12,16,42,43,33,43,44,28,13,49
2020-11-17,35,13,13,35,42,37,35,32,29,13,52
2020-11-16,31,11,15,38,56,38,32,39,28,15,50
2020-11-15,15,6,7,13,52,20,30,10,20,7,33
2020-11-14,24,10,18,33,47,33,24,19,27,10,44
2020-11-13,37,14,24,48,51,44,57,47,34,15,59
2020-11-12,36,10,24,44,45,39,57,35,31,14,53
2020-11-11,30,11,17,42,43,36,32,44,29,14,50
2020-11-10,36,14,19,45,46,43,43,41,31,16,52
2020-11-09,30,12,21,38,48,40,27,35,30,15,51
2020-11-08,16,8,13,14,49,27,11,13,23,9,41
2020-11-07,22,11,17,37,57,36,32,13,29,11,51
2020-11-06,32,15,22,51,59,45,54,39,34,16,59
2020-11-05,33,14,21,39,38,42,57,42,31,15,51
2020-11-04,34,14,23,46,43,39,43,35,29,13,52
2020-11-03,33,14,20,42,52,40,51,30,30,14,52
2020-11-02,34,13,23,47,52,50,51,32,32,16,53
2020-11-01,16,9,12,15,60,27,22,13,22,9,40
2020-10-31,23,10,15,33,47,36,43,18,27,11,48
2020-10-30,32,15,16,53,55,42,43,45,35,16,64
2020-10-29,34,16,21,47,52,42,57,44,35,17,60
2020-10-28,34,14,22,48,49,36,57,34,34,18,57
2020-10-27,38,16,24,40,52,43,54,40,33,17,56
2020-10-26,33,11,18,38,42,39,43,37,36,16,52
2020-10-25,17,9,7,15,51,28,14,12,30,9,44
2020-10-24,15,12,17,29,50,38,27,13,40,16,56
2020-10-23,40,16,24,54,55,44,46,37,39,17,65
2020-10-22,36,14,24,52,56,43,51,30,42,18,63
2020-10-21,37,14,22,50,56,37,38,41,36,16,59
2020-10-20,36,14,21,48,46,46,38,39,36,17,58
2020-10-19,37,13,23,44,56,35,41,35,33,16,52
2020-10-18,20,10,12,19,53,25,22,11,29,10,49
2020-10-17,37,15,23,46,56,40,24,18,37,14,65
2020-10-16,46,18,28,64,60,55,46,46,39,18,70
2020-10-15,41,13,25,48,48,44,30,40,36,16,61
2020-10-14,40,14,26,49,51,41,57,38,34,17,58
2020-10-13,38,17,24,50,55,41,38,40,33,17,57
2020-10-12,34,12,24,45,45,37,57,36,30,14,54
2020-10-11,16,8,15,16,46,28,14,9,25,10,47
2020-10-10,11,14,19,39,60,43,30,14,34,16,63
2020-10-09,41,17,26,61,52,52,49,48,39,18,68
2020-10-08,45,17,24,64,52,43,46,36,37,18,69
2020-10-07,41,16,25,58,43,51,49,44,35,18,65
2020-10-06,41,12,25,57,51,44,35,43,34,16,56
2020-10-05,32,15,27,49,47,39,51,24,33,16,55
2020-10-04,17,9,15,16,42,28,11,10,26,10,44
2020-10-03,27,15,22,30,52,32,30,13,33,12,56
2020-10-02,37,16,25,53,60,48,30,32,41,18,64
2020-10-01,38,17,26,51,50,44,43,40,37,17,57
2020-09-30,46,16,27,68,49,43,32,40,37,18,66
2020-09-29,36,13,22,45,59,42,30,43,34,17,53
2020-09-28,31,11,21,43,40,38,24,33,33,15,49
2020-09-27,19,8,16,17,52,30,8,15,27,9,44
2020-09-26,30,15,19,35,56,34,27,20,34,12,55
2020-09-25,39,17,24,53,60,50,32,41,40,17,64
2020-09-24,35,18,27,47,51,48,46,34,38,17,59
2020-09-23,35,18,22,54,51,45,43,36,36,17,56
2020-09-22,31,17,25,48,46,44,65,31,35,17,51
2020-09-21,27,17,21,35,47,35,38,29,31,14,44
2020-09-20,20,10,13,17,52,29,24,16,26,9,41
2020-09-19,26,14,20,35,56,37,22,22,33,12,52
2020-09-18,34,18,23,56,62,41,41,36,38,15,58
2020-09-17,43,19,25,55,56,53,73,38,39,17,58
2020-09-16,54,25,32,74,63,55,59,43,46,23,63
2020-09-15,39,16,24,47,47,41,54,34,37,18,52
2020-09-14,34,18,24,43,51,43,38,28,34,17,50
2020-09-13,20,11,15,19,46,28,19,16,28,10,44
2020-09-12,25,11,20,36,53,39,32,13,31,11,50
2020-09-11,36,18,27,55,63,53,51,32,39,18,60
2020-09-10,34,18,27,47,53,43,43,39,38,16,58
2020-09-09,37,18,23,47,54,46,57,32,37,17,54
2020-09-08,38,13,22,41,63,45,35,30,35,16,56
2020-09-07,20,10,11,29,54,31,27,12,25,9,43
2020-09-06,21,11,13,18,49,32,30,14,28,11,43
2020-09-05,27,15,23,38,65,36,35,20,37,14,57
2020-09-04,40,18,28,67,54,51,73,44,42,17,66
2020-09-03,41,20,29,53,53,49,32,36,39,17,62
2020-09-02,36,18,24,55,54,43,43,37,37,16,56
2020-09-01,35,16,25,51,50,43,43,22,36,15,53
2020-08-31,31,16,23,47,47,37,43,25,32,15,45
2020-08-30,16,7,11,16,55,23,24,11,25,8,40
2020-08-29,21,11,15,26,44,40,27,16,27,9,46
2020-08-28,32,13,19,45,50,39,49,27,34,14,54
2020-08-27,38,17,23,54,59,39,62,30,37,16,60
2020-08-26,33,16,22,49,54,40,54,28,34,15,54
2020-08-25,34,18,23,50,52,38,49,36,35,15,56
2020-08-24,34,12,23,42,49,37,35,23,35,15,55
2020-08-23,21,9,14,17,51,21,19,12,26,8,43
2020-08-22,27,14,15,45,54,33,30,18,33,10,54
2020-08-21,37,21,22,61,59,47,51,35,39,16,65
2020-08-20,38,18,24,54,49,47,54,36,37,15,62
2020-08-19,38,18,23,49,52,42,46,36,38,17,57
2020-08-18,36,17,22,37,51,39,30,36,36,16,54
2020-08-17,34,17,22,43,44,34,49,32,35,15,55
2020-08-16,21,7,11,19,64,32,19,15,28,7,48
2020-08-15,28,12,19,42,68,33,27,19,32,7,53
2020-08-14,35,15,22,59,54,44,65,31,39,13,66
2020-08-13,36,17,25,51,47,38,35,31,38,14,62
2020-08-12,32,17,23,54,50,45,51,35,37,15,64
2020-08-11,35,12,22,49,44,38,38,28,35,13,60
2020-08-10,23,11,16,34,40,32,76,19,30,10,54
2020-08-09,21,10,12,20,51,31,14,16,30,10,50
2020-08-08,27,15,15,36,58,33,38,15,34,13,57
2020-08-07,36,20,24,55,62,50,59,38,42,18,69
2020-08-06,41,17,22,50,58,39,46,36,40,16,63
2020-08-05,38,19,20,47,46,41,43,36,38,16,60
2020-08-04,34,16,22,44,52,35,49,33,37,16,57
2020-08-03,35,17,20,44,57,42,59,31,37,16,57
2020-08-02,18,10,15,21,43,24,27,17,32,8,56
2020-08-01,23,12,15,41,46,31,46,14,34,10,58
2020-07-31,36,18,26,52,43,33,54,32,41,16,64
2020-07-30,37,19,28,48,51,33,65,43,40,18,60
2020-07-29,38,16,24,48,51,35,73,32,39,15,59
2020-07-28,35,17,21,46,55,39,41,40,37,15,57
2020-07-27,39,20,25,47,47,39,65,32,36,15,58
2020-07-26,17,7,10,16,41,18,30,13,25,7,42
2020-07-25,26,13,17,40,58,26,27,20,35,11,58
2020-07-24,26,15,19,34,43,24,30,20,32,14,50
2020-07-23,34,18,23,49,48,35,65,35,37,15,59
2020-07-22,31,18,23,53,48,42,68,42,38,16,58
2020-07-21,35,21,21,48,48,39,49,35,36,16,58
2020-07-20,33,16,18,34,43,29,49,38,35,16,51
2020-07-19,16,9,11,15,40,20,19,15,27,9,44
2020-07-18,25,13,14,36,47,25,35,23,33,12,52
2020-07-17,35,17,22,44,55,34,57,39,39,17,63
2020-07-16,38,18,23,46,43,33,51,34,39,17,63
2020-07-15,31,18,22,48,43,35,57,32,36,17,56
2020-07-14,35,18,18,48,44,34,54,36,35,16,54
2020-07-13,34,15,19,41,46,38,43,29,35,16,56
2020-07-12,18,10,9,17,49,17,16,10,27,10,46
2020-07-11,21,13,15,33,53,24,38,22,32,12,52
2020-07-10,34,16,22,54,46,35,38,33,38,15,60
2020-07-09,34,14,20,42,59,33,62,39,35,16,55
2020-07-08,38,16,21,43,54,33,51,41,37,17,61
2020-07-07,30,12,17,31,40,32,38,30,33,15,47
2020-07-06,30,14,19,42,47,31,32,27,33,15,53
2020-07-05,18,7,10,13,35,19,32,9,26,10,41
2020-07-04,19,7,9,17,34,12,22,9,21,9,31
2020-07-03,22,11,14,35,40,25,27,20,30,11,56
2020-07-02,32,16,24,42,47,31,57,29,37,15,61
2020-07-01,36,12,18,41,41,34,32,43,35,14,57
2020-06-30,33,16,22,39,35,35,41,28,33,15,50
2020-06-29,33,15,24,38,46,32,49,30,34,14,54
2020-06-28,15,9,10,14,43,13,8,9,23,8,38
2020-06-27,20,13,17,31,49,25,24,20,28,10,46
2020-06-26,27,15,22,39,41,23,49,38,35,15,58
2020-06-25,33,15,22,46,50,31,30,34,36,15,58
2020-06-24,26,15,17,36,41,27,35,24,30,14,45
2020-06-23,29,16,25,43,44,30,68,34,34,15,53
2020-06-22,31,14,23,37,52,32,62,36,33,16,53
2020-06-21,13,8,12,12,48,16,19,11,23,7,42
2020-06-20,15,11,18,24,61,25,32,14,29,10,54
2020-06-19,27,16,22,44,46,31,51,30,36,14,63
2020-06-18,26,13,21,45,54,34,46,39,36,15,60
2020-06-17,28,12,17,38,52,34,51,36,33,14,53
2020-06-16,27,13,18,46,53,34,35,26,34,15,57
2020-06-15,29,15,21,42,58,34,59,36,33,15,55
2020-06-14,13,7,8,15,42,20,8,10,22,7,42
2020-06-13,17,10,13,23,47,24,19,19,27,9,51
2020-06-12,27,13,25,47,58,36,73,26,38,14,70
2020-06-11,27,17,22,47,45,37,73,34,34,14,58
2020-06-10,24,12,19,42,61,30,46,35,31,13,53
2020-06-09,23,11,18,37,43,32,54,34,29,13,47
2020-06-08,28,12,16,38,57,39,54,31,31,13,52
2020-06-07,9,4,6,10,34,20,24,7,15,4,24
2020-06-06,21,7,13,26,42,25,32,12,27,7,51
2020-06-05,20,11,16,38,49,38,46,28,30,10,56
2020-06-04,22,9,13,29,42,32,51,29,26,10,43
2020-06-03,15,6,16,28,40,34,51,25,25,9,44
2020-06-02,8,5,12,25,41,25,19,15,21,3,43
2020-06-01,7,7,14,20,46,24,24,15,22,3,47
2020-05-31,8,11,8,13,43,15,24,12,24,5,36
2020-05-30,20,10,15,34,57,21,27,15,30,12,45
2020-05-29,21,11,14,39,47,27,57,26,30,12,53
2020-05-28,24,12,16,28,45,30,70,34,29,11,47
2020-05-27,26,12,18,38,48,25,65,27,31,12,53
2020-05-26,22,13,14,31,46,31,30,29,29,12,48
2020-05-25,13,7,9,19,38,22,32,15,19,6,28
2020-05-24,15,5,9,13,49,17,22,7,19,7,29
2020-05-23,16,7,10,22,55,18,27,10,24,8,39
2020-05-22,23,12,18,42,55,37,65,28,32,12,58
2020-05-21,23,12,11,36,48,25,57,32,31,12,51
2020-05-20,25,12,17,35,47,30,41,25,29,12,47
2020-05-19,24,11,15,35,49,29,32,27,28,11,46
2020-05-18,20,11,13,33,51,25,46,26,27,10,43
2020-05-17,9,6,5,11,40,13,8,10,18,5,36
2020-05-16,14,7,11,29,54,15,24,10,23,8,36
2020-05-15,24,11,15,36,47,29,38,23,29,11,47
2020-05-14,18,11,11,32,46,18,38,22,26,10,40
2020-05-13,17,11,12,32,44,30,62,28,25,10,41
2020-05-12,17,10,11,27,47,27,38,26,23,9,31
2020-05-11,18,11,13,29,45,22,70,19,25,11,36
2020-05-10,9,5,6,10,43,12,16,9,15,3,22
2020-05-09,11,6,11,21,52,25,22,13,21,6,33
2020-05-08,21,9,14,37,60,34,70,37,28,11,46
2020-05-07,21,8,11,25,44,23,49,26,24,9,34
2020-05-06,23,10,14,29,45,25,73,30,25,10,37
2020-05-05,24,9,15,32,48,29,41,30,25,9,36
2020-05-04,19,9,16,28,52,23,43,26,24,9,35
2020-05-03,9,4,9,9,40,14,14,8,15,4,15
2020-05-02,8,10,12,18,42,18,27,8,19,6,25
2020-05-01,18,10,17,38,54,26,51,26,27,10,43
2020-04-30,18,10,19,26,47,27,41,23,25,11,36
2020-04-29,20,8,14,24,43,21,54,20,23,9,33
2020-04-28,23,11,16,38,54,25,41,31,25,9,37
2020-04-27,18,11,13,29,48,23,43,29,24,10,35
2020-04-26,10,5,9,11,49,18,11,13,15,5,18
2020-04-25,11,8,9,22,50,21,19,9,17,6,20
2020-04-24,19,11,18,32,53,30,51,34,25,9,38
2020-04-23,22,9,18,36,52,23,46,23,24,9,37
2020-04-22,20,9,17,27,49,25,46,20,24,9,34
2020-04-21,21,11,17,32,48,25,51,29,23,9,34
2020-04-20,18,10,16,30,54,23,43,22,22,9,32
2020-04-19,9,6,8,11,46,19,19,3,14,5,17
2020-04-18,11,6,11,25,54,22,30,15,18,7,24
2020-04-17,16,8,13,24,51,24,62,19,22,8,32
2020-04-16,21,10,13,33,56,23,27,31,23,9,37
2020-04-15,23,8,14,26,50,24,32,21,22,9,30
2020-04-14,19,11,11,27,46,29,62,23,22,9,33
2020-04-13,19,9,11,32,38,20,46,22,21,8,31
2020-04-12,10,6,7,10,38,12,0,7,13,4,14
2020-04-11,12,8,9,17,62,23,30,14,17,6,21
2020-04-10,16,9,13,34,58,27,68,22,23,9,35
2020-04-09,20,8,13,27,43,22,51,28,23,9,31
2020-04-08,20,12,16,29,53,32,49,27,25,10,36
2020-04-07,22,13,14,30,53,22,65,28,25,9,33
2020-04-06,25,10,13,32,50,30,27,21,24,9,31
2020-04-05,10,7,5,8,49,14,22,11,15,4,16
2020-04-04,10,7,9,18,57,18,38,12,17,5,20
2020-04-03,18,10,15,32,67,37,27,23,26,9,36
2020-04-02,20,9,15,29,55,26,43,22,24,9,31
2020-04-01,22,11,15,32,54,26,51,22,27,10,35
2020-03-31,19,13,12,25,53,23,41,23,25,10,33
2020-03-30,23,16,14,33,48,24,38,27,26,11,31
2020-03-29,9,4,5,10,39,14,5,6,15,4,15
2020-03-28,13,6,8,16,48,20,22,10,17,6,19
2020-03-27,23,11,16,33,65,27,51,26,27,10,36
2020-03-26,24,13,17,31,48,24,49,20,27,11,35
2020-03-25,28,15,18,31,65,36,54,31,28,11,34
2020-03-24,23,14,12,32,65,21,54,24,26,11,31
2020-03-23,22,17,18,31,61,30,49,23,27,12,29
2020-03-22,12,7,7,9,48,14,22,6,16,4,17
2020-03-21,10,6,9,13,51,18,38,7,18,5,17
2020-03-20,26,17,14,34,69,37,19,31,35,16,38
2020-03-19,37,21,24,48,79,39,68,36,41,20,50
2020-03-18,46,24,25,45,73,48,51,44,46,24,57
2020-03-17,57,34,32,53,81,54,84,44,51,30,60
2020-03-16,82,45,43,80,104,67,92,66,69,42,73
2020-03-15,32,18,16,23,91,33,22,26,38,16,50
2020-03-14,46,32,25,60,108,56,38,17,54,29,67
2020-03-13,119,78,72,109,149,95,114,90,105,74,98
2020-03-12,132,122,94,118,122,110,154,129,133,109,99
