Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-15,9,12,6,7,2,4,3,13,2,1
2020-11-14,10,12,7,13,1,1,6,18,3,5
2020-11-13,25,26,33,22,15,21,23,30,6,11
2020-11-12,24,19,29,21,18,28,24,28,6,10
2020-11-11,18,19,24,19,12,23,21,27,5,10
2020-11-10,24,21,32,19,18,23,21,28,6,11
2020-11-09,28,16,30,19,13,28,25,28,5,11
2020-11-08,12,17,5,9,2,6,5,15,3,1
2020-11-07,11,17,14,14,4,6,6,20,4,5
2020-11-06,21,26,30,24,17,20,21,30,6,10
2020-11-05,22,23,37,20,19,18,22,28,6,10
2020-11-04,22,19,28,19,14,27,25,26,5,9
2020-11-03,22,24,31,20,15,20,19,28,6,10
2020-11-02,26,30,31,24,18,10,26,30,7,11
2020-11-01,8,14,6,7,2,3,3,14,3,1
2020-10-31,12,19,10,14,3,6,4,19,3,5
2020-10-30,26,23,38,22,12,27,23,31,7,11
2020-10-29,29,35,36,24,17,25,25,32,7,12
2020-10-28,27,26,29,22,16,30,20,32,7,12
2020-10-27,25,23,33,21,14,20,22,30,7,12
2020-10-26,24,20,29,22,17,11,25,31,6,11
2020-10-25,10,17,6,11,2,0,2,18,3,1
2020-10-24,17,28,14,21,4,8,7,27,4,7
2020-10-23,27,29,38,27,16,15,22,33,7,12
2020-10-22,26,33,34,26,11,23,24,36,7,12
2020-10-21,24,25,30,24,13,23,23,33,7,12
2020-10-20,30,24,32,25,13,21,23,33,7,12
2020-10-19,22,27,28,25,17,14,24,31,7,11
2020-10-18,12,18,5,13,4,3,3,19,4,1
2020-10-17,19,23,17,25,4,8,9,28,6,7
2020-10-16,30,34,37,28,16,14,19,35,8,13
2020-10-15,30,23,33,23,13,24,22,33,7,13
2020-10-14,23,30,28,23,19,21,24,32,8,12
2020-10-13,26,26,32,24,19,21,24,32,8,12
2020-10-12,17,20,23,22,14,17,18,28,7,11
2020-10-11,7,17,11,14,2,7,4,19,4,1
2020-10-10,13,19,13,19,3,3,5,25,5,7
2020-10-09,23,27,43,27,13,23,19,36,8,13
2020-10-08,30,31,30,30,16,17,25,34,8,13
2020-10-07,28,21,34,25,20,25,25,33,8,13
2020-10-06,25,21,30,27,20,20,21,33,9,12
2020-10-05,24,15,34,23,16,24,24,31,8,12
2020-10-04,9,12,8,12,2,6,3,17,3,1
2020-10-03,11,18,13,15,4,11,6,22,5,6
2020-10-02,26,32,42,26,16,21,21,34,13,13
2020-10-01,26,21,37,25,18,20,23,34,23,13
2020-09-30,24,26,33,29,25,18,28,35,26,14
2020-09-29,30,23,27,27,22,10,24,34,24,13
2020-09-28,22,23,29,24,15,10,24,31,22,12
2020-09-27,11,18,7,12,3,6,3,19,15,2
2020-09-26,13,17,15,18,6,13,7,25,22,6
2020-09-25,26,30,40,26,14,25,25,36,26,13
2020-09-24,28,26,33,26,13,24,21,34,25,13
2020-09-23,31,22,33,27,17,30,24,35,25,14
2020-09-22,23,18,41,28,17,25,21,34,24,13
2020-09-21,23,20,35,22,13,18,21,29,20,11
2020-09-20,11,11,6,14,1,6,3,17,15,1
2020-09-19,12,16,11,18,3,4,6,23,20,6
2020-09-18,23,28,34,27,16,28,21,34,24,12
2020-09-17,26,23,30,26,18,21,22,34,24,13
2020-09-16,30,25,32,26,17,32,23,37,27,14
2020-09-15,26,25,37,25,16,23,20,34,25,12
2020-09-14,24,27,34,25,15,30,22,32,23,12
2020-09-13,12,23,7,17,3,1,4,20,17,1
2020-09-12,12,23,13,16,2,4,6,21,18,5
2020-09-11,30,32,28,31,16,18,19,36,25,14
2020-09-10,32,30,46,29,17,31,21,34,25,14
2020-09-09,27,22,34,24,16,34,20,34,25,14
2020-09-08,24,26,30,24,18,14,21,32,23,12
2020-09-07,10,17,16,15,7,10,10,22,16,7
2020-09-06,10,23,11,15,5,3,6,21,19,2
2020-09-05,15,26,15,20,5,6,9,27,24,7
2020-09-04,30,38,35,28,17,28,21,38,30,14
2020-09-03,28,28,38,28,17,27,25,36,29,14
2020-09-02,30,24,38,25,15,24,19,36,28,14
2020-09-01,27,34,37,26,19,28,23,35,26,15
2020-08-31,25,23,32,20,16,28,21,31,23,12
