Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
2020-09-06,68,49,23,0,59,50,57,86,64,43,68
2020-09-05,88,86,46,0,83,36,92,120,94,61,96
2020-09-04,52,111,62,0,71,50,100,117,86,104,98
2020-09-03,136,78,38,0,59,72,92,114,74,109,84
2020-09-02,72,82,69,0,80,64,93,96,76,52,82
2020-09-01,112,72,15,0,68,72,71,82,64,61,75
2020-08-31,84,60,31,0,71,53,66,74,52,57,71
2020-08-30,116,54,54,0,76,31,66,85,80,57,65
2020-08-29,116,102,54,0,105,47,88,86,85,52,85
2020-08-28,112,80,92,0,76,44,70,98,58,61,78
2020-08-27,140,78,77,0,85,58,77,103,58,78,79
2020-08-26,132,74,62,0,66,47,74,113,54,70,76
2020-08-25,76,70,69,0,54,94,75,93,65,52,72
2020-08-24,44,48,54,0,71,64,74,88,62,78,70
2020-08-23,56,54,77,0,44,47,68,90,64,48,65
2020-08-22,100,82,54,0,88,69,101,101,115,91,99
2020-08-21,88,74,108,0,63,83,103,122,96,100,91
2020-08-20,132,85,62,0,66,69,84,117,72,61,79
2020-08-19,100,75,38,0,68,78,79,116,66,96,77
2020-08-18,80,73,23,0,63,67,86,99,54,104,71
2020-08-17,40,65,54,0,63,58,89,101,63,61,75
2020-08-16,136,51,31,0,63,53,84,101,70,65,71
2020-08-15,112,91,85,0,71,64,92,108,100,61,92
2020-08-14,120,108,100,0,63,47,97,118,79,91,88
2020-08-13,128,79,92,0,63,64,87,99,68,43,77
2020-08-12,48,79,54,0,63,81,93,115,61,87,77
2020-08-11,92,88,46,0,76,72,88,114,82,87,80
2020-08-10,48,48,23,0,61,53,74,101,35,70,61
2020-08-09,60,70,23,0,68,36,85,113,88,65,75
2020-08-08,132,103,54,0,66,25,110,118,103,91,92
2020-08-07,100,103,92,0,83,67,107,128,87,83,88
2020-08-06,128,84,38,0,63,67,95,118,66,83,81
2020-08-05,92,81,85,0,80,56,97,114,57,74,82
2020-08-04,80,66,0,0,76,44,91,99,54,78,73
2020-08-03,60,61,31,0,66,53,84,108,56,91,76
2020-08-02,64,56,0,0,51,28,69,116,87,61,77
2020-08-01,68,73,23,0,68,58,89,113,92,43,91
2020-07-31,112,99,54,0,80,67,94,143,77,70,93
2020-07-30,100,75,77,0,85,75,91,110,74,109,83
2020-07-29,104,83,62,0,80,94,84,110,87,104,82
2020-07-28,104,55,23,0,68,50,88,98,60,91,74
2020-07-27,72,60,62,0,66,75,77,102,62,52,73
2020-07-26,88,49,54,0,71,42,61,98,66,43,58
2020-07-25,140,100,69,0,115,67,104,136,109,70,99
2020-07-24,120,81,62,0,76,89,83,104,74,96,76
2020-07-23,120,97,77,0,102,75,87,115,69,87,77
2020-07-22,84,92,31,0,68,83,88,124,68,65,83
2020-07-21,64,76,15,0,54,89,81,119,71,113,73
2020-07-20,52,51,38,0,73,53,77,99,54,78,68
2020-07-19,64,50,31,0,54,31,67,81,64,43,63
2020-07-18,120,89,69,0,59,61,91,132,105,74,92
2020-07-17,80,73,62,0,59,75,98,127,71,39,80
2020-07-16,112,86,38,0,71,78,95,116,65,83,79
2020-07-15,104,67,15,0,90,61,86,111,61,61,75
2020-07-14,80,85,38,0,71,58,76,93,71,87,72
2020-07-13,56,59,31,0,59,58,82,101,62,83,70
2020-07-12,92,63,62,0,68,53,81,112,81,70,75
2020-07-11,60,114,23,0,78,61,91,115,91,96,94
2020-07-10,108,93,108,0,71,61,87,106,91,83,93
2020-07-09,96,77,38,0,46,89,87,104,60,74,77
2020-07-08,60,80,100,0,63,58,89,113,60,100,81
2020-07-07,96,58,15,0,85,58,76,93,52,61,69
2020-07-06,56,76,31,0,83,89,75,113,75,52,81
2020-07-05,68,52,31,0,73,42,79,102,87,57,66
2020-07-04,32,51,15,0,85,36,74,79,65,52,71
2020-07-03,80,105,54,0,61,75,107,128,132,91,119
2020-07-02,100,98,62,0,49,72,96,142,102,100,96
2020-07-01,104,80,38,0,66,61,89,109,74,91,80
2020-06-30,80,79,8,0,71,83,92,115,86,43,80
2020-06-29,60,48,46,0,59,75,91,113,77,61,80
2020-06-28,28,46,15,0,59,33,78,100,73,87,70
2020-06-27,104,74,23,0,61,58,95,124,107,70,100
2020-06-26,60,79,69,0,29,81,89,115,85,83,82
2020-06-25,48,87,38,0,78,86,97,119,77,78,86
2020-06-24,84,55,15,0,46,72,71,104,40,57,67
2020-06-23,48,79,38,0,68,61,83,102,60,117,78
2020-06-22,64,46,23,0,46,69,81,86,81,74,70
2020-06-21,24,64,54,0,63,50,81,88,84,61,74
2020-06-20,52,105,69,0,73,97,103,125,108,83,106
2020-06-19,40,76,46,0,59,53,90,125,95,74,96
2020-06-18,68,87,62,0,61,67,92,110,93,122,88
2020-06-17,20,67,38,0,76,56,85,119,77,83,86
2020-06-16,36,61,46,0,78,83,86,109,50,87,80
2020-06-15,36,49,38,0,83,81,99,105,56,65,81
2020-06-14,28,51,15,0,76,33,74,96,42,65,72
2020-06-13,44,73,54,0,110,75,88,107,43,70,89
2020-06-12,72,72,69,0,95,81,106,134,40,74,89
2020-06-11,64,71,46,0,73,83,112,119,41,83,89
2020-06-10,52,70,46,0,83,83,90,116,38,87,77
2020-06-09,60,45,54,0,68,61,79,87,29,57,67
2020-06-08,56,52,31,0,93,81,88,106,45,78,79
2020-06-07,44,36,38,0,39,47,70,84,20,61,59
2020-06-06,56,81,69,0,98,69,96,112,19,87,86
2020-06-05,32,81,38,0,83,83,122,101,17,91,72
2020-06-04,36,60,62,0,66,72,78,98,5,83,52
2020-06-03,36,66,54,0,56,106,74,100,8,43,54
2020-06-02,40,40,31,0,73,103,66,85,3,52,45
2020-06-01,44,41,69,0,34,72,93,102,5,52,56
2020-05-31,52,39,31,0,83,28,65,75,5,39,46
2020-05-30,20,51,38,0,63,50,98,108,11,65,67
2020-05-29,60,64,77,0,71,75,88,104,17,70,63
2020-05-28,40,52,38,0,54,67,86,78,9,70,49
2020-05-27,52,63,54,0,93,64,80,98,11,96,55
2020-05-26,60,42,31,0,80,69,81,113,14,83,54
2020-05-25,32,34,38,0,71,53,73,92,5,65,51
2020-05-24,16,39,38,0,88,53,73,90,7,48,50
2020-05-23,76,58,69,0,49,75,98,130,15,61,66
2020-05-22,28,64,85,0,61,81,106,92,11,78,65
2020-05-21,36,53,62,0,66,50,93,104,13,83,56
2020-05-20,16,40,15,0,51,42,89,105,8,74,52
2020-05-19,44,46,62,0,71,72,75,87,4,48,49
2020-05-18,60,39,38,0,59,83,71,93,5,61,50
2020-05-17,8,31,8,0,32,42,62,63,3,17,33
2020-05-16,64,59,69,0,59,58,108,108,5,52,62
2020-05-15,72,40,31,0,80,75,98,106,4,52,56
2020-05-14,32,37,46,0,41,44,71,85,1,35,41
2020-05-13,48,41,54,0,80,72,76,87,3,78,49
2020-05-12,32,31,38,0,34,64,63,61,4,39,42
2020-05-11,12,27,31,0,49,72,66,76,3,43,45
2020-05-10,40,25,38,0,27,53,66,83,1,39,38
2020-05-09,28,45,85,0,71,103,76,86,1,57,60
2020-05-08,48,60,69,0,68,100,79,88,4,61,58
2020-05-07,44,32,46,0,54,47,63,69,5,43,41
2020-05-06,32,39,46,0,56,47,72,86,5,78,49
2020-05-05,84,45,38,0,54,56,70,73,5,52,40
2020-05-04,48,37,69,0,37,61,75,75,5,39,45
2020-05-03,28,35,0,0,41,36,71,64,3,52,40
2020-05-02,44,51,46,0,63,56,76,83,7,83,59
2020-05-01,88,52,100,0,78,81,83,92,5,70,56
2020-04-30,72,48,54,0,37,64,72,78,5,26,43
2020-04-29,84,41,31,0,29,44,58,75,3,43,35
2020-04-28,92,42,31,0,61,64,74,80,7,30,46
2020-04-27,32,44,46,0,61,72,69,72,3,48,42
2020-04-26,32,37,62,0,56,58,71,62,2,43,37
2020-04-25,28,56,31,0,59,67,79,86,8,57,45
2020-04-24,60,52,54,0,29,81,89,93,3,39,48
2020-04-23,84,46,38,0,41,92,75,64,3,35,40
2020-04-22,76,40,23,0,51,72,74,73,1,43,40
2020-04-21,24,48,23,0,73,89,71,77,5,39,43
2020-04-20,52,49,31,0,44,72,66,67,7,43,46
2020-04-19,32,32,8,0,51,61,66,75,4,48,39
2020-04-18,48,56,38,0,63,122,73,75,11,26,54
2020-04-17,56,54,54,0,41,103,71,80,5,39,46
2020-04-16,48,52,46,0,56,58,75,78,5,43,44
2020-04-15,76,46,54,0,49,83,71,70,1,43,42
2020-04-14,80,38,54,0,49,72,60,58,3,35,39
2020-04-13,40,31,69,0,49,75,54,66,8,30,40
2020-04-12,32,21,15,0,63,50,40,50,1,43,24
2020-04-11,40,55,38,0,51,78,71,73,5,43,49
2020-04-10,36,48,31,0,54,106,69,91,6,43,50
2020-04-09,16,33,38,0,66,69,67,70,5,52,41
2020-04-08,16,42,23,0,66,83,55,70,10,48,42
2020-04-07,16,48,38,0,80,81,60,73,3,26,42
2020-04-06,52,30,31,0,46,97,60,68,3,57,38
2020-04-05,60,35,23,0,63,47,54,55,3,52,35
2020-04-04,12,34,31,0,51,72,65,66,2,61,44
2020-04-03,64,51,85,0,49,125,74,89,9,57,49
2020-04-02,32,43,23,0,56,58,70,79,5,48,44
2020-04-01,60,45,54,0,66,53,72,62,4,70,44
2020-03-31,40,44,69,0,44,83,57,65,5,57,40
2020-03-30,48,34,46,0,59,92,55,64,10,22,38
2020-03-29,56,15,8,0,34,42,49,52,5,22,31
2020-03-28,84,34,31,0,66,81,66,63,3,57,39
2020-03-27,56,38,38,0,56,94,68,76,3,57,43
2020-03-26,56,39,31,0,59,119,62,66,8,87,41
2020-03-25,28,49,31,0,98,89,73,78,5,52,42
2020-03-24,52,34,46,0,71,83,49,67,7,57,38
2020-03-23,40,37,38,0,24,92,62,72,3,52,37
2020-03-22,20,25,8,0,44,44,48,45,4,35,26
2020-03-21,68,35,38,0,37,83,59,59,5,48,43
2020-03-20,40,54,54,0,66,92,67,65,11,61,57
2020-03-19,48,58,54,0,66,89,72,88,21,96,60
2020-03-18,56,55,69,0,61,100,74,80,44,65,57
2020-03-17,84,76,85,0,173,97,86,98,62,217,69
2020-03-16,96,74,69,0,88,119,107,102,47,335,79
2020-03-15,172,84,123,0,46,122,86,90,115,143,92
2020-03-14,132,105,100,0,78,136,99,103,125,230,113
2020-03-13,132,101,108,30,110,161,117,118,87,187,112
2020-03-12,68,88,115,116,98,97,104,101,91,209,95
2020-03-11,96,111,115,115,129,111,101,91,87,170,93
2020-03-10,84,103,123,88,110,106,107,88,85,139,89
2020-03-09,108,70,115,91,102,122,104,96,93,209,90
2020-03-08,176,92,38,122,83,75,108,128,177,109,117
2020-03-07,152,126,192,157,98,119,114,120,217,148,154
2020-03-06,128,98,131,106,127,97,136,129,104,130,113
2020-03-05,140,104,100,90,117,81,118,101,91,178,95
2020-03-04,80,113,92,106,139,100,111,110,97,135,98
2020-03-03,40,95,123,99,132,97,105,110,68,187,101
2020-03-02,56,105,100,102,137,142,116,114,103,122,101
2020-03-01,172,155,46,138,71,131,119,143,178,83,133
2020-02-29,180,197,54,94,105,122,129,138,209,100,168
2020-02-28,144,147,123,83,110,128,147,125,122,130,124
2020-02-27,124,114,192,95,200,97,130,113,104,104,100
2020-02-26,44,109,85,85,207,83,99,102,72,61,90
2020-02-25,56,96,85,99,137,106,99,93,71,109,90
2020-02-24,76,98,123,92,151,100,111,107,72,139,84
2020-02-23,256,95,31,135,66,72,101,100,127,70,107
2020-02-22,172,149,108,133,83,147,110,139,175,113,137
2020-02-21,120,131,100,95,149,100,130,119,89,91,103
2020-02-20,64,105,115,97,193,94,105,96,79,148,85
2020-02-19,96,101,100,112,134,131,100,103,69,104,84
2020-02-18,44,81,92,102,107,97,85,96,61,104,87
2020-02-17,68,105,31,106,61,103,81,94,112,35,95
2020-02-16,124,95,31,129,44,83,80,109,136,65,107
2020-02-15,164,146,100,126,100,167,97,112,170,104,127
2020-02-14,108,126,85,106,120,147,107,122,110,100,124
2020-02-13,48,109,138,97,95,106,98,92,109,126,94
2020-02-12,68,116,92,119,146,53,102,98,70,100,91
2020-02-11,48,102,131,109,102,69,92,91,87,104,92
2020-02-10,88,77,100,94,124,111,85,96,72,113,82
2020-02-09,168,81,85,121,32,81,76,82,107,43,88
2020-02-08,212,127,69,112,85,139,110,107,175,130,129
2020-02-07,104,116,123,120,95,108,119,123,105,91,103
2020-02-06,68,79,108,85,129,97,95,97,67,78,84
2020-02-05,44,82,162,93,139,97,104,102,70,130,81
2020-02-04,64,82,92,116,122,86,109,100,87,78,93
2020-02-03,64,76,77,74,117,86,99,81,98,96,96
2020-02-02,140,66,77,122,63,119,90,96,130,83,105
2020-02-01,112,126,115,119,85,156,117,108,140,74,134
2020-01-31,124,117,169,112,102,111,120,117,111,87,114
2020-01-30,52,105,54,83,112,86,95,97,79,113,88
2020-01-29,68,106,100,105,141,128,95,89,88,117,81
2020-01-28,96,90,77,94,115,119,85,90,68,78,87
2020-01-27,36,82,77,88,110,97,90,95,66,161,80
2020-01-26,124,68,69,84,27,92,73,83,89,57,84
2020-01-25,172,117,115,105,51,97,98,98,136,83,117
2020-01-24,76,110,146,91,93,83,106,90,74,187,93
2020-01-23,72,82,46,73,124,92,78,80,50,83,69
2020-01-22,60,83,115,72,139,92,92,71,59,61,83
2020-01-21,60,78,154,77,98,111,97,78,77,104,89
2020-01-20,36,73,92,112,56,122,70,93,77,65,90
2020-01-19,112,76,77,84,37,78,85,66,94,57,89
2020-01-18,100,116,54,106,59,97,83,101,141,113,115
2020-01-17,152,91,92,67,83,97,106,86,79,74,94
2020-01-16,68,81,131,81,122,78,87,85,85,100,90
2020-01-15,56,91,146,99,124,83,116,88,77,122,94
2020-01-14,44,91,192,92,190,89,94,85,73,87,85
2020-01-13,64,73,162,94,102,78,93,87,74,109,84
2020-01-12,120,62,38,100,44,72,65,69,79,61,81
2020-01-11,200,99,138,76,51,89,80,85,89,161,96
2020-01-10,148,96,123,117,127,114,108,125,73,122,109
2020-01-09,84,88,108,99,151,103,94,93,68,104,85
2020-01-08,52,82,123,86,151,125,86,82,67,83,83
2020-01-07,56,71,138,91,85,83,86,83,60,91,87
2020-01-06,76,85,123,99,93,108,88,97,68,70,92
2020-01-05,92,89,54,137,27,78,86,72,142,39,116
2020-01-04,176,138,131,122,32,122,113,103,150,130,127
2020-01-03,168,125,131,80,34,103,140,122,101,117,114
2020-01-02,68,104,146,101,88,94,103,92,111,113,94
2020-01-01,84,66,62,20,32,53,74,70,58,65,71
2019-12-31,76,101,38,102,44,128,95,100,95,74,105
2019-12-30,88,83,92,114,71,97,97,133,126,83,117
