Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,84,72,154,57,107,69,79,97,70,100,81
2021-03-08,48,69,177,66,100,53,85,76,70,83,71
2021-03-07,140,80,138,66,63,39,74,91,105,100,83
2021-03-06,152,111,131,81,93,44,93,111,115,74,107
2021-03-05,104,103,77,51,88,64,92,103,75,87,89
2021-03-04,120,72,131,63,54,86,74,80,52,87,66
2021-03-03,48,92,131,53,66,44,81,85,55,109,71
2021-03-02,168,88,177,64,88,28,85,70,68,174,68
2021-03-01,140,60,192,51,80,50,71,86,62,104,71
2021-02-28,200,73,138,52,66,42,73,86,83,117,80
2021-02-27,316,127,238,64,83,47,102,93,108,204,105
2021-02-26,136,107,223,63,100,61,114,93,81,178,88
2021-02-25,172,82,231,70,66,53,92,69,50,165,72
2021-02-24,168,94,262,62,90,53,87,75,50,191,69
2021-02-23,100,78,108,55,85,69,84,88,50,196,64
2021-02-22,60,47,115,64,85,53,70,62,44,70,62
2021-02-21,24,49,31,69,56,33,62,62,60,48,60
2021-02-20,60,82,62,74,71,47,83,100,91,104,91
2021-02-19,88,70,123,64,80,42,81,80,47,109,70
2021-02-18,108,74,85,62,61,47,71,73,50,96,60
2021-02-17,60,56,123,51,90,53,62,61,43,109,55
2021-02-16,84,48,85,40,56,53,46,59,22,91,43
2021-02-15,120,47,108,40,59,19,45,62,38,61,46
2021-02-14,40,69,115,60,80,42,59,76,64,74,70
2021-02-13,44,101,92,66,59,67,62,66,89,104,83
2021-02-12,92,109,123,86,61,50,79,98,77,126,88
2021-02-11,104,73,146,74,46,58,71,70,74,96,69
2021-02-10,68,66,54,66,68,25,58,74,52,70,61
2021-02-09,48,58,123,66,100,56,62,62,42,91,60
2021-02-08,32,45,31,50,83,50,61,54,32,83,52
2021-02-07,52,60,69,55,88,25,54,71,42,43,53
2021-02-06,60,79,77,76,54,61,68,86,74,96,80
2021-02-05,68,69,54,71,66,64,67,86,62,39,78
2021-02-04,52,59,62,59,122,61,68,74,39,83,59
2021-02-03,24,69,54,64,98,58,75,79,44,91,61
2021-02-02,40,75,92,72,76,89,66,81,55,96,66
2021-02-01,40,56,38,64,88,53,57,62,39,78,58
2021-01-31,12,32,62,28,49,14,35,44,19,83,30
2021-01-30,80,78,85,88,66,92,72,82,69,74,85
2021-01-29,68,89,108,65,73,69,69,81,70,91,83
2021-01-28,60,66,54,70,68,58,56,71,49,65,60
2021-01-27,56,59,85,52,95,67,61,64,44,52,55
2021-01-26,44,53,46,43,68,44,50,56,37,78,45
2021-01-25,32,47,77,83,59,64,64,77,38,91,62
2021-01-24,96,45,62,71,56,39,57,71,77,17,70
2021-01-23,68,87,77,78,71,39,77,80,77,104,92
2021-01-22,56,71,54,64,85,83,90,94,59,96,78
2021-01-21,48,59,92,64,71,81,64,76,59,83,68
2021-01-20,36,57,46,50,56,42,65,72,34,117,59
2021-01-19,56,52,62,60,68,56,59,71,42,48,58
2021-01-18,36,61,23,81,49,61,55,67,68,39,72
2021-01-17,24,44,31,67,78,50,64,78,67,57,63
2021-01-16,84,103,138,74,110,39,80,88,88,87,88
2021-01-15,52,79,108,71,78,0,76,92,62,74,74
2021-01-14,80,73,54,73,73,39,66,72,62,48,66
2021-01-13,56,62,69,72,61,81,51,74,66,70,66
2021-01-12,32,65,100,64,76,81,59,93,50,113,69
2021-01-11,44,49,115,70,46,28,69,76,44,70,66
2021-01-10,52,63,62,72,44,44,60,77,83,35,67
2021-01-09,40,84,85,92,85,42,74,99,105,100,103
2021-01-08,60,92,85,66,78,0,78,94,57,70,80
2021-01-07,52,74,108,60,54,50,76,79,56,83,70
2021-01-06,44,86,23,67,56,58,76,83,52,61,69
2021-01-05,64,73,62,72,61,69,71,80,61,83,72
2021-01-04,36,58,62,53,73,56,64,76,54,65,66
2021-01-03,24,55,31,83,49,53,66,65,81,48,66
2021-01-02,88,80,85,70,73,53,74,76,93,87,91
2021-01-01,44,46,31,13,46,0,48,62,45,30,48
2020-12-31,48,89,77,88,59,86,71,98,83,52,90
2020-12-30,28,75,54,69,78,53,82,88,71,43,82
2020-12-29,36,65,85,52,46,58,69,68,44,78,72
2020-12-28,20,52,69,64,71,67,81,80,75,83,76
2020-12-27,20,51,31,56,61,53,58,78,80,22,65
2020-12-26,48,93,62,63,88,50,75,93,145,52,107
2020-12-25,12,29,0,12,71,3,32,58,4,17,22
2020-12-24,20,92,100,63,61,42,91,100,198,52,121
2020-12-23,40,128,62,87,80,75,90,107,231,61,134
2020-12-22,28,111,77,100,76,64,95,113,207,48,122
2020-12-21,36,86,54,74,61,39,80,98,177,65,111
2020-12-20,64,80,54,92,80,53,74,80,212,30,103
2020-12-19,56,97,31,84,61,92,102,110,209,30,124
2020-12-18,28,94,85,65,68,58,91,93,136,48,100
2020-12-17,52,77,77,50,71,42,79,81,116,26,80
2020-12-16,28,64,31,48,73,69,66,88,108,48,81
2020-12-15,60,58,31,55,61,61,68,75,83,61,73
2020-12-14,24,62,23,62,76,44,67,86,76,70,72
2020-12-13,24,51,54,81,66,53,58,81,134,39,81
2020-12-12,24,76,38,60,44,67,74,93,128,52,99
2020-12-11,96,61,85,45,63,69,79,88,89,48,84
2020-12-10,36,68,77,66,83,28,76,78,79,61,75
2020-12-09,52,57,31,62,73,89,71,87,97,57,76
2020-12-08,36,66,69,65,51,56,61,76,91,61,73
2020-12-07,48,50,15,67,68,67,66,77,80,57,75
2020-12-06,24,57,85,86,71,47,62,74,121,26,81
2020-12-05,60,103,54,94,98,53,93,109,128,61,114
2020-12-04,52,76,62,70,78,69,91,103,88,48,95
2020-12-03,32,68,85,80,63,44,82,86,72,57,73
2020-12-02,12,52,31,72,59,47,70,72,67,83,76
2020-12-01,44,68,38,67,59,39,64,84,68,61,75
2020-11-30,56,52,62,67,44,83,78,83,62,43,71
2020-11-29,28,45,69,45,51,25,74,75,82,26,69
2020-11-28,44,99,46,65,49,58,76,76,109,48,102
2020-11-27,40,76,92,55,73,50,64,99,145,52,107
2020-11-26,20,25,31,22,56,33,32,61,9,39,30
2020-11-25,36,64,69,109,59,44,89,114,66,39,81
2020-11-24,80,69,23,88,63,67,75,81,70,70,77
2020-11-23,56,42,54,81,51,56,71,75,58,39,76
2020-11-22,52,60,46,86,59,81,67,93,98,39,75
2020-11-21,44,82,77,29,90,67,89,106,107,57,102
2020-11-20,32,88,54,13,76,78,91,86,59,48,87
2020-11-19,36,71,108,0,76,53,84,85,68,48,76
2020-11-18,80,69,54,0,76,72,77,89,44,65,66
2020-11-17,28,57,38,0,59,47,64,82,44,48,63
2020-11-16,36,59,69,0,51,64,67,67,54,61,62
2020-11-15,24,49,54,0,41,47,61,79,79,43,63
2020-11-14,40,85,54,0,71,75,83,113,125,57,95
2020-11-13,132,88,69,0,83,53,91,118,74,87,83
2020-11-12,48,67,77,0,85,64,72,101,61,48,65
2020-11-11,56,62,23,0,59,61,78,94,66,35,72
2020-11-10,76,70,31,0,88,86,66,74,48,48,60
2020-11-09,32,55,31,0,76,75,79,74,56,74,62
2020-11-08,64,49,69,0,63,31,64,72,83,35,65
2020-11-07,68,89,115,0,88,53,90,112,86,65,91
2020-11-06,48,71,108,0,66,50,91,111,79,91,83
2020-11-05,84,69,54,0,68,53,78,93,52,65,59
2020-11-04,80,62,62,0,68,64,69,96,48,43,63
2020-11-03,44,68,62,0,156,97,80,99,71,117,74
2020-11-02,16,55,38,0,88,67,65,85,41,74,64
2020-11-01,56,58,38,0,68,53,69,96,69,35,71
2020-10-31,64,88,54,0,71,81,94,116,87,65,100
2020-10-30,64,74,85,0,76,86,90,115,78,87,95
2020-10-29,108,54,69,0,73,78,78,95,50,78,69
2020-10-28,64,56,38,0,68,56,84,101,61,61,71
2020-10-27,52,54,23,0,78,39,66,86,47,48,65
2020-10-26,76,48,8,0,59,56,67,91,50,52,62
2020-10-25,88,50,38,0,88,72,65,89,83,52,75
2020-10-24,80,94,54,0,85,44,101,112,106,70,103
2020-10-23,140,90,92,0,83,69,94,115,54,74,82
2020-10-22,92,65,92,0,63,92,86,101,56,74,68
2020-10-21,68,65,31,0,83,67,70,98,57,61,68
2020-10-20,36,54,38,0,80,56,69,93,49,52,64
2020-10-19,56,55,46,0,63,72,65,93,38,65,62
2020-10-18,48,63,77,0,68,50,66,101,91,48,72
2020-10-17,164,120,77,0,95,83,105,141,111,96,111
2020-10-16,128,102,92,0,85,92,93,121,91,96,92
2020-10-15,44,72,77,0,68,78,85,92,70,43,73
2020-10-14,40,70,54,0,120,72,73,113,63,48,72
2020-10-13,28,62,69,0,76,61,73,95,58,65,69
2020-10-12,76,63,23,0,66,78,71,85,72,74,72
2020-10-11,92,46,15,0,66,56,81,88,77,39,82
2020-10-10,112,112,77,0,80,69,94,120,102,91,114
2020-10-09,88,86,131,0,88,92,83,106,76,87,88
2020-10-08,136,88,77,0,85,69,71,101,53,78,73
2020-10-07,88,82,46,0,105,83,84,111,62,87,74
2020-10-06,28,66,62,0,93,78,75,79,48,78,63
2020-10-05,56,45,38,0,68,39,87,81,56,65,68
2020-10-04,264,59,85,0,68,61,77,100,105,30,79
2020-10-03,56,91,77,0,85,92,80,112,117,70,108
2020-10-02,128,96,92,0,76,67,91,115,97,61,95
2020-10-01,92,65,85,0,63,64,74,97,63,52,69
2020-09-30,120,79,46,0,88,72,82,103,58,39,68
2020-09-29,92,65,46,0,78,83,85,99,55,65,65
2020-09-28,64,64,92,0,83,33,78,82,53,39,63
2020-09-27,132,55,38,0,88,69,72,87,75,35,71
2020-09-26,52,92,62,0,100,42,86,111,113,65,93
2020-09-25,148,95,92,0,63,47,89,106,90,78,89
2020-09-24,132,64,54,0,90,44,71,130,74,74,72
2020-09-23,40,79,69,0,76,67,84,107,50,70,68
2020-09-22,72,75,54,0,73,64,80,98,68,96,72
2020-09-21,52,50,54,0,71,47,62,82,63,87,57
2020-09-20,128,53,62,0,59,39,70,93,77,35,70
2020-09-19,124,96,54,0,83,72,88,106,118,52,96
2020-09-18,144,86,62,0,68,61,83,90,79,74,77
2020-09-17,120,65,38,0,63,61,81,103,70,57,70
2020-09-16,64,51,8,0,83,81,69,98,52,74,70
2020-09-15,60,55,38,0,80,92,73,87,63,65,66
2020-09-14,112,48,38,0,56,44,62,77,61,83,62
2020-09-13,212,56,54,0,63,39,79,92,79,61,74
2020-09-12,96,91,38,0,90,61,84,109,144,39,101
2020-09-11,124,77,85,0,61,108,84,102,75,57,84
2020-09-10,96,71,62,0,78,67,76,84,52,78,72
2020-09-09,84,64,46,0,93,75,74,97,77,83,72
2020-09-08,92,58,23,0,98,64,67,84,60,70,65
2020-09-07,88,56,31,0,63,64,81,77,80,52,72
