Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-15,0,37,41,275,113,5,41,48,39,11
2020-11-14,100,58,80,475,97,4,71,81,65,22
2020-11-13,0,74,82,375,100,112,75,84,64,33
2020-11-12,100,63,77,375,73,86,72,77,60,33
2020-11-11,100,92,63,200,87,87,60,68,44,39
2020-11-10,100,34,73,425,97,98,69,74,60,50
2020-11-09,200,53,65,225,83,99,62,67,64,44
2020-11-08,200,63,62,475,90,2,69,57,45,61
2020-11-07,0,47,81,500,60,12,49,73,58,33
2020-11-06,200,55,83,525,57,112,63,90,68,17
2020-11-05,100,55,70,400,97,85,49,69,51,39
2020-11-04,100,66,73,350,77,87,64,73,60,50
2020-11-03,100,66,76,225,97,93,99,74,82,39
2020-11-02,100,39,68,150,90,88,78,76,68,50
2020-11-01,100,42,55,275,93,3,74,62,72,39
2020-10-31,100,84,89,575,100,8,74,91,74,33
2020-10-30,200,42,90,275,43,107,88,85,62,33
2020-10-29,100,71,69,450,90,100,62,72,62,44
2020-10-28,0,42,71,100,63,87,65,74,65,67
2020-10-27,0,50,65,200,30,76,73,62,57,50
2020-10-26,0,32,56,175,73,71,64,60,43,22
2020-10-25,100,34,52,175,63,3,51,56,41,33
2020-10-24,100,71,77,350,77,4,58,78,78,6
2020-10-23,100,87,84,475,43,113,78,76,75,44
2020-10-22,100,63,79,225,87,100,66,74,61,33
2020-10-21,0,58,64,375,70,77,42,64,71,33
2020-10-20,300,47,65,175,53,77,69,62,57,39
2020-10-19,100,63,60,225,50,71,49,62,48,44
2020-10-18,0,53,51,425,110,2,49,56,62,6
2020-10-17,0,113,83,800,97,4,93,78,83,28
2020-10-16,100,74,95,525,47,112,100,79,78,44
2020-10-15,100,82,66,300,67,94,81,73,57,22
2020-10-14,100,50,74,300,77,96,79,61,80,61
2020-10-13,0,50,68,325,70,89,63,69,63,50
2020-10-12,0,63,51,200,77,89,66,51,50,33
2020-10-11,0,74,50,200,60,3,57,56,78,33
2020-10-10,0,58,88,150,87,6,83,77,51,39
2020-10-09,0,95,86,50,60,100,84,86,62,28
2020-10-08,0,68,88,250,77,97,65,72,71,39
2020-10-07,100,111,78,225,107,102,78,72,66,61
2020-10-06,200,82,69,225,70,84,83,69,67,50
2020-10-05,100,76,62,75,60,96,76,63,52,33
2020-10-04,0,71,59,250,90,4,60,61,52,22
2020-10-03,0,79,75,300,77,3,89,78,55,50
2020-10-02,100,105,84,200,77,109,92,90,59,39
2020-10-01,0,63,77,175,70,98,81,78,42,50
2020-09-30,0,82,89,175,80,96,69,70,76,28
2020-09-29,0,63,63,200,93,96,52,77,72,39
2020-09-28,100,66,55,175,100,78,57,62,65,17
2020-09-27,0,68,60,325,93,4,66,59,55,33
2020-09-26,0,34,80,175,70,10,61,77,48,39
2020-09-25,100,111,87,175,73,108,71,80,65,67
2020-09-24,0,74,69,200,63,100,90,83,78,33
2020-09-23,200,45,76,175,60,108,75,72,69,78
2020-09-22,0,68,72,100,70,86,70,81,58,50
2020-09-21,100,71,56,50,57,75,60,62,61,33
2020-09-20,100,76,52,125,77,3,63,66,48,33
2020-09-19,100,71,90,300,50,3,75,85,76,33
2020-09-18,0,55,76,125,57,85,67,77,82,22
2020-09-17,100,39,77,175,73,84,92,66,68,67
2020-09-16,100,76,75,75,63,88,79,85,62,67
2020-09-15,300,68,70,50,87,91,66,67,58,39
2020-09-14,100,55,65,75,53,81,86,61,57,33
2020-09-13,100,82,62,100,57,3,55,59,55,22
2020-09-12,0,71,78,175,63,4,66,70,82,17
2020-09-11,0,87,91,100,70,89,85,77,87,56
2020-09-10,0,50,79,50,90,97,82,72,93,28
2020-09-09,0,87,77,50,50,91,88,65,74,61
2020-09-08,0,53,65,75,123,80,73,66,58,33
2020-09-07,200,79,51,75,110,84,58,57,62,28
2020-09-06,0,82,61,125,57,3,63,54,64,33
2020-09-05,200,92,89,150,83,11,78,87,70,22
2020-09-04,100,111,98,200,67,119,83,90,80,67
2020-09-03,100,92,85,100,47,109,82,72,86,67
2020-09-02,0,76,85,225,100,86,88,77,76,56
2020-09-01,100,45,79,50,80,95,71,81,77,44
2020-08-31,100,84,62,175,67,88,71,71,81,39
2020-08-30,100,87,53,150,77,4,45,47,61,44
2020-08-29,100,50,76,50,63,7,50,68,51,61
2020-08-28,200,39,72,25,47,92,68,66,71,33
2020-08-27,0,61,77,125,90,106,73,69,76,28
2020-08-26,100,76,74,50,60,88,78,70,82,56
2020-08-25,100,58,73,175,77,96,74,71,68,100
2020-08-24,0,71,62,125,83,85,78,66,74,44
2020-08-23,0,108,57,75,93,4,64,66,47,56
2020-08-22,200,108,85,150,83,8,85,82,65,83
2020-08-21,0,66,97,175,70,116,95,80,78,94
2020-08-20,100,71,78,125,60,92,77,79,65,50
2020-08-19,100,95,88,175,73,108,73,76,75,72
2020-08-18,0,61,81,100,53,100,76,78,67,56
2020-08-17,100,63,69,75,90,99,83,67,93,56
2020-08-16,100,105,61,75,60,4,69,71,88,33
2020-08-15,100,97,99,225,87,7,83,77,93,56
2020-08-14,0,82,103,100,77,115,80,78,73,39
2020-08-13,0,45,90,150,67,108,100,67,81,72
2020-08-12,100,71,83,100,103,121,86,70,82,61
2020-08-11,0,53,83,75,87,109,96,82,81,56
2020-08-10,200,71,71,125,113,93,53,59,93,50
2020-08-09,0,79,71,125,63,4,67,66,77,33
2020-08-08,0,87,95,125,53,6,81,74,82,33
2020-08-07,100,121,109,25,53,130,85,76,103,44
2020-08-06,0,63,96,175,70,108,69,76,85,61
2020-08-05,0,92,94,200,80,112,66,76,92,67
2020-08-04,100,116,75,200,80,104,72,65,85,28
2020-08-03,100,95,80,50,100,90,72,79,72,33
2020-08-02,100,66,74,100,87,4,74,72,93,22
2020-08-01,100,95,96,100,47,7,71,77,92,28
2020-07-31,100,76,110,100,97,128,79,87,107,44
2020-07-30,200,50,91,25,70,109,75,98,99,50
2020-07-29,100,87,89,25,57,109,68,78,67,56
2020-07-28,200,68,86,150,100,115,60,77,90,56
2020-07-27,0,45,74,225,73,104,72,77,82,50
2020-07-26,0,61,63,100,100,4,48,63,70,28
2020-07-25,200,71,106,150,57,5,66,78,93,28
2020-07-24,200,76,86,50,53,85,67,66,102,61
2020-07-23,0,118,84,150,83,115,74,79,89,39
2020-07-22,200,100,86,50,63,123,79,76,103,72
2020-07-21,100,71,79,75,57,115,60,71,96,50
2020-07-20,100,89,66,75,57,80,67,74,85,39
2020-07-19,0,66,64,75,50,4,50,65,95,6
2020-07-18,200,55,96,225,87,4,50,78,92,33
2020-07-17,0,82,92,100,37,101,56,81,78,22
2020-07-16,200,79,91,125,57,113,88,77,102,33
2020-07-15,0,53,92,200,100,113,70,82,102,44
2020-07-14,200,103,85,100,90,97,72,70,93,44
2020-07-13,200,82,71,75,30,106,60,70,81,39
2020-07-12,0,79,72,100,97,3,66,74,82,17
2020-07-11,0,105,96,175,97,6,61,82,92,22
2020-07-10,100,79,103,100,83,97,80,83,96,33
2020-07-09,400,108,78,125,93,93,62,72,74,22
2020-07-08,300,79,89,225,53,103,82,78,108,22
2020-07-07,200,76,72,100,53,92,54,69,82,39
2020-07-06,100,92,75,100,103,96,64,68,68,17
2020-07-05,100,100,78,225,63,4,71,67,85,39
2020-07-04,100,89,70,50,43,3,58,53,73,17
2020-07-03,200,142,101,75,70,105,93,89,108,11
2020-07-02,200,129,108,125,53,124,68,92,97,33
2020-07-01,200,103,94,50,77,112,59,76,105,28
2020-06-30,300,79,83,100,63,88,70,79,92,28
2020-06-29,100,63,74,0,67,95,76,66,104,22
2020-06-28,0,61,73,125,60,4,72,78,91,11
2020-06-27,100,71,99,150,90,4,69,92,119,28
2020-06-26,100,39,81,100,60,103,90,79,93,11
2020-06-25,200,58,98,225,70,124,66,76,100,33
2020-06-24,100,79,72,150,57,96,66,69,95,33
2020-06-23,200,50,80,75,93,108,73,72,91,28
2020-06-22,100,47,75,75,67,88,83,70,70,28
2020-06-21,200,82,71,125,100,3,85,69,73,22
2020-06-20,200,39,102,150,83,7,107,87,101,6
2020-06-19,200,116,111,125,77,135,98,89,119,11
2020-06-18,200,53,98,150,70,97,84,74,112,22
2020-06-17,300,50,92,150,60,101,81,71,83,33
2020-06-16,300,61,89,125,100,110,98,75,93,11
2020-06-15,100,66,83,150,110,123,88,71,108,33
2020-06-14,100,42,75,150,97,3,53,69,83,22
2020-06-13,300,47,96,125,60,8,94,80,96,28
2020-06-12,100,58,94,150,63,117,94,92,123,17
2020-06-11,0,55,100,75,47,119,96,84,126,39
2020-06-10,0,61,89,125,117,116,83,79,108,44
2020-06-09,100,58,70,150,63,104,72,70,81,22
2020-06-08,100,55,74,125,90,116,73,78,98,33
2020-06-07,200,63,52,150,73,4,51,66,62,22
2020-06-06,0,63,95,200,80,8,78,83,72,50
2020-06-05,0,92,99,50,70,135,90,85,100,39
2020-06-04,300,66,72,125,77,111,66,71,92,33
2020-06-03,200,63,71,75,97,93,16,66,72,28
2020-06-02,100,50,66,100,57,79,20,50,92,33
2020-06-01,100,32,78,75,57,78,35,62,88,39
2020-05-31,200,37,76,25,47,3,53,61,88,17
2020-05-30,100,58,105,125,80,4,87,96,112,17
2020-05-29,200,66,97,50,103,101,91,87,126,22
2020-05-28,100,39,82,50,67,87,83,74,108,11
2020-05-27,100,50,80,125,73,103,71,77,111,28
2020-05-26,0,50,84,125,80,88,78,76,90,44
2020-05-25,300,71,75,150,67,76,74,62,80,22
2020-05-24,0,66,81,100,113,3,66,77,80,17
2020-05-23,200,84,94,250,93,10,80,94,99,44
2020-05-22,300,68,90,200,117,108,93,94,122,33
2020-05-21,100,76,83,200,90,96,81,73,111,39
2020-05-20,200,63,81,100,117,87,88,89,98,33
2020-05-19,0,71,84,125,57,81,92,68,79,28
2020-05-18,100,53,71,125,107,82,77,78,87,33
2020-05-17,100,55,50,50,70,2,68,54,72,22
2020-05-16,0,100,100,50,93,5,99,92,87,28
2020-05-15,100,111,99,175,90,94,99,82,90,33
2020-05-14,200,95,62,25,77,55,82,57,80,22
2020-05-13,0,84,75,150,93,88,79,73,78,56
2020-05-12,0,84,55,75,103,56,66,63,67,17
2020-05-11,100,76,67,25,103,78,75,66,77,50
2020-05-10,100,55,55,75,57,5,108,53,78,39
2020-05-09,300,68,74,100,87,7,84,81,92,33
2020-05-08,0,92,92,150,110,81,102,91,104,39
2020-05-07,100,63,58,75,60,66,67,71,63,22
2020-05-06,300,74,66,125,123,80,87,70,66,50
2020-05-05,200,66,64,100,130,63,88,69,85,44
2020-05-04,200,87,63,25,123,53,70,77,92,28
2020-05-03,100,76,57,25,63,4,73,58,75,39
2020-05-02,100,76,80,100,110,10,84,82,99,50
2020-05-01,100,87,82,75,87,100,91,77,126,28
2020-04-30,100,84,60,50,110,70,91,70,85,28
2020-04-29,100,71,58,75,93,59,81,54,57,33
2020-04-28,200,50,76,150,43,73,73,71,82,39
2020-04-27,100,39,66,50,93,79,79,69,78,17
2020-04-26,200,58,50,125,117,3,67,69,66,44
2020-04-25,100,66,70,150,123,6,82,67,67,22
2020-04-24,200,76,77,150,77,75,68,85,77,33
2020-04-23,100,66,68,75,123,71,72,80,79,22
2020-04-22,300,47,67,75,103,75,95,73,88,33
2020-04-21,200,71,60,50,87,61,94,71,88,17
2020-04-20,100,61,63,75,63,78,78,67,70,33
2020-04-19,100,47,54,100,77,4,52,78,65,28
2020-04-18,100,82,76,200,110,9,92,74,75,33
2020-04-17,200,103,66,75,83,65,85,68,87,33
2020-04-16,100,74,75,75,93,61,87,74,65,28
2020-04-15,0,68,62,75,97,59,90,70,55,17
2020-04-14,0,61,55,125,117,67,65,62,46,28
2020-04-13,100,58,56,125,113,75,77,59,54,39
2020-04-12,0,74,48,50,0,3,81,40,26,33
2020-04-11,200,92,75,100,173,9,90,67,75,28
2020-04-10,100,76,77,50,100,71,85,81,70,28
2020-04-09,100,39,65,50,97,63,75,66,58,28
2020-04-08,0,74,60,125,103,76,86,66,68,33
2020-04-07,100,71,69,175,90,90,77,71,60,22
2020-04-06,100,53,57,100,67,77,62,60,64,22
2020-04-05,100,50,51,50,93,2,85,57,51,17
2020-04-04,500,63,65,125,133,6,93,78,59,11
2020-04-03,0,55,83,50,107,92,115,90,78,33
2020-04-02,0,58,67,75,133,90,87,81,74,22
2020-04-01,0,55,75,25,120,78,94,73,64,22
2020-03-31,100,50,65,100,77,77,90,65,62,22
2020-03-30,100,47,62,50,77,76,74,76,65,11
2020-03-29,100,61,51,0,63,3,69,59,58,6
2020-03-28,0,63,60,100,83,8,98,59,51,28
2020-03-27,0,76,78,75,110,70,88,65,83,33
2020-03-26,0,50,58,50,83,65,105,64,72,39
2020-03-25,100,50,66,0,107,79,106,70,64,56
2020-03-24,300,39,64,75,87,72,101,64,74,67
2020-03-23,100,42,60,25,63,69,77,57,56,56
2020-03-22,400,34,49,50,100,8,57,49,46,89
2020-03-21,0,71,57,50,143,7,94,63,67,67
2020-03-20,0,45,72,50,153,72,93,78,58,83
2020-03-19,100,66,75,150,130,79,99,70,51,83
2020-03-18,200,55,74,125,130,85,103,78,85,106
2020-03-17,0,68,90,125,107,101,101,73,75,144
2020-03-16,100,58,98,200,150,98,102,84,98,106
2020-03-15,300,158,91,50,157,5,94,83,105,50
2020-03-14,100,134,109,125,187,13,115,107,92,33
2020-03-13,100,147,134,200,213,158,137,134,132,89
2020-03-12,100,103,117,175,217,140,85,110,98,122
2020-03-11,100,79,109,175,127,140,105,102,102,178
2020-03-10,100,105,101,50,110,139,91,110,93,100
2020-03-09,0,71,102,100,90,140,91,84,95,122
2020-03-08,0,155,99,75,123,6,109,122,89,39
2020-03-07,0,139,125,175,83,20,116,117,98,100
2020-03-06,0,97,132,175,103,170,111,139,121,89
2020-03-05,100,95,112,150,77,141,87,126,86,61
2020-03-04,0,76,103,225,120,137,112,110,128,106
2020-03-03,0,108,105,250,127,140,133,130,75,183
2020-03-02,0,63,102,175,117,134,121,110,97,39
2020-03-01,100,187,104,150,130,5,115,126,107,44
2020-02-29,100,145,126,125,90,9,118,126,91,44
2020-02-28,0,103,134,175,100,166,109,143,128,33
2020-02-27,0,161,121,175,103,149,88,117,126,94
2020-02-26,100,45,105,150,107,146,111,106,78,267
2020-02-25,0,100,104,75,130,139,108,109,100,139
2020-02-24,200,82,95,75,80,133,99,94,92,117
2020-02-23,0,147,84,100,150,4,95,99,101,33
2020-02-22,0,153,127,300,70,12,112,108,105,100
2020-02-21,0,142,116,100,97,165,104,115,136,50
2020-02-20,100,121,100,150,117,149,102,105,90,100
2020-02-19,0,84,102,75,107,149,109,103,108,111
2020-02-18,0,103,100,100,137,130,90,104,98,72
2020-02-17,0,45,93,0,113,159,78,74,85,39
2020-02-16,100,168,94,300,90,4,86,89,86,50
2020-02-15,100,126,108,175,87,6,89,94,97,83
2020-02-14,0,87,112,100,53,162,141,95,128,28
2020-02-13,0,82,110,150,107,129,115,103,116,100
2020-02-12,0,71,105,50,120,149,118,94,102,28
2020-02-11,200,124,97,225,100,150,93,90,79,117
2020-02-10,0,92,83,100,140,105,112,90,90,106
2020-02-09,0,139,73,100,123,1,71,75,98,44
2020-02-08,0,268,110,150,117,8,110,108,88,78
2020-02-07,0,216,120,150,130,154,108,123,120,83
2020-02-06,100,79,107,150,103,139,83,95,103,89
2020-02-05,0,82,103,125,120,129,83,93,101,122
2020-02-04,0,82,96,175,97,138,95,101,104,128
2020-02-03,0,63,90,75,137,133,102,98,96,83
2020-02-02,100,132,94,50,127,2,87,94,102,39
2020-02-01,200,116,117,125,137,9,89,104,98,167
2020-01-31,100,95,126,125,117,163,117,119,117,39
2020-01-30,200,95,103,100,87,145,108,96,88,122
2020-01-29,100,63,100,125,137,125,91,94,108,161
2020-01-28,100,87,105,50,107,143,71,106,107,100
2020-01-27,0,58,91,50,150,127,107,100,95,111
2020-01-26,0,126,75,25,100,2,68,81,69,28
2020-01-25,100,113,99,25,93,4,96,98,103,44
2020-01-24,0,100,108,100,77,132,106,102,108,83
2020-01-23,0,84,85,75,57,126,85,84,90,56
2020-01-22,100,29,97,75,63,131,102,87,106,256
2020-01-21,100,137,101,75,100,141,120,103,108,200
2020-01-20,100,50,76,125,80,92,82,62,80,89
2020-01-19,100,129,60,100,93,9,60,69,91,78
2020-01-18,0,82,95,25,83,13,92,82,117,89
2020-01-17,0,76,94,50,117,155,94,101,112,61
2020-01-16,200,87,90,75,63,151,117,103,79,122
2020-01-15,200,97,94,175,73,144,110,102,96,172
2020-01-14,100,71,92,125,83,119,98,88,87,244
2020-01-13,200,74,80,75,110,135,108,87,88,178
2020-01-12,100,76,70,75,93,23,90,71,83,206
2020-01-11,400,71,100,125,77,40,117,92,93,267
2020-01-10,0,100,119,100,53,147,98,96,108,61
2020-01-09,400,95,99,100,77,123,88,99,132,211
2020-01-08,500,166,82,25,120,117,110,99,83,167
2020-01-07,400,66,91,50,87,111,101,89,109,122
2020-01-06,200,26,104,100,133,136,106,96,107,261
2020-01-05,200,97,83,125,153,5,76,98,91,50
2020-01-04,100,142,104,200,110,8,102,107,122,67
2020-01-03,100,97,120,100,100,135,103,112,109,83
2020-01-02,0,61,91,100,120,116,117,96,118,122
2020-01-01,800,66,73,175,7,78,78,72,82,78
2019-12-31,200,95,106,100,130,111,122,92,92,94
2019-12-30,0,74,81,75,100,121,115,96,98,106
