Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,267,71,65,114,67,60,129,54,69,75,100,125,75,100
2021-03-08,183,39,62,102,64,65,107,50,63,75,133,93,52,0
2021-03-07,67,61,58,51,101,98,93,35,62,85,33,88,65,0
2021-03-06,117,54,81,86,101,91,91,63,74,79,167,141,82,0
2021-03-05,150,93,71,106,55,47,91,57,65,79,67,93,75,0
2021-03-04,83,50,52,76,72,67,76,52,61,58,100,62,67,300
2021-03-03,150,69,64,68,81,68,81,59,74,63,67,99,72,0
2021-03-02,183,86,59,88,70,67,83,56,57,61,100,92,70,200
2021-03-01,200,85,52,80,58,60,80,49,61,59,67,73,46,0
2021-02-28,67,90,49,49,60,54,68,42,62,65,33,70,61,0
2021-02-27,133,114,90,102,110,84,96,61,86,89,67,112,89,0
2021-02-26,67,132,65,118,58,49,85,54,73,75,167,90,72,200
2021-02-25,183,101,67,100,67,61,73,63,70,69,200,136,67,200
2021-02-24,117,83,67,86,69,72,81,56,65,81,100,127,68,200
2021-02-23,167,90,66,98,75,70,71,53,67,69,33,93,72,200
2021-02-22,183,61,57,87,61,47,64,54,50,65,33,112,43,0
2021-02-21,67,64,51,41,72,67,50,38,51,46,133,78,56,0
2021-02-20,83,79,76,79,84,74,71,59,70,70,200,100,75,0
2021-02-19,233,58,70,106,79,68,69,53,62,67,167,74,73,300
2021-02-18,200,72,66,95,75,68,77,71,55,59,0,116,66,100
2021-02-17,217,65,61,68,66,72,57,46,58,59,100,74,63,100
2021-02-16,167,67,42,81,63,63,52,56,39,47,67,63,52,0
2021-02-15,133,50,43,69,64,65,67,39,36,58,67,42,34,0
2021-02-14,17,58,51,39,72,68,60,47,54,54,0,64,57,0
2021-02-13,133,69,58,64,69,65,63,41,55,48,67,51,72,0
2021-02-12,183,81,72,117,70,68,84,53,64,59,100,85,77,100
2021-02-11,117,63,58,93,66,54,69,60,55,55,67,67,64,0
2021-02-10,100,64,58,69,76,67,66,57,51,56,33,68,62,100
2021-02-09,200,39,56,90,72,65,70,61,48,61,67,92,66,100
2021-02-08,300,49,47,87,52,54,54,35,49,47,33,74,40,0
2021-02-07,183,82,43,38,69,63,61,36,40,49,0,55,53,0
2021-02-06,117,58,59,70,79,81,54,48,50,58,67,79,69,0
2021-02-05,133,106,59,89,70,60,73,51,60,65,100,71,69,0
2021-02-04,100,67,54,89,84,81,87,73,56,66,33,84,63,200
2021-02-03,217,36,59,84,78,74,88,57,54,59,33,68,62,0
2021-02-02,117,99,56,82,84,79,81,47,48,56,0,95,60,200
2021-02-01,150,36,54,77,84,82,83,50,48,63,100,75,42,0
2021-01-31,67,51,33,31,49,54,58,32,37,42,33,34,41,0
2021-01-30,117,60,69,67,106,96,74,43,58,68,33,97,67,0
2021-01-29,150,71,62,102,72,68,75,57,64,56,67,81,72,200
2021-01-28,100,78,55,84,61,63,76,46,55,58,100,97,63,100
2021-01-27,133,75,53,70,61,60,72,49,55,58,33,85,61,0
2021-01-26,267,71,49,75,58,53,78,37,48,47,33,64,54,200
2021-01-25,167,51,54,92,131,121,70,68,56,60,0,84,41,0
2021-01-24,100,122,44,45,76,74,52,38,46,56,33,53,53,0
2021-01-23,100,82,65,67,101,95,58,46,58,64,67,74,71,0
2021-01-22,50,114,61,90,67,58,69,39,63,62,100,82,63,0
2021-01-21,67,61,50,94,72,63,68,52,52,49,100,70,60,0
2021-01-20,117,93,50,69,64,61,76,56,47,46,33,84,54,200
2021-01-19,117,104,48,72,72,74,60,52,53,50,33,81,54,100
2021-01-18,83,74,51,85,84,88,86,58,55,59,133,62,36,0
2021-01-17,17,75,45,35,82,77,66,39,46,50,33,68,49,0
2021-01-16,33,65,58,67,87,84,81,50,50,57,67,85,66,0
2021-01-15,150,88,54,79,69,72,65,35,62,60,0,63,61,100
2021-01-14,100,71,49,92,66,58,57,53,54,51,67,85,54,100
2021-01-13,117,88,58,67,66,68,79,57,56,40,33,100,55,0
2021-01-12,117,71,48,63,76,77,80,56,46,55,167,84,58,100
2021-01-11,183,67,39,69,81,72,78,46,46,57,67,79,35,0
2021-01-10,67,53,41,24,75,63,65,34,48,59,0,59,46,0
2021-01-09,100,72,56,59,100,98,75,56,59,66,100,82,64,0
2021-01-08,100,71,62,65,76,72,60,46,58,55,133,75,60,0
2021-01-07,83,72,55,59,82,75,56,51,54,50,33,90,54,200
2021-01-06,117,65,60,55,85,89,87,56,51,55,67,84,60,200
2021-01-05,100,71,52,55,73,74,65,71,48,57,100,73,60,0
2021-01-04,117,67,54,58,91,91,53,46,53,61,67,92,42,0
2021-01-03,33,49,41,29,78,84,48,32,46,49,33,66,51,0
2021-01-02,67,68,58,40,84,89,83,40,56,58,33,67,60,0
2021-01-01,50,51,36,35,24,16,62,20,34,35,0,36,47,0
