Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-01,30,22,21,34,40,65,21,30,33,26,32,21
2020-11-30,26,25,21,31,35,56,24,24,37,24,29,20
2020-11-29,17,18,18,16,43,33,7,7,28,17,21,6
2020-11-28,24,36,22,31,47,35,21,15,40,24,31,7
2020-11-27,25,33,23,32,47,40,20,22,38,26,31,19
2020-11-26,14,17,14,16,34,25,4,11,10,16,18,11
2020-11-25,24,23,18,27,35,38,22,20,25,24,27,17
2020-11-24,26,23,21,31,44,52,21,22,30,25,30,19
2020-11-23,28,22,23,30,40,49,20,26,29,25,30,20
2020-11-22,18,23,18,15,38,33,12,9,21,17,21,5
2020-11-21,22,33,22,19,40,34,10,12,27,22,27,5
2020-11-20,29,34,27,37,55,61,30,26,33,30,35,23
2020-11-19,29,30,23,36,49,54,24,26,30,28,32,20
2020-11-18,29,27,21,35,42,60,34,26,26,27,31,21
2020-11-17,27,24,20,32,36,54,32,29,29,26,33,21
2020-11-16,29,26,22,35,38,56,34,29,30,27,32,21
2020-11-15,16,19,15,11,28,33,10,8,24,16,19,5
2020-11-14,26,31,22,20,41,51,22,13,37,24,30,5
2020-11-13,36,34,27,43,47,68,48,37,42,32,39,26
2020-11-12,30,28,23,40,40,57,27,31,32,29,35,23
2020-11-11,27,28,20,31,42,44,33,22,28,27,31,20
2020-11-10,31,28,24,38,43,67,30,33,33,28,35,24
2020-11-09,33,26,22,38,46,60,35,35,40,28,34,23
2020-11-08,23,24,22,16,58,38,17,8,26,21,28,7
2020-11-07,37,57,42,32,65,60,23,20,41,32,44,9
2020-11-06,36,36,26,40,47,68,35,33,40,32,38,25
2020-11-05,32,25,20,34,36,53,28,30,39,28,33,20
2020-11-04,35,27,24,37,42,65,29,28,33,28,33,21
2020-11-03,35,28,26,38,45,58,28,27,32,31,38,26
2020-11-02,37,23,24,40,41,81,28,34,31,30,35,25
2020-11-01,16,20,18,12,33,38,7,9,26,18,21,6
2020-10-31,23,30,21,23,54,50,16,12,34,25,32,5
2020-10-30,33,33,30,44,48,72,38,33,35,34,43,31
2020-10-29,33,31,27,43,50,74,33,30,30,32,38,25
2020-10-28,34,27,26,42,47,61,38,37,39,33,42,28
2020-10-27,27,28,24,36,40,51,32,29,33,28,38,21
2020-10-26,34,24,26,35,31,66,26,33,37,28,35,22
2020-10-25,21,27,19,14,34,42,11,14,30,20,27,6
2020-10-24,29,47,31,28,58,65,27,19,45,30,45,8
2020-10-23,36,39,29,47,42,67,31,37,40,33,42,25
2020-10-22,32,36,29,50,48,67,21,34,37,33,42,25
2020-10-21,31,30,25,41,43,63,26,31,40,31,37,24
2020-10-20,35,30,24,43,36,67,28,28,38,29,40,26
2020-10-19,34,31,27,43,28,57,32,33,31,30,38,28
2020-10-18,26,50,24,25,36,44,16,14,28,23,33,9
2020-10-17,41,75,32,45,64,86,28,18,53,37,55,15
2020-10-16,43,58,39,63,54,85,40,48,55,39,52,36
2020-10-15,33,35,30,48,42,62,27,32,43,32,40,28
2020-10-14,34,34,27,45,48,58,36,32,50,32,40,28
2020-10-13,35,32,24,49,44,56,31,27,40,32,43,27
2020-10-12,27,29,23,37,46,52,26,24,25,29,34,26
2020-10-11,25,50,23,23,61,40,11,13,32,26,39,11
2020-10-10,30,59,34,34,71,57,26,17,50,35,51,10
2020-10-09,41,53,31,50,57,76,31,39,39,39,51,34
2020-10-08,37,39,29,49,49,64,34,37,42,35,43,30
2020-10-07,39,38,28,49,46,66,35,38,38,33,41,30
2020-10-06,32,33,29,43,48,61,27,37,37,32,42,28
2020-10-05,35,34,25,43,42,61,38,31,35,30,37,29
2020-10-04,21,40,21,18,41,37,11,9,31,21,30,8
