Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-25,41,31,6,52,67,64,61,52
2020-10-24,75,69,10,87,87,93,77,70
2020-10-23,46,76,35,97,82,72,67,67
2020-10-22,72,70,41,115,73,55,55,58
2020-10-21,50,58,47,79,75,93,57,57
2020-10-20,61,50,40,69,72,55,53,53
2020-10-19,43,45,35,61,69,43,57,53
2020-10-18,49,39,7,44,78,91,56,53
2020-10-17,66,77,5,84,100,94,85,70
2020-10-16,73,75,43,111,82,79,71,73
2020-10-15,39,60,37,82,66,48,55,59
2020-10-14,62,54,45,84,67,57,60,62
2020-10-13,66,69,42,74,64,51,53,66
2020-10-12,24,44,39,63,78,61,55,53
2020-10-11,68,38,5,50,53,73,64,54
2020-10-10,59,85,7,76,88,66,86,67
2020-10-09,58,84,38,120,70,72,56,67
2020-10-08,49,90,41,93,77,61,65,68
2020-10-07,76,64,37,99,77,73,52,65
2020-10-06,52,51,40,73,80,43,53,60
2020-10-05,66,48,37,73,64,64,51,60
2020-10-04,55,37,6,43,75,58,58,54
2020-10-03,69,68,7,71,73,88,72,65
2020-10-02,53,74,38,103,87,78,65,72
2020-10-01,58,74,49,87,72,54,63,62
2020-09-30,75,72,46,86,81,66,69,71
2020-09-29,53,70,41,81,73,67,62,57
2020-09-28,41,50,40,58,77,48,60,54
2020-09-27,51,38,5,58,72,64,65,58
2020-09-26,58,70,9,70,70,72,75,69
2020-09-25,68,81,39,111,75,94,73,71
2020-09-24,54,75,38,101,79,54,64,67
2020-09-23,62,64,53,96,73,67,66,62
2020-09-22,74,70,40,99,77,51,52,58
2020-09-21,47,47,36,69,53,55,47,50
2020-09-20,71,42,5,53,61,52,51,52
2020-09-19,64,77,9,76,82,97,70,63
2020-09-18,50,69,39,105,57,49,62,61
2020-09-17,50,62,46,91,68,64,60,61
2020-09-16,65,63,47,81,60,58,62,65
2020-09-15,68,59,43,99,67,54,60,58
2020-09-14,47,53,34,95,58,43,57,60
2020-09-13,62,38,10,71,78,67,58,58
2020-09-12,56,78,11,70,79,94,79,62
2020-09-11,58,80,40,108,85,79,87,74
2020-09-10,53,68,40,85,68,57,64,68
2020-09-09,50,65,44,84,82,70,62,62
2020-09-08,41,63,38,47,77,58,55,56
2020-09-07,43,40,18,89,59,61,63,52
2020-09-06,37,33,4,56,81,54,60,52
2020-09-05,53,63,14,64,90,72,78,65
2020-09-04,74,80,46,139,86,73,70,77
2020-09-03,51,71,50,76,98,70,60,71
2020-09-02,66,64,39,105,66,72,57,67
2020-09-01,51,67,36,75,75,64,61,64
2020-08-31,57,55,43,76,70,61,56,59
2020-08-30,58,32,7,61,61,63,53,48
2020-08-29,53,53,9,62,67,69,68,52
2020-08-28,54,63,26,74,76,40,52,58
2020-08-27,40,68,43,70,79,69,67,63
2020-08-26,59,48,30,87,69,45,66,61
2020-08-25,54,70,33,98,88,51,64,60
2020-08-24,43,57,29,68,81,48,61,60
2020-08-23,57,30,4,52,63,55,56,51
2020-08-22,45,73,18,90,84,64,68,63
2020-08-21,52,86,39,111,89,66,75,70
2020-08-20,63,66,41,101,92,58,71,66
2020-08-19,65,69,30,121,92,60,68,65
2020-08-18,59,64,32,106,89,64,64,66
2020-08-17,54,50,34,81,85,45,62,59
2020-08-16,43,40,6,64,70,61,60,57
2020-08-15,47,58,17,64,89,63,67,61
2020-08-14,50,72,35,91,87,81,70,65
2020-08-13,50,85,32,91,89,52,63,63
2020-08-12,65,65,35,111,75,73,70,66
2020-08-11,60,84,31,121,87,78,72,64
2020-08-10,50,58,28,82,76,54,63,58
2020-08-09,46,37,8,54,77,36,53,53
2020-08-08,55,69,8,68,82,75,77,61
2020-08-07,87,82,29,110,89,64,70,69
2020-08-06,62,76,27,91,82,60,56,64
2020-08-05,59,73,25,111,78,60,66,65
2020-08-04,59,65,33,95,71,52,54,59
2020-08-03,56,60,23,95,85,33,64,60
2020-08-02,56,37,9,66,62,51,60,54
2020-08-01,44,60,14,56,74,64,70,57
2020-07-31,52,82,29,84,77,61,68,68
2020-07-30,55,73,37,104,90,49,65,70
2020-07-29,54,60,40,76,78,61,61,63
2020-07-28,54,66,28,96,68,55,45,59
2020-07-27,42,53,37,86,67,63,50,60
2020-07-26,38,33,7,41,60,48,55,44
2020-07-25,66,76,18,64,95,67,74,67
2020-07-24,47,52,29,82,61,66,59,53
2020-07-23,53,71,40,108,77,49,64,62
2020-07-22,47,65,43,100,77,61,71,63
2020-07-21,56,77,35,97,78,63,70,61
2020-07-20,46,48,29,75,59,46,57,57
2020-07-19,37,36,7,45,71,46,58,48
2020-07-18,49,55,11,52,77,58,60,58
