Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-26,50,42,60,50,81,55,60,49
2020-10-25,50,58,55,56,79,63,58,34
2020-10-24,0,73,84,78,120,83,74,70
2020-10-23,150,48,86,67,91,86,69,73
2020-10-22,100,70,65,55,111,79,66,69
2020-10-21,150,24,74,53,89,94,64,66
2020-10-20,50,30,58,65,85,87,64,55
2020-10-19,100,55,58,65,82,64,62,63
2020-10-18,0,67,53,68,94,58,60,51
2020-10-17,100,70,78,77,122,115,75,87
2020-10-16,50,70,76,67,120,111,73,97
2020-10-15,0,48,68,52,87,83,66,70
2020-10-14,50,58,74,58,96,67,66,78
2020-10-13,50,45,67,55,98,69,70,79
2020-10-12,0,52,72,49,72,64,66,71
2020-10-11,50,42,49,58,92,71,63,52
2020-10-10,50,73,82,66,115,70,75,76
2020-10-09,0,94,79,61,124,75,75,80
2020-10-08,100,76,81,74,113,71,66,64
2020-10-07,150,33,84,55,89,69,66,65
2020-10-06,50,42,69,55,114,60,65,58
2020-10-05,0,67,69,55,80,61,62,67
2020-10-04,50,55,46,58,89,83,58,44
2020-10-03,50,52,79,66,113,86,73,57
2020-10-02,0,85,80,58,109,90,76,84
2020-10-01,50,42,82,69,118,82,67,71
2020-09-30,150,67,88,69,114,114,65,78
2020-09-29,50,42,60,69,84,69,63,71
2020-09-28,200,55,62,64,104,67,63,60
2020-09-27,150,42,46,64,103,89,63,56
2020-09-26,50,52,78,52,122,99,74,59
2020-09-25,0,36,74,63,132,117,74,79
2020-09-24,50,64,70,46,97,83,69,74
2020-09-23,150,61,87,47,104,62,67,66
2020-09-22,100,33,73,61,95,81,64,64
2020-09-21,50,64,57,50,82,71,57,65
2020-09-20,0,58,50,48,85,75,57,41
2020-09-19,0,91,71,57,118,90,71,72
2020-09-18,100,79,68,66,115,86,69,63
2020-09-17,100,73,67,66,94,58,67,77
2020-09-16,150,88,74,49,118,65,68,60
2020-09-15,100,52,61,67,100,86,61,79
2020-09-14,250,58,59,52,95,75,64,56
2020-09-13,0,100,60,61,103,104,67,63
2020-09-12,50,115,74,69,131,93,73,73
2020-09-11,100,85,79,62,128,93,77,85
2020-09-10,0,48,79,67,106,96,70,72
2020-09-09,0,85,73,48,115,100,68,80
2020-09-08,150,36,76,58,85,73,64,67
2020-09-07,50,82,49,66,106,89,58,56
