Category,Bars,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-15,35,47,0,51,76,86,61,75,67,0
2020-11-14,47,62,0,56,99,92,80,75,72,84
2020-11-13,53,64,97,84,96,83,53,50,80,86
2020-11-12,44,64,49,57,87,86,62,50,60,70
2020-11-11,24,58,61,72,81,92,51,100,67,78
2020-11-10,59,51,127,45,78,77,53,150,68,78
2020-11-09,53,62,111,52,83,73,59,75,66,43
2020-11-08,44,46,0,45,83,74,51,25,70,0
2020-11-07,53,73,4,41,99,102,77,100,77,85
2020-11-06,35,63,113,76,91,70,65,75,78,76
2020-11-05,68,60,103,72,99,71,64,175,64,68
2020-11-04,44,64,124,36,93,89,51,50,69,73
2020-11-03,50,66,153,61,103,99,47,125,74,76
2020-11-02,68,65,86,56,96,72,53,75,73,38
2020-11-01,47,61,0,56,72,77,47,50,69,0
2020-10-31,38,76,0,73,93,85,99,75,87,94
2020-10-30,26,81,71,95,94,79,80,100,77,91
2020-10-29,79,71,70,77,78,108,72,75,71,82
2020-10-28,50,72,80,59,87,85,51,50,66,80
2020-10-27,44,73,56,61,58,86,62,75,67,79
2020-10-26,24,59,52,67,66,69,61,75,62,42
2020-10-25,26,61,0,51,88,84,62,50,65,0
2020-10-24,56,76,0,68,79,93,86,125,85,96
2020-10-23,44,82,56,96,93,105,89,50,83,85
2020-10-22,35,72,78,73,101,86,55,0,69,80
2020-10-21,47,70,67,57,88,126,54,75,69,82
2020-10-20,47,64,66,76,68,89,72,50,71,74
2020-10-19,56,76,54,72,74,87,55,100,62,44
2020-10-18,53,65,0,65,80,86,69,25,71,0
2020-10-17,41,92,0,53,97,105,95,50,89,100
2020-10-16,50,92,79,76,94,80,82,50,75,90
2020-10-15,53,76,74,68,88,59,72,25,64,83
2020-10-14,62,69,86,64,68,74,64,100,67,79
2020-10-13,35,70,71,56,72,70,58,25,69,78
2020-10-12,47,70,49,68,80,74,55,75,62,42
2020-10-11,35,48,0,40,72,67,66,125,65,0
2020-10-10,59,78,0,57,88,71,72,0,75,87
2020-10-09,56,75,82,69,89,75,76,0,72,86
2020-10-08,26,86,66,57,88,71,47,75,59,82
2020-10-07,53,82,74,55,79,88,62,75,65,82
2020-10-06,44,68,69,55,79,75,53,25,62,75
2020-10-05,68,68,65,56,91,83,58,50,62,45
2020-10-04,41,51,0,36,74,57,58,50,61,0
2020-10-03,35,69,0,76,83,62,81,75,80,95
2020-10-02,79,75,69,76,104,100,82,50,70,92
2020-10-01,24,73,59,77,82,89,57,25,69,84
2020-09-30,56,93,81,69,102,101,88,0,74,82
2020-09-29,44,79,60,59,90,109,70,75,64,80
2020-09-28,41,63,44,59,66,52,58,50,68,39
2020-09-27,50,61,0,39,79,80,65,0,66,0
2020-09-26,53,76,0,63,108,69,86,25,77,97
2020-09-25,74,83,79,84,115,98,82,100,80,88
2020-09-24,59,69,74,73,90,78,69,100,67,83
2020-09-23,41,73,71,64,98,83,74,25,68,82
2020-09-22,32,68,71,68,96,98,58,75,67,76
