Category,Airports & Transit Centers,Bars,Beauty & Wellness,QSR,Restaurant,Retail,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index
2020-10-12,0,33,31,21,49,20,37
2020-10-11,0,21,14,22,51,40,29
2020-10-10,0,29,15,16,32,10,26
2020-10-09,0,40,32,30,49,30,36
2020-10-08,0,57,27,41,53,10,45
2020-10-07,0,30,16,16,35,0,28
2020-10-06,0,31,20,27,42,0,26
2020-10-05,0,42,32,19,38,30,35
2020-10-04,0,17,17,27,39,0,29
2020-10-03,0,23,22,23,40,10,26
2020-10-02,0,55,29,30,60,10,38
2020-10-01,0,40,30,30,56,20,34
2020-09-30,0,42,24,32,53,20,32
2020-09-29,0,26,22,29,40,30,26
2020-09-28,0,37,22,34,39,10,36
2020-09-27,0,9,23,37,48,0,33
2020-09-26,0,27,18,38,43,10,25
2020-09-25,0,33,35,32,46,20,38
2020-09-24,0,30,31,39,55,50,35
2020-09-23,0,48,25,22,34,20,29
2020-09-22,0,17,17,27,29,10,24
2020-09-21,0,33,11,28,34,30,31
2020-09-20,0,12,13,29,51,0,29
2020-09-19,0,25,10,22,24,10,23
2020-09-18,0,31,22,27,50,30,36
2020-09-17,0,34,19,21,49,30,36
2020-09-16,0,27,23,24,36,20,27
2020-09-15,0,16,16,26,18,0,23
2020-09-14,0,31,22,27,40,20,31
2020-09-13,0,15,11,38,42,30,29
2020-09-12,0,15,13,22,42,20,26
2020-09-11,0,28,27,36,34,20,35
2020-09-10,0,31,24,35,42,0,35
2020-09-09,0,26,20,23,40,10,29
2020-09-08,0,26,23,35,49,60,32
2020-09-07,0,40,37,27,48,20,33
2020-09-06,0,10,8,36,34,10,27
2020-09-05,0,28,14,25,37,0,27
2020-09-04,0,36,31,37,59,40,39
2020-09-03,0,31,16,25,42,10,34
2020-09-02,0,26,25,20,29,10,29
2020-09-01,0,26,16,25,42,0,26
2020-08-31,0,30,18,27,32,20,26
2020-08-30,0,9,13,21,42,20,28
2020-08-29,0,17,12,25,34,10,20
2020-08-28,0,20,19,24,35,20,26
2020-08-27,0,31,22,44,48,30,29
2020-08-26,0,22,20,15,45,20,26
2020-08-25,0,35,27,22,34,40,25
2020-08-24,0,20,22,38,31,0,30
2020-08-23,0,7,12,25,33,10,27
2020-08-22,0,14,20,21,37,20,24
2020-08-21,0,24,22,19,45,10,30
2020-08-20,0,21,28,31,39,0,30
2020-08-19,0,31,17,16,42,10,26
2020-08-18,0,20,20,26,39,20,27
2020-08-17,0,21,23,24,39,40,31
2020-08-16,0,7,17,35,27,20,33
2020-08-15,0,21,22,36,31,30,27
2020-08-14,0,19,26,36,43,0,32
2020-08-13,0,20,25,20,38,0,31
2020-08-12,0,18,24,15,31,30,28
2020-08-11,0,20,23,24,31,0,27
2020-08-10,0,21,21,22,51,20,31
2020-08-09,0,9,11,24,42,0,30
2020-08-08,0,22,16,19,34,50,25
2020-08-07,0,14,26,29,37,40,30
2020-08-06,0,26,22,31,35,50,29
2020-08-05,0,19,20,31,22,50,24
2020-08-04,0,25,25,30,31,30,25
2020-08-03,0,19,22,32,41,30,32
2020-08-02,0,12,15,21,34,30,28
2020-08-01,0,20,15,34,25,10,24
2020-07-31,0,23,20,27,34,30,28
2020-07-30,0,23,20,29,43,0,28
2020-07-29,0,22,20,37,34,40,28
2020-07-28,0,13,18,22,39,0,26
2020-07-27,0,25,20,36,34,20,33
2020-07-26,0,8,10,35,37,10,28
2020-07-25,0,19,14,33,30,10,26
2020-07-24,0,15,16,25,28,20,24
2020-07-23,0,17,22,45,37,20,27
2020-07-22,0,31,20,29,36,30,27
2020-07-21,0,38,28,34,42,10,24
2020-07-20,0,21,25,33,29,10,29
2020-07-19,0,13,13,43,41,0,31
2020-07-18,0,27,13,28,33,40,21
2020-07-17,0,17,32,30,47,0,30
2020-07-16,0,33,27,40,30,50,31
2020-07-15,0,26,30,30,32,10,27
2020-07-14,0,31,22,37,44,20,23
2020-07-13,0,32,27,32,35,40,27
2020-07-12,0,32,18,42,27,30,28
2020-07-11,0,36,17,37,31,10,26
2020-07-10,0,31,29,33,41,40,31
2020-07-09,0,33,25,32,45,60,27
2020-07-08,0,34,23,25,39,40,29
2020-07-07,0,31,16,23,37,10,22
2020-07-06,0,33,24,31,25,30,28
2020-07-05,0,15,10,25,18,40,25
2020-07-04,0,24,14,7,18,10,16
2020-07-03,0,34,22,20,31,40,25
2020-07-02,0,28,31,18,31,50,29
2020-07-01,0,15,20,12,27,20,25
2020-06-30,0,32,17,28,24,10,19
2020-06-29,0,22,19,20,24,0,26
2020-06-28,0,7,12,11,23,10,19
2020-06-27,0,19,8,12,17,20,19
2020-06-26,0,21,24,36,28,60,25
2020-06-25,0,29,24,38,17,10,24
2020-06-24,0,28,17,12,17,60,19
2020-06-23,0,20,20,20,24,10,25
2020-06-22,0,26,18,19,33,20,27
2020-06-21,0,11,18,23,23,0,19
2020-06-20,0,26,13,13,28,40,18
2020-06-19,0,16,20,38,33,40,23
2020-06-18,0,22,18,31,24,0,22
2020-06-17,0,21,25,6,16,50,19
2020-06-16,0,21,25,20,20,50,22
2020-06-15,0,21,23,30,28,80,23
2020-06-14,0,14,8,22,38,30,18
2020-06-13,0,12,13,12,15,20,17
2020-06-12,0,26,28,21,34,20,21
2020-06-11,0,31,31,21,25,20,22
2020-06-10,0,24,18,7,19,0,18
2020-06-09,0,13,21,18,30,0,20
2020-06-08,0,21,18,16,25,20,19
2020-06-07,0,12,16,17,21,10,13
2020-06-06,0,26,18,8,25,10,17
2020-06-05,0,24,24,11,32,10,23
2020-06-04,0,21,24,22,26,10,15
2020-06-03,0,23,27,11,18,0,17
2020-06-02,0,18,31,2,22,30,14
2020-06-01,0,26,30,10,33,30,18
2020-05-31,0,12,21,11,17,10,17
2020-05-30,0,17,27,5,12,30,12
2020-05-29,0,23,13,16,30,0,19
2020-05-28,0,18,25,10,18,10,19
2020-05-27,0,29,32,21,34,30,18
2020-05-26,0,27,24,3,11,40,17
2020-05-25,0,17,23,17,32,30,16
2020-05-24,0,12,20,5,16,0,14
2020-05-23,0,21,25,3,20,20,14
2020-05-22,0,22,25,28,28,20,18
2020-05-21,0,15,34,22,15,10,19
2020-05-20,0,7,27,22,19,20,15
2020-05-19,0,19,18,6,16,50,15
2020-05-18,0,18,19,19,21,10,16
2020-05-17,0,6,19,13,18,0,16
2020-05-16,0,13,18,8,17,0,13
2020-05-15,0,24,21,19,24,0,16
2020-05-14,0,13,20,20,22,30,15
2020-05-13,0,15,13,17,18,10,13
2020-05-12,0,12,18,12,18,10,12
2020-05-11,0,21,22,17,15,20,16
2020-05-10,0,7,15,9,18,20,12
2020-05-09,0,7,17,4,12,10,11
2020-05-08,0,22,25,24,21,0,16
2020-05-07,0,17,15,17,22,30,15
2020-05-06,0,18,22,8,13,0,14
2020-05-05,0,22,21,7,14,0,13
2020-05-04,0,16,20,24,23,10,12
2020-05-03,0,12,19,15,16,0,10
2020-05-02,0,12,17,18,14,0,9
2020-05-01,0,21,27,16,18,0,13
2020-04-30,0,19,16,24,16,0,11
2020-04-29,0,9,22,22,5,0,11
2020-04-28,0,8,24,23,16,0,11
2020-04-27,0,12,23,16,14,0,13
2020-04-26,0,8,21,16,15,0,11
2020-04-25,0,9,12,17,20,10,11
2020-04-24,0,23,20,24,16,30,14
2020-04-23,0,12,17,26,14,0,12
2020-04-22,0,20,19,21,17,0,12
2020-04-21,0,17,15,17,24,10,12
2020-04-20,0,12,14,18,15,10,11
2020-04-19,0,4,22,12,19,10,9
2020-04-18,0,11,14,12,13,20,9
2020-04-17,0,18,19,23,28,30,12
2020-04-16,0,17,13,15,16,10,12
2020-04-15,0,18,20,28,18,0,15
2020-04-14,0,19,24,23,18,10,12
2020-04-13,0,36,22,18,18,30,12
2020-04-12,0,17,18,14,17,30,9
2020-04-11,0,31,24,21,20,0,10
2020-04-10,0,21,22,28,24,50,14
2020-04-09,0,25,19,17,14,20,14
2020-04-08,0,21,15,24,21,40,13
2020-04-07,0,26,29,24,27,20,14
2020-04-06,0,24,22,25,24,0,14
2020-04-05,0,21,23,26,24,40,14
2020-04-04,0,35,18,20,23,10,13
2020-04-03,0,36,25,29,23,20,16
2020-04-02,0,34,25,23,19,10,16
2020-04-01,0,22,22,28,19,20,15
2020-03-31,0,37,30,31,27,40,18
2020-03-30,0,32,30,26,18,30,18
2020-03-29,0,15,30,18,25,40,18
2020-03-28,0,29,35,27,17,50,16
2020-03-27,0,27,33,35,24,20,23
2020-03-26,0,38,30,34,29,70,19
2020-03-25,0,36,31,29,29,60,21
2020-03-24,0,36,31,36,24,40,22
2020-03-23,0,43,43,27,31,40,26
2020-03-22,0,29,45,29,21,10,28
2020-03-21,0,46,41,31,24,40,25
2020-03-20,0,69,55,31,39,90,38
2020-03-19,0,62,69,50,40,50,44
2020-03-18,0,59,62,58,58,70,51
2020-03-17,0,83,58,44,55,70,55
2020-03-16,0,85,77,79,66,90,65
2020-03-15,0,45,78,84,73,60,72
2020-03-14,0,99,83,59,56,50,71
2020-03-13,0,99,111,98,79,50,95
2020-03-12,0,120,83,88,89,80,86
2020-03-11,0,92,88,107,93,90,77
2020-03-10,0,88,79,83,97,130,72
2020-03-09,0,96,98,125,94,130,91
2020-03-08,0,54,107,92,104,50,85
2020-03-07,0,81,101,89,97,120,77
2020-03-06,0,86,110,132,126,90,96
2020-03-05,0,93,92,102,109,160,101
2020-03-04,100,82,80,142,92,70,87
2020-03-03,200,92,92,113,108,140,90
2020-03-02,300,112,115,116,118,110,112
2020-03-01,100,75,76,94,82,180,100
2020-02-29,0,105,85,72,72,60,87
2020-02-28,200,119,108,90,124,90,115
2020-02-27,400,102,90,110,114,210,116
2020-02-26,300,89,91,85,92,110,96
2020-02-25,100,132,101,105,95,60,94
2020-02-24,200,150,101,108,101,90,121
2020-02-23,100,72,101,88,117,30,100
2020-02-22,200,134,90,83,93,20,78
2020-02-21,200,131,107,113,113,70,110
2020-02-20,300,189,95,107,125,90,112
2020-02-19,0,224,111,98,97,60,104
2020-02-18,400,119,104,98,112,70,109
2020-02-17,100,125,120,113,139,70,117
2020-02-16,0,63,145,108,84,90,100
2020-02-15,0,98,92,125,99,90,89
2020-02-14,100,128,114,112,101,90,117
2020-02-13,0,135,111,119,147,130,121
2020-02-12,100,123,104,108,107,120,99
2020-02-11,200,89,80,86,92,70,94
2020-02-10,200,102,82,105,116,100,116
2020-02-09,100,54,69,79,112,100,101
2020-02-08,0,83,76,86,87,140,84
2020-02-07,100,114,71,120,118,190,124
