Category,Airports & Transit Centers,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-06,64,76,43,36,66,81,96,0,0
2020-11-05,43,65,36,31,56,68,71,0,0
2020-11-04,57,68,47,47,58,81,89,0,0
2020-11-03,36,66,47,36,69,75,73,0,0
2020-11-02,79,54,45,41,61,71,66,0,0
2020-11-01,36,48,32,29,47,70,74,0,0
2020-10-31,43,72,36,49,58,63,91,0,0
2020-10-30,29,87,40,32,76,89,101,0,0
2020-10-29,36,60,42,39,71,70,88,0,0
2020-10-28,79,65,36,36,51,78,68,0,0
2020-10-27,50,56,31,30,59,57,85,0,0
2020-10-26,50,43,34,23,56,51,59,0,0
2020-10-25,21,40,27,22,48,83,67,0,0
2020-10-24,14,75,40,35,60,56,82,0,0
2020-10-23,32,69,50,38,71,67,100,0,0
2020-10-22,50,65,43,40,62,63,84,0,0
2020-10-21,79,69,39,57,61,83,95,0,0
2020-10-20,50,54,35,55,64,71,78,0,0
2020-10-19,57,50,37,39,50,76,73,0,0
2020-10-18,32,46,31,32,47,67,56,0,0
2020-10-17,29,76,42,49,71,92,100,0,0
2020-10-16,57,74,55,39,69,78,107,0,0
2020-10-15,68,73,41,32,62,78,89,0,0
2020-10-14,57,72,47,46,66,67,63,0,0
2020-10-13,71,51,39,36,59,65,83,0,0
2020-10-12,29,43,32,28,50,57,57,0,0
2020-10-11,29,43,24,27,44,98,73,0,0
2020-10-10,93,78,38,40,62,95,87,0,0
2020-10-09,64,72,39,38,75,81,88,0,0
2020-10-08,50,77,50,28,59,57,70,0,0
2020-10-07,86,68,49,24,65,59,67,0,0
2020-10-06,93,65,38,31,62,65,59,0,0
2020-10-05,79,44,45,27,65,54,90,0,0
2020-10-04,39,39,30,18,49,63,73,0,0
2020-10-03,29,64,40,34,65,90,93,0,0
2020-10-02,39,85,53,54,88,75,109,0,0
2020-10-01,36,65,49,26,69,43,78,0,0
2020-09-30,86,73,70,39,64,71,83,0,0
2020-09-29,29,56,43,32,75,51,79,0,0
2020-09-28,93,42,45,24,60,43,67,0,0
2020-09-27,21,43,35,29,48,75,65,0,0
2020-09-26,43,79,42,35,65,90,90,0,0
