Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-01,46,33,56,57,72,58,71,53,60,69,68,67
2020-11-30,62,54,48,56,80,61,62,56,57,64,69,69
2020-11-29,46,29,44,44,80,52,76,69,40,71,64,0
2020-11-28,23,58,49,71,88,60,59,79,54,75,78,70
2020-11-27,23,29,51,64,100,65,65,61,56,89,78,62
2020-11-26,38,29,50,45,19,45,62,34,32,11,34,60
2020-11-25,54,25,51,62,93,62,73,69,59,76,82,69
2020-11-24,31,21,56,64,83,72,67,80,60,48,70,68
2020-11-23,54,38,49,59,75,67,68,72,62,70,76,77
2020-11-22,38,29,43,51,83,63,66,65,52,77,70,0
2020-11-21,38,42,47,61,99,66,93,81,77,92,83,75
2020-11-20,31,58,57,60,76,76,75,87,65,59,76,70
2020-11-19,54,63,60,58,67,69,78,67,57,53,74,68
2020-11-18,46,25,56,70,61,70,73,77,71,76,79,72
2020-11-17,54,25,63,62,62,60,77,66,57,53,69,70
2020-11-16,23,38,55,60,61,59,80,63,66,66,83,84
2020-11-15,46,54,68,56,81,50,72,72,52,79,79,0
2020-11-14,38,63,73,75,90,64,78,76,70,92,83,80
2020-11-13,77,92,83,71,78,72,77,75,76,63,78,86
2020-11-12,77,46,79,77,66,63,73,64,57,69,73,82
2020-11-11,31,58,72,63,61,63,68,70,70,69,80,74
2020-11-10,54,29,85,59,56,61,79,61,64,61,62,84
2020-11-09,54,50,80,64,56,65,78,65,61,64,72,84
2020-11-08,46,46,71,63,72,64,62,77,61,78,74,0
2020-11-07,38,63,80,72,63,70,80,84,64,72,89,82
2020-11-06,62,50,76,66,62,71,85,84,73,77,92,79
2020-11-05,77,42,70,59,48,60,64,65,66,67,70,73
2020-11-04,46,25,81,67,51,63,70,66,80,67,75,80
2020-11-03,69,58,87,64,59,79,92,83,84,52,75,82
2020-11-02,54,42,71,63,57,71,76,70,73,67,73,83
2020-11-01,54,42,70,56,65,59,78,73,69,61,73,0
2020-10-31,46,38,77,84,80,71,79,87,71,63,81,82
2020-10-30,38,54,78,67,87,76,81,96,60,73,81,81
2020-10-29,38,50,77,60,72,67,88,72,71,65,77,77
2020-10-28,62,83,76,60,62,58,65,80,72,65,79,83
2020-10-27,38,46,73,66,57,64,95,67,64,54,72,78
2020-10-26,62,21,71,57,55,61,69,66,61,48,69,78
