Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-07,68,66,51,78,84,66,84,22,61,54,66,69,37
2020-12-06,48,23,45,22,74,70,55,17,56,41,66,28,52
2020-12-05,45,39,69,38,97,78,78,26,76,63,94,45,60
2020-12-04,71,59,69,73,76,67,87,24,78,57,68,59,58
2020-12-03,48,50,65,56,82,66,89,29,73,51,64,59,29
2020-12-02,52,66,62,82,80,60,74,21,71,55,62,34,42
2020-12-01,65,39,64,64,79,66,80,25,73,56,70,66,33
2020-11-30,55,48,56,75,69,57,77,26,64,64,57,45,35
2020-11-29,35,36,41,17,59,56,53,15,58,43,58,41,27
2020-11-28,32,43,54,36,73,68,62,25,62,43,76,48,29
2020-11-27,55,36,57,58,60,66,85,28,51,47,74,45,44
2020-11-26,32,34,46,26,69,6,57,12,27,36,35,34,19
2020-11-25,61,39,68,60,150,90,72,17,68,61,109,41,52
2020-11-24,58,55,70,53,108,75,70,20,64,61,74,38,42
2020-11-23,68,46,65,56,96,68,74,22,65,54,79,41,27
2020-11-22,35,30,50,26,90,71,58,16,55,48,73,17,58
2020-11-21,48,54,72,32,79,79,62,24,70,70,82,38,44
2020-11-20,61,55,71,65,92,77,98,26,77,76,86,62,37
2020-11-19,65,66,66,77,89,32,85,23,79,55,66,48,50
2020-11-18,61,54,58,73,78,30,80,20,70,58,77,38,38
2020-11-17,77,64,63,58,79,27,78,31,67,59,59,55,48
2020-11-16,55,39,50,57,90,27,73,27,61,47,55,41,50
2020-11-15,35,20,44,22,86,21,46,18,54,46,63,21,31
2020-11-14,45,25,65,43,90,22,77,21,71,53,70,45,79
2020-11-13,65,86,73,75,87,25,110,29,76,53,86,52,44
2020-11-12,61,50,66,64,87,19,86,23,87,55,75,41,35
2020-11-11,68,57,63,64,81,19,82,21,74,57,65,21,42
2020-11-10,55,38,60,62,82,16,91,35,71,49,73,76,58
2020-11-09,48,63,54,68,78,16,90,29,61,51,58,52,52
2020-11-08,45,27,47,23,82,12,64,23,57,44,66,24,40
2020-11-07,39,43,75,28,94,17,88,23,73,51,91,62,40
2020-11-06,81,71,79,62,86,21,111,29,79,61,62,72,58
2020-11-05,68,71,64,46,76,18,83,22,78,62,73,83,37
2020-11-04,74,48,63,72,86,17,91,26,76,55,66,52,35
2020-11-03,52,39,63,59,97,17,100,25,85,58,70,141,42
2020-11-02,58,84,53,75,95,17,96,26,72,61,70,38,44
2020-11-01,26,23,48,13,88,13,61,23,54,39,61,38,38
2020-10-31,48,38,72,35,99,15,84,22,77,64,121,69,63
2020-10-30,55,61,73,75,92,15,115,29,80,57,68,31,71
2020-10-29,84,50,59,63,86,13,93,28,71,59,59,59,62
2020-10-28,55,29,55,57,75,15,88,26,71,53,69,38,38
2020-10-27,74,52,51,62,73,14,71,18,70,48,61,69,42
2020-10-26,61,50,52,51,81,17,82,21,62,49,60,34,58
2020-10-25,32,16,41,12,81,12,53,19,57,40,68,21,35
2020-10-24,23,45,68,34,101,18,81,26,82,51,120,31,46
2020-10-23,58,63,61,74,75,17,86,29,78,59,67,66,46
2020-10-22,65,41,59,62,70,11,99,23,77,57,64,76,62
2020-10-21,61,41,51,87,78,13,83,23,71,50,66,34,38
2020-10-20,48,45,51,81,85,13,78,22,75,51,47,52,69
2020-10-19,58,41,54,70,76,12,84,21,65,50,62,52,62
2020-10-18,45,39,43,11,69,10,51,17,56,45,57,24,48
2020-10-17,45,43,71,39,96,12,98,26,77,62,130,28,90
2020-10-16,84,75,73,66,82,15,101,26,82,67,86,69,62
2020-10-15,71,43,60,68,86,10,87,17,70,50,65,28,46
2020-10-14,48,34,59,76,78,9,95,21,72,53,74,72,48
