Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-02-01,84,102,120,72,113,125,79,94,111,112,159,103,133
2020-01-31,152,96,123,133,96,106,106,104,126,107,122,69,127
2020-01-30,145,107,113,117,85,91,87,107,100,105,86,83,69
2020-01-29,132,113,106,121,81,79,85,105,94,94,72,131,69
2020-01-28,142,114,105,113,86,95,90,107,97,90,87,117,150
2020-01-27,139,84,95,117,91,88,90,95,109,90,84,107,67
2020-01-26,61,73,70,47,93,82,57,62,79,83,95,52,92
2020-01-25,68,152,104,70,97,96,67,88,97,97,128,69,123
2020-01-24,132,136,108,92,86,95,108,107,102,93,106,93,88
2020-01-23,126,84,85,81,77,81,81,88,76,80,77,107,42
2020-01-22,142,145,96,106,89,86,87,100,89,83,74,86,58
2020-01-21,113,111,97,139,86,81,98,108,102,87,90,186,175
2020-01-20,97,84,72,112,74,87,80,86,72,69,71,62,96
2020-01-19,58,105,65,32,80,80,53,74,70,68,75,31,123
2020-01-18,87,71,105,71,86,107,81,97,90,86,112,72,140
2020-01-17,168,134,106,98,93,98,104,102,110,101,86,138,106
2020-01-16,123,109,100,118,81,79,86,109,90,103,79,124,100
2020-01-15,171,134,103,128,84,89,106,111,107,107,79,176,67
2020-01-14,129,109,98,120,68,85,87,101,99,86,71,141,119
2020-01-13,116,114,96,143,94,91,84,111,91,81,79,179,69
2020-01-12,81,80,67,57,91,88,64,64,67,61,74,66,65
2020-01-11,71,70,92,60,92,105,76,111,77,91,98,166,96
2020-01-10,168,146,127,121,116,112,114,112,107,107,106,76,73
2020-01-09,123,66,98,99,84,96,109,117,92,91,83,52,46
2020-01-08,152,88,91,113,86,86,90,111,88,104,70,107,56
2020-01-07,129,82,96,113,92,95,88,121,83,97,68,72,110
2020-01-06,135,84,94,121,96,102,109,106,99,101,74,128,77
2020-01-05,71,71,88,40,92,108,75,90,96,93,95,52,112
2020-01-04,71,105,113,61,101,123,90,115,107,105,131,97,154
2020-01-03,123,118,118,132,105,105,114,132,127,110,105,141,90
2020-01-02,135,63,101,114,96,95,126,115,105,106,109,131,87
2020-01-01,68,39,70,88,89,84,68,63,74,67,62,55,127
2019-12-31,97,68,114,89,139,109,101,118,114,120,153,93,140
2019-12-30,84,41,87,149,89,96,111,109,92,95,110,114,69
