Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,39,55,86,73,39,111,46,94,80,65,55,49,26
2021-03-08,30,52,68,65,64,95,42,96,56,50,48,54,25
2021-03-07,19,48,68,43,52,59,24,71,58,80,49,50,45
2021-03-06,34,82,78,54,51,67,30,78,51,104,55,69,65
2021-03-05,26,35,70,68,49,97,72,61,53,75,55,60,72
2021-03-04,20,38,60,67,44,80,64,61,52,51,46,48,49
2021-03-03,28,39,54,63,36,70,54,71,58,65,49,51,55
2021-03-02,24,46,70,67,40,100,48,76,67,55,50,48,23
2021-03-01,28,39,58,58,53,73,54,76,64,55,44,45,21
2021-02-28,14,38,71,35,58,56,14,73,34,59,43,43,35
2021-02-27,31,42,87,63,55,71,26,104,67,98,52,70,56
2021-02-26,24,51,81,68,47,83,74,86,61,67,55,52,66
2021-02-25,19,53,78,61,42,78,40,49,60,63,52,44,59
2021-02-24,20,58,79,58,46,90,38,102,63,61,49,45,56
2021-02-23,22,40,88,65,45,64,46,76,62,54,48,48,23
2021-02-22,36,34,58,59,48,60,38,59,56,70,44,48,22
2021-02-21,17,29,40,30,52,33,26,59,45,57,38,36,30
2021-02-20,33,52,52,41,39,36,40,116,56,98,51,56,49
2021-02-19,36,44,60,62,49,58,64,69,57,65,50,48,55
2021-02-18,34,28,46,61,35,58,48,76,42,55,45,41,47
2021-02-17,37,32,59,57,37,65,42,86,48,42,43,44,47
2021-02-16,19,22,37,45,31,54,36,53,29,29,32,30,15
2021-02-15,21,19,42,55,42,50,30,51,39,32,36,38,17
2021-02-14,22,34,36,40,71,43,24,51,42,57,42,39,36
2021-02-13,19,36,62,41,49,46,30,59,34,61,42,40,42
2021-02-12,34,48,66,61,55,88,24,86,44,67,52,51,63
2021-02-11,44,40,49,65,35,65,52,69,49,50,45,42,51
2021-02-10,24,18,48,62,42,79,42,51,46,45,44,45,46
2021-02-09,19,40,41,57,58,65,40,84,56,65,44,44,22
2021-02-08,14,26,43,53,45,58,52,57,33,39,39,39,21
2021-02-07,12,46,31,26,53,39,28,51,31,49,33,29,29
2021-02-06,13,21,39,46,71,41,32,65,39,71,42,46,45
2021-02-05,26,38,64,66,60,84,38,73,50,54,47,50,57
2021-02-04,23,39,68,66,53,72,44,65,50,59,43,49,52
2021-02-03,20,33,76,57,56,78,60,76,47,53,45,43,53
2021-02-02,28,31,77,65,53,77,50,49,49,55,44,44,23
2021-02-01,16,47,46,57,53,69,40,53,42,57,41,43,18
2021-01-31,12,25,28,32,38,46,18,14,19,30,26,23,22
2021-01-30,16,34,49,46,58,44,40,71,42,88,43,49,54
2021-01-29,21,48,56,66,53,74,48,82,49,57,50,52,62
2021-01-28,19,44,66,66,56,82,50,65,54,55,46,47,50
2021-01-27,13,46,63,57,47,80,26,92,54,57,43,47,49
2021-01-26,15,31,55,59,38,91,34,47,39,45,37,51,18
2021-01-25,26,33,45,59,68,79,52,47,54,59,41,62,23
2021-01-24,13,35,48,37,51,52,38,51,31,60,36,52,29
2021-01-23,21,45,73,46,62,56,36,78,42,92,44,69,55
2021-01-22,31,26,62,60,64,60,64,78,53,66,47,71,57
2021-01-21,38,31,63,67,51,109,52,94,66,55,47,78,51
2021-01-20,28,28,45,55,42,57,44,55,39,39,40,50,43
2021-01-19,28,29,51,56,61,63,46,90,59,43,40,43,20
2021-01-18,16,25,36,54,51,49,32,78,52,64,41,40,19
2021-01-17,17,22,36,33,51,34,10,59,37,60,37,31,27
2021-01-16,24,35,52,40,59,40,22,78,53,84,42,39,45
2021-01-15,17,16,50,55,58,65,0,76,59,57,46,45,56
2021-01-14,15,25,38,55,42,66,30,65,48,46,41,39,45
2021-01-13,24,32,43,52,53,72,38,73,53,53,42,41,47
2021-01-12,17,38,49,58,47,54,44,80,47,50,41,49,19
2021-01-11,17,36,32,56,45,58,44,57,36,52,42,43,18
