Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-12-07,0,29,55,65,33,"1,067",23,70,79,46,55,57,111
2020-12-06,0,46,52,45,38,881,19,58,54,76,37,54,1
2020-12-05,100,39,81,51,40,"1,068",30,80,59,98,45,66,3
2020-12-04,0,32,79,60,40,661,27,83,71,105,58,74,110
2020-12-03,0,36,74,57,39,670,34,84,82,51,51,66,82
2020-12-02,0,36,66,61,38,387,23,79,70,80,56,64,88
2020-12-01,0,57,70,55,37,287,36,85,70,93,48,66,82
2020-11-30,100,21,61,51,33,209,31,70,63,51,52,56,86
2020-11-29,0,18,50,39,32,202,22,63,61,51,34,53,1
2020-11-28,0,18,69,46,32,247,26,65,54,78,41,59,3
2020-11-27,0,39,66,39,35,257,34,54,57,98,40,57,89
2020-11-26,0,7,53,21,8,283,15,30,47,20,32,57,67
2020-11-25,100,32,69,52,45,209,23,84,64,71,55,66,88
2020-11-24,0,39,85,57,33,303,32,86,91,76,52,65,108
2020-11-23,200,54,60,57,34,125,30,72,80,88,51,63,93
2020-11-22,0,43,58,49,35,236,19,66,66,59,36,56,0
2020-11-21,0,43,73,65,38,204,18,78,70,73,42,68,1
2020-11-20,100,50,89,58,39,227,23,83,85,61,63,77,96
2020-11-19,0,57,72,56,34,236,27,76,73,76,60,65,109
2020-11-18,0,29,72,46,38,289,23,66,70,93,58,61,88
2020-11-17,0,29,69,46,33,221,23,71,63,78,59,61,90
2020-11-16,0,46,55,51,34,417,16,67,71,76,50,56,96
2020-11-15,0,32,52,42,43,396,16,62,58,63,33,53,1
2020-11-14,100,57,74,53,46,382,15,81,83,102,43,67,3
2020-11-13,0,50,79,60,43,367,23,80,83,59,61,68,106
2020-11-12,0,43,78,63,38,73,18,75,73,88,56,62,111
2020-11-11,100,79,58,60,38,57,15,70,75,93,49,61,96
2020-11-10,0,43,72,58,39,327,26,84,77,83,56,62,109
2020-11-09,0,46,65,62,30,303,23,67,71,51,57,60,104
2020-11-08,0,32,61,44,39,140,20,61,47,66,39,50,1
2020-11-07,100,96,91,58,41,196,27,83,67,59,45,72,9
2020-11-06,0,50,81,49,36,224,19,84,83,76,61,72,128
2020-11-05,0,50,84,54,34,213,14,82,96,83,58,71,94
2020-11-04,0,32,72,60,30,219,19,74,87,71,59,65,125
2020-11-03,0,75,81,59,38,370,28,90,85,90,60,72,109
2020-11-02,0,32,66,65,33,148,28,74,87,78,70,61,100
2020-11-01,0,46,64,33,39,121,26,66,66,54,46,61,2
2020-10-31,0,79,93,75,50,38,26,89,84,129,56,82,3
2020-10-30,0,100,95,79,44,128,26,104,94,156,77,83,134
2020-10-29,0,79,71,64,42,94,20,82,83,137,69,71,106
2020-10-28,0,21,74,63,44,60,22,78,78,110,70,65,114
2020-10-27,0,61,61,54,33,76,18,73,72,56,65,68,115
2020-10-26,100,68,55,51,36,49,11,69,69,49,59,61,106
2020-10-25,0,64,51,46,39,36,9,61,64,68,48,53,1
2020-10-24,0,86,70,67,39,56,11,76,69,90,61,72,3
2020-10-23,0,71,80,67,39,47,16,81,93,61,72,72,106
2020-10-22,0,96,66,63,33,53,19,77,73,51,64,68,102
2020-10-21,0,86,69,74,35,43,14,76,84,63,66,66,110
2020-10-20,0,75,70,60,34,45,18,78,87,68,73,66,107
2020-10-19,0,64,57,65,31,53,14,59,90,34,61,61,89
2020-10-18,0,89,55,30,33,57,16,64,66,63,41,59,2
2020-10-17,0,107,82,60,42,47,34,88,85,120,56,78,1
2020-10-16,0,79,86,72,39,110,31,84,85,129,69,83,111
2020-10-15,0,43,65,57,31,51,22,85,84,76,66,70,102
2020-10-14,0,50,72,74,32,87,11,85,80,85,71,75,123
2020-10-13,100,68,67,60,31,59,23,72,74,56,62,68,103
2020-10-12,0,71,55,41,34,52,18,54,58,71,54,55,74
2020-10-11,0,61,50,44,36,45,18,63,57,61,35,60,1
2020-10-10,0,71,76,51,39,33,22,78,66,80,47,74,1
2020-10-09,0,79,83,68,37,40,12,86,62,88,46,74,121
2020-10-08,100,68,80,70,33,50,28,84,76,51,58,79,123
2020-10-07,0,71,70,79,35,91,15,79,68,93,61,71,116
2020-10-06,0,96,80,73,34,41,20,80,75,85,58,81,113
2020-10-05,0,75,66,60,34,51,12,67,89,80,49,69,106
2020-10-04,0,57,54,59,40,36,11,67,58,117,31,60,1
2020-10-03,0,139,70,57,40,44,7,86,52,102,35,68,2
2020-10-02,0,100,86,62,36,44,12,97,93,107,53,80,126
2020-10-01,0,64,86,70,39,191,12,83,63,88,51,72,107
2020-09-30,0,64,89,83,37,59,20,82,90,85,49,71,120
2020-09-29,0,64,61,67,40,49,22,72,77,98,45,67,106
2020-09-28,0,39,55,63,32,58,24,66,70,80,45,61,88
2020-09-27,0,86,50,46,35,47,23,64,65,78,32,67,2
2020-09-26,0,54,73,52,38,52,9,72,78,107,38,79,2
2020-09-25,0,50,77,64,37,48,15,83,75,102,59,84,128
2020-09-24,0,79,73,59,34,41,14,71,73,88,51,69,94
2020-09-23,0,82,63,65,35,79,18,77,72,80,59,74,130
2020-09-22,0,68,69,55,34,59,12,71,79,88,53,72,116
2020-09-21,0,39,56,54,32,49,11,56,81,68,49,56,95
2020-09-20,0,68,52,46,32,37,14,55,82,54,34,59,1
2020-09-19,0,82,87,57,36,53,9,71,84,107,50,77,5
2020-09-18,0,50,79,61,34,50,14,69,94,90,55,73,109
2020-09-17,0,46,73,71,33,53,16,65,95,63,50,66,103
2020-09-16,0,57,76,59,33,74,11,73,93,83,51,71,96
2020-09-15,0,50,71,49,33,49,15,66,85,66,57,66,106
2020-09-14,0,46,68,64,31,37,11,62,62,83,50,60,93
2020-09-13,0,86,59,35,39,53,9,57,67,112,40,66,6
2020-09-12,0,86,83,57,42,44,16,63,83,151,41,68,2
2020-09-11,0,43,89,64,40,62,23,66,83,107,50,79,116
2020-09-10,0,39,83,64,39,53,32,69,79,134,56,74,87
2020-09-09,0,50,77,66,37,68,32,63,78,93,59,71,100
2020-09-08,0,57,79,74,37,56,15,66,81,98,55,66,105
2020-09-07,0,82,63,52,41,64,8,54,69,105,40,61,73
2020-09-06,0,79,67,31,35,53,8,62,74,80,37,74,6
2020-09-05,0,54,91,50,42,55,11,77,83,107,53,89,3
2020-09-04,100,75,102,64,42,70,11,87,116,95,68,90,140
2020-09-03,0,54,101,72,36,67,20,77,95,110,64,81,129
2020-09-02,100,54,86,67,38,84,11,78,93,115,61,79,134
2020-09-01,0,79,82,64,37,144,18,83,73,107,59,70,112
2020-08-31,0,43,73,64,36,59,9,69,86,66,51,67,119
2020-08-30,0,54,57,45,35,74,11,52,62,88,35,57,5
2020-08-29,0,79,84,55,41,55,11,75,70,78,37,74,4
2020-08-28,0,93,82,66,35,96,5,74,86,95,48,70,101
2020-08-27,0,68,85,48,39,68,11,79,85,107,50,71,121
2020-08-26,100,43,82,65,35,82,15,83,99,56,52,67,117
2020-08-25,0,89,80,56,43,110,19,79,73,100,52,71,127
2020-08-24,0,50,74,58,36,56,15,72,89,78,54,69,116
