Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-11-24,40,35,65,48,90,74,55,74,49,49,78
2020-11-23,31,39,55,40,93,56,50,72,52,42,65
2020-11-22,23,34,50,30,75,49,42,52,48,36,66
2020-11-21,24,47,71,48,82,64,56,89,73,41,81
2020-11-20,32,55,68,54,89,77,59,88,69,52,78
2020-11-19,34,42,66,51,76,58,61,70,65,51,73
2020-11-18,31,41,60,47,74,67,58,83,67,46,62
2020-11-17,32,30,59,47,80,69,57,66,57,45,65
2020-11-16,26,32,54,44,82,64,53,73,49,44,60
2020-11-15,20,34,44,39,81,44,45,59,56,34,60
2020-11-14,25,41,69,53,104,55,61,75,73,45,87
2020-11-13,37,38,65,43,85,91,66,84,87,50,76
2020-11-12,34,38,62,62,79,61,52,75,74,46,67
2020-11-11,31,31,62,56,75,63,47,75,61,40,58
2020-11-10,36,33,58,49,79,71,48,77,59,43,63
2020-11-09,28,42,56,57,72,60,54,74,61,44,73
2020-11-08,21,38,49,45,85,58,50,65,59,39,56
2020-11-07,26,41,68,64,97,74,58,80,73,54,91
2020-11-06,43,36,70,65,87,103,60,97,79,55,85
2020-11-05,34,38,58,63,75,70,54,77,70,44,64
2020-11-04,40,41,66,54,72,74,55,84,70,49,73
2020-11-03,38,41,69,65,93,95,62,89,66,49,80
2020-11-02,41,42,64,61,93,72,60,85,65,51,76
2020-11-01,31,38,52,56,91,66,53,66,68,43,65
2020-10-31,23,48,76,53,113,89,72,76,72,46,78
2020-10-30,37,38,73,66,96,84,66,87,63,53,74
2020-10-29,44,66,67,59,91,74,54,84,68,51,87
2020-10-28,33,42,64,70,82,86,60,87,64,44,68
2020-10-27,33,42,66,54,71,71,53,85,57,43,58
2020-10-26,32,41,55,55,78,70,42,65,51,42,65
2020-10-25,22,42,50,38,74,56,47,52,55,38,60
2020-10-24,44,41,75,76,99,84,57,81,85,58,92
2020-10-23,51,44,72,64,96,87,63,85,61,59,69
2020-10-22,47,56,65,66,86,88,59,65,59,54,68
2020-10-21,38,59,68,71,78,78,57,72,71,47,62
2020-10-20,33,52,59,57,81,82,54,58,57,42,72
2020-10-19,37,43,60,60,83,70,60,73,61,44,63
2020-10-18,30,63,51,47,82,57,41,56,52,49,76
2020-10-17,41,55,78,64,100,83,65,77,94,61,108
2020-10-16,59,70,79,74,95,97,68,82,87,64,84
2020-10-15,45,53,67,66,80,79,58,82,64,50,77
2020-10-14,36,40,62,67,81,81,54,73,73,47,77
2020-10-13,41,56,67,57,89,84,54,65,66,48,73
2020-10-12,32,45,55,66,86,71,62,61,61,47,76
2020-10-11,18,46,47,46,72,67,50,49,59,40,74
2020-10-10,34,67,70,54,95,81,56,78,74,53,78
2020-10-09,45,61,75,81,91,86,63,69,68,59,78
2020-10-08,54,52,78,74,87,82,55,85,77,56,76
2020-10-07,49,62,79,70,85,101,57,83,81,53,81
2020-10-06,43,47,63,62,79,78,54,72,75,48,70
2020-10-05,39,59,57,63,87,88,58,73,63,46,65
2020-10-04,22,42,51,47,82,77,37,52,59,47,58
2020-10-03,39,66,65,56,95,73,61,72,82,62,93
2020-10-02,50,63,81,78,93,75,66,84,70,62,89
2020-10-01,46,59,64,67,79,72,57,79,67,55,75
2020-09-30,54,60,89,83,72,96,66,75,73,58,89
2020-09-29,37,44,68,65,83,70,55,79,85,50,63
2020-09-28,35,39,60,63,82,65,53,64,59,47,64
2020-09-27,23,52,56,53,86,70,50,65,57,48,65
2020-09-26,24,45,70,65,109,89,54,75,77,58,84
2020-09-25,48,64,75,75,89,94,60,83,76,62,73
2020-09-24,45,46,66,70,85,81,57,85,70,57,73
2020-09-23,37,59,62,66,84,72,59,68,72,50,84
2020-09-22,36,44,63,63,88,71,64,64,65,42,73
2020-09-21,40,41,55,55,87,70,54,70,54,43,70
2020-09-20,21,53,47,47,84,58,41,61,58,45,69
2020-09-19,27,62,73,70,99,90,61,74,75,57,89
2020-09-18,46,59,64,64,97,87,55,81,65,55,71
2020-09-17,41,50,62,67,90,79,51,67,60,49,74
2020-09-16,48,62,69,64,83,81,69,78,68,54,90
2020-09-15,33,41,63,56,88,70,53,65,49,47,64
2020-09-14,35,41,64,62,81,68,63,68,64,45,61
2020-09-13,31,41,61,53,96,65,52,57,70,48,68
2020-09-12,36,50,76,59,97,82,57,77,66,58,78
2020-09-11,43,52,71,79,86,76,63,85,72,57,68
2020-09-10,36,53,68,72,94,79,58,76,66,53,82
